,who,was,the,norse,leader,?
they,0.47879111766815186,0.3300964832305908,0.49925389885902405,0.22249701619148254,0.18681105971336365,0.2753053903579712
were,0.3188014328479767,0.590133786201477,0.3906462490558624,0.2108520269393921,0.15754278004169464,0.17890112102031708
descended,0.2906462550163269,0.25650086998939514,0.2755005657672882,0.31384286284446716,0.2606814205646515,0.1283303201198578
from,0.27839982509613037,0.31171464920043945,0.40150508284568787,0.18385997414588928,0.17586389183998108,0.19969791173934937
norse,0.2581562399864197,0.20671024918556213,0.23731711506843567,0.9999999403953552,0.15166591107845306,0.14860166609287262
(,0.2443375140428543,0.2980341613292694,0.33289089798927307,0.1333014965057373,0.2302042543888092,0.40561532974243164
``,0.02397952415049076,-0.012679691426455975,0.029072100296616554,0.03214653208851814,0.11118976026773453,0.0685480609536171
norman,0.18241798877716064,0.21643765270709991,0.23459704220294952,0.33077749609947205,0.17968350648880005,0.12243545055389404
'',0.024401003494858742,0.04456103965640068,0.041273195296525955,0.06656920909881592,0.05775728076696396,0.018684765323996544
comes,0.16187338531017303,0.2611335217952728,0.32399529218673706,0.286032110452652,0.13286632299423218,0.15980161726474762
from,0.27839982509613037,0.31171464920043945,0.40150508284568787,0.18385997414588928,0.17586389183998108,0.19969791173934937
``,0.02397952415049076,-0.012679691426455975,0.029072100296616554,0.03214653208851814,0.11118976026773453,0.0685480609536171
norseman,0.33244168758392334,0.29154762625694275,0.23074324429035187,0.6872712969779968,0.27269992232322693,0.15904587507247925
'',0.024401003494858742,0.04456103965640068,0.041273195296525955,0.06656920909881592,0.05775728076696396,0.018684765323996544
),0.2457384318113327,0.3267642855644226,0.3456730246543884,0.13826224207878113,0.261921226978302,0.42300865054130554
raiders,0.26838797330856323,0.22597165405750275,0.31380945444107056,0.22843413054943085,0.2780901789665222,0.12002576887607574
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.1857973337173462,0.23547638952732086,0.20544172823429108
pirates,0.26080119609832764,0.18788939714431763,0.2807912528514862,0.2076723724603653,0.19691400229930878,0.14299379289150238
from,0.27839982509613037,0.31171464920043945,0.40150508284568787,0.18385997414588928,0.17586389183998108,0.19969791173934937
denmark,0.212678462266922,0.18529893457889557,0.2167552262544632,0.3041585683822632,0.13911110162734985,0.12332404404878616
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.18826617300510406,0.23893310129642487,0.31091248989105225
iceland,0.19680191576480865,0.15160304307937622,0.2088559865951538,0.38981005549430847,0.12869293987751007,0.09851763397455215
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.1857973337173462,0.23547638952732086,0.20544172823429108
norway,0.17912127077579498,0.17472463846206665,0.20952337980270386,0.4249105453491211,0.21067668497562408,0.12105534970760345
who,0.9999998807907104,0.3318818509578705,0.3733934462070465,0.2581562399864197,0.31168457865715027,0.26220351457595825
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.18826617300510406,0.23893310129642487,0.31091248989105225
under,0.2962189018726349,0.2672741413116455,0.3348022699356079,0.14754599332809448,0.20803102850914001,0.18233340978622437
their,0.3767721951007843,0.2396296262741089,0.516537070274353,0.18631663918495178,0.15972255170345306,0.1898253709077835
leader,0.31168457865715027,0.3073844909667969,0.27799519896507263,0.15166591107845306,1.0,0.09527933597564697
rollo,0.2844695448875427,0.2316606491804123,0.2636377513408661,0.2562432289123535,0.25927993655204773,0.18782676756381989
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.18826617300510406,0.23893310129642487,0.31091248989105225
agreed,0.3223225474357605,0.2848299443721771,0.24722334742546082,0.11923404037952423,0.21685953438282013,0.21258382499217987
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.172392338514328,0.2050279974937439,0.29463258385658264
swear,0.3409605622291565,0.17934666574001312,0.2470630556344986,0.2662774920463562,0.2013847827911377,0.2743318974971771
fealty,0.3266862630844116,0.25349536538124084,0.28194183111190796,0.2798755466938019,0.3193044364452362,0.16436420381069183
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.172392338514328,0.2050279974937439,0.29463258385658264
king,0.24555552005767822,0.27377256751060486,0.25887003540992737,0.26991602778434753,0.26940420269966125,0.19130074977874756
charles,0.27103671431541443,0.28342804312705994,0.20777860283851624,0.10948476940393448,0.17546187341213226,0.17366734147071838
iii,0.1920083463191986,0.22718268632888794,0.18552400171756744,0.1526862531900406,0.14515246450901031,0.13642357289791107
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.20754212141036987,0.24122127890586853,0.1826142966747284
west,0.1436629444360733,0.25970903038978577,0.32918402552604675,0.1518038958311081,0.17500081658363342,0.12088293582201004
francia,0.21510417759418488,0.27749502658843994,0.292795330286026,0.25513365864753723,0.22982001304626465,0.14648514986038208
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.15946875512599945,0.21285216510295868,0.4130953550338745
