,who,is,the,founder,of,the,salvation,army,?
such,0.2594927251338959,0.23545363545417786,0.3575236201286316,0.1589193195104599,0.3209529519081116,0.3575236201286316,0.16815833747386932,0.09177877753973007,0.17851735651493073
exemplary,0.3324614465236664,0.20267631113529205,0.2559109330177307,0.08101965487003326,0.31319865584373474,0.2559109330177307,0.32109516859054565,0.22771434485912323,0.23616957664489746
saints,0.24135389924049377,0.23882900178432465,0.22267529368400574,0.22070369124412537,0.2700014114379883,0.22267529368400574,0.3667217195034027,0.11412152647972107,0.1782425343990326
include,0.15078489482402802,0.28863582015037537,0.2951717972755432,0.12647421658039093,0.37431180477142334,0.2951717972755432,0.11003465950489044,0.037513695657253265,0.14925788342952728
martyrs,0.2146632969379425,0.14308741688728333,0.2520490288734436,0.254511296749115,0.2952592968940735,0.2520490288734436,0.40696847438812256,0.24955305457115173,0.1275576502084732
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2440452128648758,0.4946078956127167,0.4933079481124878,0.23196962475776672,0.230897456407547,0.31091248989105225
confessors,0.3282344341278076,0.18134647607803345,0.2427109181880951,0.19440938532352448,0.27901044487953186,0.2427109181880951,0.2801869809627533,0.26417022943496704,0.18980196118354797
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.25088685750961304,1.0,0.733189046382904,0.2523575723171234,0.2669098675251007,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,1.0,0.24715600907802582,0.733189046382904,1.0,0.30236515402793884,0.31011611223220825,0.22068053483963013
faith,0.28115373849868774,0.2154717594385147,0.20665863156318665,0.1757802665233612,0.20991961658000946,0.20665863156318665,0.41309306025505066,0.15090559422969818,0.2833177447319031
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2440452128648758,0.4946078956127167,0.4933079481124878,0.23196962475776672,0.230897456407547,0.31091248989105225
evangelists,0.30159440636634827,0.13201665878295898,0.23910737037658691,0.2794930934906006,0.2267126441001892,0.23910737037658691,0.3762701153755188,0.18314909934997559,0.16212449967861176
