,how,many,plant,species,are,of,interest,to,society,and,manufacturers,exist,in,the,amazon,rainforest,?
to,0.44169697165489197,0.40243685245513916,0.20493197441101074,0.2193736732006073,0.3504326641559601,0.41548454761505127,0.29384326934814453,1.0,0.20199917256832123,0.48971283435821533,0.27764609456062317,0.2506487965583801,0.45010748505592346,0.535392165184021,0.17033490538597107,0.23412610590457916,0.29463258385658264
date,0.16644634306430817,0.10952645540237427,0.18280020356178284,0.13960672914981842,0.1222395971417427,0.19568462669849396,0.151982843875885,0.2530132532119751,0.146818608045578,0.21585220098495483,0.1870468258857727,0.21893195807933807,0.21362407505512238,0.25333094596862793,0.08962918072938919,0.12953676283359528,0.2698357403278351
",",0.22659391164779663,0.40610817074775696,0.25194862484931946,0.2223871648311615,0.4062570035457611,0.4946078956127167,0.2741461396217346,0.44245919585227966,0.20629194378852844,0.6633074283599854,0.18584191799163818,0.2977049946784973,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.2737860679626465,0.31091248989105225
an,0.2520636022090912,0.2465583086013794,0.22981685400009155,0.15628215670585632,0.1556541919708252,0.32280945777893066,0.18294550478458405,0.3138085603713989,0.17547515034675598,0.2838519215583801,0.14472439885139465,0.13855355978012085,0.2605783939361572,0.4207492768764496,0.16257908940315247,0.15750433504581451,0.19793890416622162
estimated,0.21406520903110504,0.25811848044395447,0.22000274062156677,0.2682102918624878,0.21499647200107574,0.30473583936691284,0.19222988188266754,0.2046545445919037,0.10549481213092804,0.211697056889534,0.16444016993045807,0.15032118558883667,0.2508986294269562,0.29184040427207947,0.23130109906196594,0.28021517395973206,0.18149758875370026
"438,000",0.03630061820149422,0.12971442937850952,0.04054190590977669,-0.0028318006079643965,-0.004775163717567921,0.253983736038208,0.05318155884742737,0.12199340760707855,0.16630057990550995,0.18920716643333435,0.07565822452306747,0.09692873060703278,0.19494859874248505,0.2304653823375702,0.15518900752067566,0.014066374860703945,0.11573739349842072
species,0.20142129063606262,0.25436872243881226,0.47544243931770325,0.9999999403953552,0.3297041952610016,0.23307405412197113,0.14637206494808197,0.2193736732006073,0.18460936844348907,0.23547904193401337,0.17133969068527222,0.23082691431045532,0.2179255336523056,0.2522439956665039,0.2994495630264282,0.477342426776886,0.1957087516784668
of,0.2480744868516922,0.37253960967063904,0.26645857095718384,0.23307405412197113,0.39081433415412903,1.0,0.2115241438150406,0.41548454761505127,0.23646748065948486,0.5116966962814331,0.19939446449279785,0.28013259172439575,0.5696388483047485,0.733189046382904,0.20143137872219086,0.22522282600402832,0.1826142966747284
plants,0.2699413597583771,0.3341540992259979,0.8344468474388123,0.5846481919288635,0.35990846157073975,0.29386165738105774,0.17196229100227356,0.27162864804267883,0.24368040263652802,0.3052898943424225,0.2584703862667084,0.22915975749492645,0.2697395086288452,0.29499560594558716,0.27369287610054016,0.433334618806839,0.1473488062620163
of,0.2480744868516922,0.37253960967063904,0.26645857095718384,0.23307405412197113,0.39081433415412903,1.0,0.2115241438150406,0.41548454761505127,0.23646748065948486,0.5116966962814331,0.19939446449279785,0.28013259172439575,0.5696388483047485,0.733189046382904,0.20143137872219086,0.22522282600402832,0.1826142966747284
economic,0.22296547889709473,0.25956982374191284,0.1566912829875946,0.19487540423870087,0.17979218065738678,0.3030148148536682,0.1790027618408203,0.26856908202171326,0.300777405500412,0.2707010805606842,0.24019749462604523,0.15929169952869415,0.22027181088924408,0.282455176115036,0.1852806806564331,0.2436756193637848,0.1206481084227562
and,0.33647966384887695,0.5296266674995422,0.2409428209066391,0.23547904193401337,0.48576638102531433,0.5116966962814331,0.26105934381484985,0.48971283435821533,0.24110737442970276,1.0,0.2283913642168045,0.2538236081600189,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.26834338903427124,0.20544172823429108
social,0.2205141931772232,0.2721116840839386,0.1284051537513733,0.18193772435188293,0.21125389635562897,0.2605111300945282,0.25084221363067627,0.19684761762619019,0.4514988660812378,0.38231831789016724,0.12300091981887817,0.21442079544067383,0.23382627964019775,0.21797899901866913,0.21295827627182007,0.22392353415489197,0.1615191102027893
interest,0.26927149295806885,0.3078969717025757,0.1429091840982437,0.14637206494808197,0.22280853986740112,0.2115241438150406,1.0000001192092896,0.29384326934814453,0.22815093398094177,0.26105934381484985,0.12679487466812134,0.2072288990020752,0.27232617139816284,0.197127103805542,0.16229978203773499,0.21248118579387665,0.2411724328994751
have,0.4370637536048889,0.5841760635375977,0.23837271332740784,0.3239450752735138,0.6577680706977844,0.3802283704280853,0.3377552330493927,0.4544740617275238,0.18951740860939026,0.4711785912513733,0.27906689047813416,0.4638937711715698,0.36843645572662354,0.40389683842658997,0.20372521877288818,0.29352760314941406,0.32991164922714233
been,0.26456597447395325,0.4963826537132263,0.22371040284633636,0.2805362343788147,0.4703826308250427,0.31685134768486023,0.2711270749568939,0.34945759177207947,0.19822876155376434,0.3424558639526367,0.2136126011610031,0.31249716877937317,0.3515113592147827,0.3563927710056305,0.13283225893974304,0.21264642477035522,0.24354910850524902
registered,0.19916783273220062,0.22357608377933502,0.08805348724126816,0.16073577105998993,0.2125171422958374,0.17804858088493347,0.3461320102214813,0.2159089893102646,0.23401311039924622,0.15022504329681396,0.29746079444885254,0.283199667930603,0.193543940782547,0.23383188247680664,0.18133477866649628,0.12559901177883148,0.24155336618423462
in,0.2601168751716614,0.41474202275276184,0.2597269117832184,0.2179255336523056,0.3841303884983063,0.5696388483047485,0.27232617139816284,0.45010748505592346,0.21229879558086395,0.4954058527946472,0.17006586492061615,0.2361043095588684,1.0,0.6662389636039734,0.12227833271026611,0.2207682877779007,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.28395459055900574,0.2522439956665039,0.40399202704429626,0.733189046382904,0.197127103805542,0.535392165184021,0.2789285480976105,0.5171257257461548,0.22994959354400635,0.3024537265300751,0.6662389636039734,1.0,0.260541707277298,0.2571161389350891,0.22068053483963013
region,0.15155482292175293,0.17234529554843903,0.1843220591545105,0.22915275394916534,0.20011243224143982,0.2852717339992523,0.13349181413650513,0.24118299782276154,0.16245093941688538,0.2372262328863144,0.2031516134738922,0.17138323187828064,0.3524819314479828,0.35020557045936584,0.18148772418498993,0.25668972730636597,0.13441751897335052
with,0.3525622487068176,0.35744401812553406,0.18355664610862732,0.1754012405872345,0.38996943831443787,0.41827285289764404,0.1937357634305954,0.4239959120750427,0.1061180979013443,0.5477725267410278,0.23513010144233704,0.20714473724365234,0.4080928862094879,0.4223487675189972,0.21287250518798828,0.19804547727108002,0.2433311939239502
many,0.4425291419029236,0.9999999403953552,0.2707696259021759,0.25436872243881226,0.5655534863471985,0.37253960967063904,0.3078969717025757,0.40243685245513916,0.2873149514198303,0.5296266674995422,0.27485737204551697,0.3568662405014038,0.41474202275276184,0.4335206151008606,0.22591036558151245,0.30444011092185974,0.2124512493610382
