,what,is,an,expression,that,can,be,used,to,illustrate,the,suspected,inequality,of,complexity,classes,?
for,0.3017193675041199,0.43268078565597534,0.3236706852912903,0.33762842416763306,0.4137635827064514,0.35690054297447205,0.3801851272583008,0.4236139953136444,0.4451248347759247,0.1933273822069168,0.4739971458911896,0.2196549028158188,0.256974995136261,0.4185989499092102,0.27243003249168396,0.20599915087223053,0.264628142118454
instance,0.3862040638923645,0.33154773712158203,0.2888215482234955,0.38134193420410156,0.4266536235809326,0.46404144167900085,0.43630778789520264,0.4317927062511444,0.3533851206302643,0.2328852266073227,0.3539782464504242,0.22628001868724823,0.3572298586368561,0.3011147379875183,0.4233102798461914,0.29374343156814575,0.30205854773521423
p,0.18586504459381104,0.11757151037454605,0.11000028997659683,0.11565108597278595,0.15546166896820068,0.15593776106834412,0.12313798069953918,0.09538604319095612,0.14269764721393585,0.10070353001356125,0.16481639444828033,0.04760714992880821,0.17406171560287476,0.18174134194850922,0.2279624342918396,0.15806759893894196,0.20840544998645782
⊆,-0.2975836992263794,-0.31732654571533203,-0.1774950474500656,-0.27375084161758423,-0.2663186490535736,-0.3426761329174042,-0.29156750440597534,-0.2715092599391937,-0.2771044671535492,-0.2036205530166626,-0.2681195139884949,-0.13849401473999023,-0.1485505849123001,-0.26598796248435974,-0.23261421918869019,-0.1585029661655426,-0.25214657187461853
np,0.273849755525589,0.2208731323480606,0.09647926688194275,0.22714409232139587,0.2149038165807724,0.29079514741897583,0.24087633192539215,0.15020982921123505,0.12644809484481812,0.10364077240228653,0.14565430581569672,0.17828688025474548,0.37408682703971863,0.13667912781238556,0.4016888439655304,0.2044486701488495,0.25319206714630127
⊆,-0.2975836992263794,-0.31732654571533203,-0.1774950474500656,-0.27375084161758423,-0.2663186490535736,-0.3426761329174042,-0.29156750440597534,-0.2715092599391937,-0.2771044671535492,-0.2036205530166626,-0.2681195139884949,-0.13849401473999023,-0.1485505849123001,-0.26598796248435974,-0.23261421918869019,-0.1585029661655426,-0.25214657187461853
pp,0.08050898462533951,0.08917724341154099,0.0928526446223259,0.1040194034576416,0.1342265009880066,0.07887923717498779,0.09753703325986862,0.157021164894104,0.186310812830925,0.20090830326080322,0.12290918081998825,0.0637255534529686,0.18097418546676636,0.17158189415931702,0.18988873064517975,0.1995047926902771,0.17373709380626678
⊆,-0.2975836992263794,-0.31732654571533203,-0.1774950474500656,-0.27375084161758423,-0.2663186490535736,-0.3426761329174042,-0.29156750440597534,-0.2715092599391937,-0.2771044671535492,-0.2036205530166626,-0.2681195139884949,-0.13849401473999023,-0.1485505849123001,-0.26598796248435974,-0.23261421918869019,-0.1585029661655426,-0.25214657187461853
pspace,0.25979843735694885,0.16461415588855743,0.14941242337226868,0.2722589671611786,0.2583278715610504,0.3393705189228058,0.2884225845336914,0.21031925082206726,0.24713535606861115,0.14660882949829102,0.1946074664592743,0.12427377700805664,0.2646346986293793,0.16999265551567078,0.2955028712749481,0.2150283008813858,0.33841776847839355
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.22825834155082703,0.4137537479400635,0.3139454126358032,0.39254459738731384,0.3120402991771698,0.44245919585227966,0.19313983619213104,0.4933079481124878,0.22825877368450165,0.21822890639305115,0.4946078956127167,0.27822354435920715,0.26848307251930237,0.31091248989105225
