,what,earlier,market,did,the,grainger,market,replace,?
the,0.42745697498321533,0.26843780279159546,0.2041238248348236,0.34736719727516174,1.0,0.19754326343536377,0.2041238248348236,0.21257810294628143,0.22068053483963013
grainger,0.19038473069667816,0.20192086696624756,0.10789944231510162,0.20738419890403748,0.19754326343536377,0.9999999403953552,0.10789944231510162,0.12463673949241638,0.14470532536506653
market,0.12116116285324097,0.09154030680656433,1.0000001192092896,0.12897977232933044,0.2041238248348236,0.10789944231510162,1.0000001192092896,0.07812555879354477,0.12805593013763428
replaced,0.12975038588047028,0.2446972131729126,0.10968116670846939,0.19568689167499542,0.2645455598831177,0.17829634249210358,0.10968116670846939,0.7624567747116089,0.14945141971111298
an,0.2821882665157318,0.2287181317806244,0.15077361464500427,0.22598257660865784,0.4207492768764496,0.1535336822271347,0.15077361464500427,0.17533667385578156,0.19793890416622162
earlier,0.22624605894088745,0.9999998807907104,0.09154030680656433,0.24518106877803802,0.26843780279159546,0.20192086696624756,0.09154030680656433,0.1170569434762001,0.13306351006031036
market,0.12116116285324097,0.09154030680656433,1.0000001192092896,0.12897977232933044,0.2041238248348236,0.10789944231510162,1.0000001192092896,0.07812555879354477,0.12805593013763428
originally,0.2645323872566223,0.3254891037940979,0.1587272435426712,0.23196664452552795,0.36820849776268005,0.29147839546203613,0.1587272435426712,0.2188829481601715,0.07821967452764511
built,0.1554843783378601,0.1799897998571396,0.155695378780365,0.2079687863588333,0.2950156033039093,0.15655404329299927,0.155695378780365,0.1914757341146469,0.09449632465839386
in,0.30808621644973755,0.24141792953014374,0.27003997564315796,0.2593238651752472,0.6662389636039734,0.19917434453964233,0.27003997564315796,0.17249517142772675,0.20430970191955566
1808,0.1315474510192871,0.07390536367893219,0.1697542518377304,0.11587584763765335,0.20552591979503632,-0.08391553908586502,0.1697542518377304,0.11933472752571106,0.06109285727143288
called,0.3235960602760315,0.21426419913768768,0.2036208063364029,0.277748167514801,0.489897221326828,0.18701577186584473,0.2036208063364029,0.17740663886070251,0.18963319063186646
the,0.42745697498321533,0.26843780279159546,0.2041238248348236,0.34736719727516174,1.0,0.19754326343536377,0.2041238248348236,0.21257810294628143,0.22068053483963013
butcher,0.1717991679906845,0.14261434972286224,0.17051593959331512,0.19471903145313263,0.25198808312416077,0.4299333989620209,0.17051593959331512,0.17618191242218018,0.17183153331279755
market,0.12116116285324097,0.09154030680656433,1.0000001192092896,0.12897977232933044,0.2041238248348236,0.10789944231510162,1.0000001192092896,0.07812555879354477,0.12805593013763428
.,0.3567904531955719,0.2584128975868225,0.19660170376300812,0.35288307070732117,0.5934505462646484,0.28335756063461304,0.19660170376300812,0.2834588289260864,0.4130953550338745
