,a,small,fraction,of,the,cold,water,flow,from,lake,constance,goes,to,what,other,lake,?
a,1.0,0.41262131929397583,0.2524751126766205,0.5052502155303955,0.5829201340675354,0.20269304513931274,0.2979097068309784,0.21422207355499268,0.322764128446579,0.20924630761146545,0.23229745030403137,0.3087483048439026,0.45503583550453186,0.3320399522781372,0.2806335389614105,0.20924630761146545,0.23916715383529663
small,0.41262131929397583,1.0,0.2826438844203949,0.353353351354599,0.39655908942222595,0.17170469462871552,0.3081543445587158,0.2005431056022644,0.23586681485176086,0.1867966204881668,0.1712782382965088,0.21130788326263428,0.3054737150669098,0.2504110634326935,0.41561388969421387,0.1867966204881668,0.13914890587329865
fraction,0.2524751126766205,0.2826438844203949,0.9999999403953552,0.21060217916965485,0.20450231432914734,0.10113727301359177,0.23855814337730408,0.2706305682659149,0.18455789983272552,0.13551469147205353,0.21396228671073914,0.1767020970582962,0.22798679769039154,0.2630118429660797,0.23416917026042938,0.13551469147205353,0.18103548884391785
of,0.5052502155303955,0.353353351354599,0.21060217916965485,1.0,0.733189046382904,0.22852186858654022,0.2741255462169647,0.2407451719045639,0.4249346852302551,0.23993153870105743,0.28979653120040894,0.2831191420555115,0.41548454761505127,0.33290785551071167,0.38583824038505554,0.23993153870105743,0.1826142966747284
the,0.5829201340675354,0.39655908942222595,0.20450231432914734,0.733189046382904,1.0,0.2897129952907562,0.297396719455719,0.314039409160614,0.40150508284568787,0.24325428903102875,0.23177717626094818,0.3992326557636261,0.535392165184021,0.42745697498321533,0.44152235984802246,0.24325428903102875,0.22068053483963013
flow,0.21422207355499268,0.2005431056022644,0.2706305682659149,0.2407451719045639,0.314039409160614,0.23146981000900269,0.4377398192882538,0.9999999403953552,0.21963053941726685,0.283983439207077,0.2329467087984085,0.29301154613494873,0.27439337968826294,0.1798735409975052,0.2357497215270996,0.283983439207077,0.10458291321992874
is,0.658733606338501,0.32085540890693665,0.22828060388565063,0.4854315221309662,0.5823672413825989,0.2065940797328949,0.2879090905189514,0.26788079738616943,0.27355384826660156,0.22300897538661957,0.2383592426776886,0.3994747996330261,0.42745086550712585,0.28837618231773376,0.25895947217941284,0.22300897538661957,0.22961433231830597
diverted,0.23599012196063995,0.2507624328136444,0.17310163378715515,0.27397313714027405,0.32217684388160706,0.14915461838245392,0.35389941930770874,0.3027724027633667,0.21060407161712646,0.27910399436950684,0.17854103446006775,0.2807733118534088,0.2756052613258362,0.15211139619350433,0.2510926425457001,0.27910399436950684,0.03732670471072197
off,0.2788178026676178,0.25865447521209717,0.21010345220565796,0.20023372769355774,0.2773582935333252,0.18296493589878082,0.21829162538051605,0.1783601939678192,0.2782316207885742,0.11362159997224808,0.11112795025110245,0.22717510163784027,0.3533020317554474,0.2350364625453949,0.2574843466281891,0.11362159997224808,0.12937544286251068
the,0.5829201340675354,0.39655908942222595,0.20450231432914734,0.733189046382904,1.0,0.2897129952907562,0.297396719455719,0.314039409160614,0.40150508284568787,0.24325428903102875,0.23177717626094818,0.3992326557636261,0.535392165184021,0.42745697498321533,0.44152235984802246,0.24325428903102875,0.22068053483963013
island,0.2505504786968231,0.2635875642299652,0.10928953438997269,0.24887794256210327,0.2837921977043152,0.10253830999135971,0.20661894977092743,0.0772620216012001,0.26998573541641235,0.2951333820819855,0.13677921891212463,0.14696039259433746,0.18618161976337433,0.1299295574426651,0.19014261662960052,0.2951333820819855,0.0887429490685463
of,0.5052502155303955,0.353353351354599,0.21060217916965485,1.0,0.733189046382904,0.22852186858654022,0.2741255462169647,0.2407451719045639,0.4249346852302551,0.23993153870105743,0.28979653120040894,0.2831191420555115,0.41548454761505127,0.33290785551071167,0.38583824038505554,0.23993153870105743,0.1826142966747284
mainau,0.2276066392660141,0.21298611164093018,0.1408315747976303,0.3564479947090149,0.30032846331596375,0.12024321407079697,0.1526695191860199,0.15208682417869568,0.1776578277349472,0.1624699980020523,0.4094140827655792,0.13768458366394043,0.191581130027771,0.14437690377235413,0.2251778393983841,0.1624699980020523,0.18347427248954773
into,0.3461161255836487,0.28315088152885437,0.21095962822437286,0.32255905866622925,0.39493247866630554,0.20739319920539856,0.2901814877986908,0.26189538836479187,0.3410196900367737,0.1555050164461136,0.16675768792629242,0.29709360003471375,0.38810545206069946,0.2180619090795517,0.25933539867401123,0.1555050164461136,0.15662476420402527
lake,0.20924630761146545,0.1867966204881668,0.13551469147205353,0.23993153870105743,0.24325428903102875,0.1970924288034439,0.40283486247062683,0.283983439207077,0.1707027703523636,1.0000001192092896,0.30982735753059387,0.2196129560470581,0.16680742800235748,0.17778855562210083,0.13743217289447784,1.0000001192092896,0.07226386666297913
überlingen,0.19863979518413544,0.16789796948432922,0.10021821409463882,0.2500878572463989,0.22370602190494537,0.14910686016082764,0.060317400842905045,0.04257151484489441,0.17420977354049683,0.17476817965507507,0.37725830078125,0.12523716688156128,0.12540435791015625,0.13348805904388428,0.11112469434738159,0.17476817965507507,0.12143563479185104
.,0.50484299659729,0.3130834400653839,0.15836627781391144,0.5352458953857422,0.5934505462646484,0.253801554441452,0.26634910702705383,0.191733717918396,0.41536515951156616,0.18603695929050446,0.2745775878429413,0.26389724016189575,0.4645031690597534,0.3567904531955719,0.41511186957359314,0.18603695929050446,0.4130953550338745
