,what,is,the,goal,of,individual,civil,disobedience,?
non-revolutionary,0.21013399958610535,0.1980559229850769,0.2686135768890381,0.10759272426366806,0.3329097032546997,0.24714531004428864,0.39474183320999146,0.37564292550086975,0.19538861513137817
civil,0.15091551840305328,0.16941262781620026,0.2477465271949768,0.17077134549617767,0.24698495864868164,0.21166187524795532,1.0,0.5442691445350647,0.1494513899087906
disobedience,0.3298627436161041,0.21453623473644257,0.30963727831840515,0.21402046084403992,0.31932318210601807,0.2996596693992615,0.5442691445350647,1.0,0.19890835881233215
is,0.28837618231773376,1.0,0.5823672413825989,0.20883920788764954,0.4854315221309662,0.21069909632205963,0.16941262781620026,0.21453623473644257,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.20853768289089203,0.5052502155303955,0.34062352776527405,0.21693918108940125,0.25352153182029724,0.23916715383529663
simple,0.4218197166919708,0.29377081990242004,0.24738673865795135,0.2730330526828766,0.23205730319023132,0.35388997197151184,0.16772717237472534,0.24948285520076752,0.4614735543727875
disobedience,0.3298627436161041,0.21453623473644257,0.30963727831840515,0.21402046084403992,0.31932318210601807,0.2996596693992615,0.5442691445350647,1.0,0.19890835881233215
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.1838325709104538,1.0,0.3372420072555542,0.24698495864868164,0.31932318210601807,0.1826142966747284
laws,0.29636016488075256,0.17527072131633759,0.2587076723575592,0.24221040308475494,0.2539142072200775,0.19241805374622345,0.2589532434940338,0.4583999514579773,0.17911791801452637
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.2157920002937317,0.3966929316520691,0.2442283034324646,0.17390455305576324,0.2194652408361435,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,1.0,0.2443244755268097,0.733189046382904,0.3706541955471039,0.2477465271949768,0.30963727831840515,0.22068053483963013
grounds,0.2024700939655304,0.25419503450393677,0.2690851390361786,0.177439883351326,0.26888811588287354,0.2564844787120819,0.15576022863388062,0.2971020042896271,0.1594391018152237
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.2496824711561203,0.41498205065727234,0.3969862163066864,0.16867391765117645,0.3551425039768219,0.32716336846351624
they,0.4431931674480438,0.330102801322937,0.49925389885902405,0.18134628236293793,0.3426007330417633,0.35597726702690125,0.14507707953453064,0.3148254156112671,0.2753053903579712
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.15042772889137268,0.39081433415412903,0.334160178899765,0.12244163453578949,0.19937367737293243,0.24591213464736938
judged,0.3315237760543823,0.15107382833957672,0.2500942349433899,0.23192383348941803,0.2168378382921219,0.34847739338874817,0.10512211918830872,0.2406870275735855,0.22679932415485382
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.01941765658557415,0.06780257821083069,0.08462762832641602,0.06784805655479431,0.06214885041117668,0.0685480609536171
