,what,does,a,2013,report,on,nigeria,suggest,it,'s,growth,has,done,?
a,0.3320399522781372,0.38201746344566345,1.0,-0.3549499809741974,0.2148611694574356,0.3848365545272827,0.1491304636001587,0.26818621158599854,0.5452592968940735,0.04866964742541313,0.21544985473155975,0.4670248031616211,0.2800007462501526,0.23916715383529663
2013,-0.3886653184890747,-0.33131784200668335,-0.3549499809741974,1.0000001192092896,-0.1342553198337555,-0.3310580551624298,-0.12243098765611649,-0.3948593735694885,-0.4662441313266754,-0.05552978441119194,-0.1877349317073822,-0.31031036376953125,-0.3459271788597107,-0.2969330847263336
report,0.2868559956550598,0.1839267909526825,0.2148611694574356,-0.1342553198337555,0.9999998807907104,0.29382312297821045,0.12072286754846573,0.247407928109169,0.2226962149143219,-0.0383719876408577,0.19729870557785034,0.18398481607437134,0.2355067878961563,0.3138936758041382
on,0.34226128458976746,0.2568802833557129,0.3848365545272827,-0.3310580551624298,0.29382312297821045,0.9999999403953552,0.13837246596813202,0.25547099113464355,0.4529881477355957,0.0026888418942689896,0.11376523971557617,0.34604379534721375,0.2706708610057831,0.2714994251728058
nigeria,0.1531970351934433,0.16605769097805023,0.1491304636001587,-0.12243098765611649,0.12072286754846573,0.13837246596813202,1.0000001192092896,0.12224290519952774,0.1442681849002838,0.044169120490550995,0.09941486269235611,0.15315069258213043,0.12522241473197937,0.17393073439598083
suggests,0.3129163086414337,0.33154788613319397,0.3173498809337616,-0.3317658007144928,0.28177928924560547,0.22118832170963287,0.11922869831323624,0.7414392828941345,0.2986864745616913,0.002134918235242367,0.24929185211658478,0.3232037127017975,0.2791970670223236,0.2323666214942932
that,0.6297725439071655,0.4764937460422516,0.47537946701049805,-0.49828678369522095,0.30103304982185364,0.42569106817245483,0.1835087388753891,0.4803828001022339,0.5921133160591125,0.04397977516055107,0.26227322220802307,0.41272613406181335,0.40027952194213867,0.32716336846351624
growth,0.1739405393600464,0.18474416434764862,0.21544985473155975,-0.1877349317073822,0.19729870557785034,0.11376523971557617,0.09941486269235611,0.18430377542972565,0.2740481495857239,-0.008487226441502571,1.0000001192092896,0.2680913209915161,0.16872656345367432,0.07547862827777863
has,0.20338068902492523,0.42885294556617737,0.4670248031616211,-0.31031036376953125,0.18398481607437134,0.34604379534721375,0.15315069258213043,0.2533387243747711,0.41962623596191406,-0.040683966130018234,0.2680913209915161,1.0,0.28241458535194397,0.15994466841220856
risen,0.24104274809360504,0.219655379652977,0.1923854947090149,-0.288821280002594,0.2453019767999649,0.1798991709947586,0.11144804954528809,0.2466246783733368,0.24853400886058807,-0.028900109231472015,0.318473219871521,0.28238093852996826,0.2704662084579468,0.19130191206932068
with,0.2464839518070221,0.26186925172805786,0.3783375024795532,-0.32643264532089233,0.17369085550308228,0.40749499201774597,0.1461232751607895,0.286651074886322,0.3369046747684479,-0.04624466598033905,0.1721288114786148,0.44092974066734314,0.24967576563358307,0.2433311939239502
increased,0.1599731743335724,0.20158657431602478,0.22370080649852753,-0.3023596704006195,0.27600717544555664,0.23179513216018677,0.047499723732471466,0.22525055706501007,0.1905038207769394,-0.021304117515683174,0.4110804498195648,0.2821793556213379,0.2683785855770111,0.09587585180997849
income,0.21837803721427917,0.18851257860660553,0.2084353119134903,-0.15899717807769775,0.25998154282569885,0.12938405573368073,0.1555028110742569,0.1785368025302887,0.17110911011695862,-0.006451981142163277,0.37261080741882324,0.20378613471984863,0.17407533526420593,0.14935168623924255
inequality,0.30072227120399475,0.24271976947784424,0.1783585250377655,-0.16472306847572327,0.2672257423400879,0.16136983036994934,0.1559402197599411,0.17080174386501312,0.1806231439113617,-0.0032307563815265894,0.3248327970504761,0.16442200541496277,0.23141874372959137,0.23619021475315094
.,0.3567904531955719,0.3022993505001068,0.50484299659729,-0.2911754548549652,0.277835488319397,0.49257001280784607,0.2180188149213791,0.23171280324459076,0.5593622326850891,-0.003708066651597619,0.2825547754764557,0.4105546176433563,0.3132319152355194,0.4130953550338745
