,how,long,as,the,u.s.,government,been,actively,engaged,in,efforts,to,counter,islamism,?
the,0.33890387415885925,0.3075225353240967,0.48381632566452026,1.0,0.06592652946710587,0.31798112392425537,0.3563927710056305,0.30223920941352844,0.1527579128742218,0.6662389636039734,0.26890742778778076,0.535392165184021,0.2744700014591217,0.2584027051925659,0.22068053483963013
u.s.,0.08785518258810043,0.035129155963659286,0.015271120704710484,0.06592652946710587,0.9999999403953552,-0.02470526285469532,0.007175118196755648,0.026485692709684372,0.06460097432136536,-0.003064807504415512,0.05671009421348572,0.09732837975025177,0.0029508699662983418,-0.03393026068806648,0.07886100560426712
government,0.21719732880592346,0.14046981930732727,0.1883569210767746,0.31798112392425537,-0.02470526285469532,1.0000001192092896,0.20358073711395264,0.14500726759433746,0.09630925208330154,0.3066793978214264,0.2866491377353668,0.28343796730041504,0.2212800234556198,0.3886011838912964,0.18851417303085327
has,0.26820555329322815,0.2952231168746948,0.351646363735199,0.4177538752555847,0.014947312884032726,0.205010324716568,0.6162750124931335,0.2918644845485687,0.15049438178539276,0.4173259735107422,0.1900811791419983,0.3619994819164276,0.17505879700183868,0.1472405195236206,0.15994466841220856
engaged,0.1281895786523819,0.14628316462039948,0.17091895639896393,0.1527579128742218,0.06460097432136536,0.09630925208330154,0.2522166669368744,0.2647895812988281,1.0,0.19262467324733734,0.27768266201019287,0.11751963198184967,0.17098528146743774,0.16884443163871765,0.09509497880935669
in,0.2601168751716614,0.2759332060813904,0.3887844979763031,0.6662389636039734,-0.003064807504415512,0.3066793978214264,0.3515113592147827,0.2436000555753708,0.19262467324733734,1.0,0.21540255844593048,0.45010748505592346,0.1700257956981659,0.20508189499378204,0.20430970191955566
efforts,0.23529531061649323,0.0863579735159874,0.2594930827617645,0.26890742778778076,0.05671009421348572,0.2866491377353668,0.3217560946941376,0.3388265073299408,0.27768266201019287,0.21540255844593048,1.0,0.36228540539741516,0.2243705689907074,0.3111882209777832,0.16157089173793793
to,0.44169697165489197,0.30218687653541565,0.42092081904411316,0.535392165184021,0.09732837975025177,0.28343796730041504,0.34945759177207947,0.3418986201286316,0.11751963198184967,0.45010748505592346,0.36228540539741516,1.0,0.2687622904777527,0.23028403520584106,0.29463258385658264
counter,0.22386345267295837,0.1923529952764511,0.25192874670028687,0.2744700014591217,0.0029508699662983418,0.2212800234556198,0.18482425808906555,0.23399971425533295,0.17098528146743774,0.1700257956981659,0.2243705689907074,0.2687622904777527,1.0000001192092896,0.2937009930610657,0.12520115077495575
islamism,0.1836487203836441,0.14591377973556519,0.22173546254634857,0.2584027051925659,-0.03393026068806648,0.3886011838912964,0.2002374231815338,0.16222773492336273,0.16884443163871765,0.20508189499378204,0.3111882209777832,0.23028403520584106,0.2937009930610657,1.0000001192092896,0.19147449731826782
",",0.22659391164779663,0.3431144952774048,0.48816442489624023,0.4933079481124878,0.030410487204790115,0.27344048023223877,0.34873589873313904,0.29617661237716675,0.2555214762687683,0.5201468467712402,0.20678693056106567,0.44245919585227966,0.21975666284561157,0.20622773468494415,0.31091248989105225
or,0.3378981947898865,0.2804487943649292,0.4400654137134552,0.4174870550632477,-0.04699208214879036,0.2456667572259903,0.32461076974868774,0.2887510657310486,0.08990758657455444,0.3586423695087433,0.2078133374452591,0.38921234011650085,0.2295648604631424,0.22809915244579315,0.32389625906944275
violent,0.19705399870872498,0.12116681039333344,0.20834365487098694,0.24589063227176666,0.030071955174207687,0.30165040493011475,0.14188794791698456,0.22270068526268005,0.20597627758979797,0.26667648553848267,0.2019677609205246,0.19071756303310394,0.21096836030483246,0.3953012526035309,0.1652229279279709
islamism,0.1836487203836441,0.14591377973556519,0.22173546254634857,0.2584027051925659,-0.03393026068806648,0.3886011838912964,0.2002374231815338,0.16222773492336273,0.16884443163871765,0.20508189499378204,0.3111882209777832,0.23028403520584106,0.2937009930610657,1.0000001192092896,0.19147449731826782
",",0.22659391164779663,0.3431144952774048,0.48816442489624023,0.4933079481124878,0.030410487204790115,0.27344048023223877,0.34873589873313904,0.29617661237716675,0.2555214762687683,0.5201468467712402,0.20678693056106567,0.44245919585227966,0.21975666284561157,0.20622773468494415,0.31091248989105225
since,0.2347431182861328,0.2609017491340637,0.36245352029800415,0.4054957628250122,0.015984009951353073,0.27127185463905334,0.6581953763961792,0.4063039720058441,0.19331811368465424,0.4325680434703827,0.23680831491947174,0.3733763098716736,0.15946337580680847,0.2210329920053482,0.2876587212085724
2001,-0.07048824429512024,-0.12292739748954773,-0.25043222308158875,-0.07246288657188416,-0.11326587945222855,-0.10590070486068726,-0.20503081381320953,-0.16261407732963562,-0.1919429749250412,-0.10387769341468811,-0.08488504588603973,-0.1482970118522644,-0.07000242918729782,-0.1466786116361618,-0.08740651607513428
.,0.3287222981452942,0.3247973620891571,0.515582263469696,0.5934505462646484,0.09558769315481186,0.2521961033344269,0.33645182847976685,0.2648431956768036,0.18004369735717773,0.5591574311256409,0.22250142693519592,0.4645031690597534,0.2409033477306366,0.23342493176460266,0.4130953550338745
