,what,are,the,siouan-speaking,tribes,?
further,0.30867868661880493,0.2482294738292694,0.32531118392944336,0.26364025473594666,0.14798510074615479,0.20960763096809387
south,0.15388517081737518,0.21281804144382477,0.3129390776157379,0.3249720335006714,0.26781323552131653,0.12336621433496475
the,0.42745697498321533,0.40399202704429626,1.0,0.42304080724716187,0.26830655336380005,0.22068053483963013
southeast,0.14982359111309052,0.23038241267204285,0.32264992594718933,0.34728801250457764,0.2786800265312195,0.1004139706492424
interior,0.15294553339481354,0.1494462490081787,0.30233609676361084,0.1996215134859085,0.1164400726556778,0.07520901411771774
was,0.22111038863658905,0.3076191842556,0.48711544275283813,0.25798672437667847,0.16813719272613525,0.18412111699581146
dominated,0.145044207572937,0.18188512325286865,0.33543094992637634,0.3209016025066376,0.24250398576259613,0.04715321213006973
by,0.2455483376979828,0.37842893600463867,0.4408751428127289,0.232852965593338,0.18261399865150452,0.17966607213020325
siouan-speaking,0.36593493819236755,0.3666555881500244,0.42304080724716187,1.0000001192092896,0.3822276294231415,0.23312129080295563
catawba,0.2791871428489685,0.21214638650417328,0.3661820888519287,0.4357018768787384,0.221429243683815,0.24333831667900085
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.32674717903137207,0.19590550661087036,0.31091248989105225
muskogee-speaking,0.3719201385974884,0.40435588359832764,0.4637856185436249,0.803083062171936,0.33197927474975586,0.27103662490844727
creek,0.14430326223373413,0.1128777340054512,0.18927018344402313,0.2418295294046402,0.18323922157287598,0.10912753641605377
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.3260155916213989,0.2041163444519043,0.20544172823429108
choctaw,0.24991202354431152,0.22545921802520752,0.3333313465118408,0.4576739966869354,0.4659040570259094,0.21504952013492584
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.32674717903137207,0.19590550661087036,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.3260155916213989,0.2041163444519043,0.20544172823429108
the,0.42745697498321533,0.40399202704429626,1.0,0.42304080724716187,0.26830655336380005,0.22068053483963013
iroquoian-speaking,0.36295345425605774,0.33209630846977234,0.38624536991119385,0.8374772071838379,0.4490736126899719,0.214143767952919
cherokee,0.19220077991485596,0.1588621735572815,0.21480794250965118,0.34514355659484863,0.37585189938545227,0.18347300589084625
tribes,0.1860227882862091,0.26104602217674255,0.26830655336380005,0.3822276294231415,0.9999999403953552,0.08824794739484787
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.3162311911582947,0.10744687169790268,0.4130953550338745
