,the,rhine,redistributes,into,the,ijssel,and,what,other,body,?
the,1.0,0.30735138058662415,0.31868210434913635,0.39493247866630554,1.0,0.2897469401359558,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.31682634353637695,0.22068053483963013
other,0.44152235984802246,0.19601790606975555,0.31744083762168884,0.25933539867401123,0.44152235984802246,0.1779414564371109,0.5504306554794312,0.341873437166214,0.9999999403953552,0.30363401770591736,0.24682199954986572
third,0.4229298532009125,0.13787733018398285,0.13822051882743835,0.16614145040512085,0.4229298532009125,0.1162368431687355,0.26207348704338074,0.2033906877040863,0.200852170586586,0.19571328163146973,0.15394791960716248
of,0.733189046382904,0.2548927664756775,0.31571927666664124,0.32255905866622925,0.733189046382904,0.25134557485580444,0.5116966962814331,0.33290785551071167,0.38583824038505554,0.25063133239746094,0.1826142966747284
the,1.0,0.30735138058662415,0.31868210434913635,0.39493247866630554,1.0,0.2897469401359558,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.31682634353637695,0.22068053483963013
water,0.297396719455719,0.18943050503730774,0.20908242464065552,0.2901814877986908,0.297396719455719,0.2900756001472473,0.3054247498512268,0.17456887662410736,0.2921212315559387,0.3155747652053833,0.14731885492801666
flows,0.32405155897140503,0.2871347963809967,0.19279977679252625,0.33567726612091064,0.32405155897140503,0.32639259099960327,0.2396772801876068,0.14294633269309998,0.1795012354850769,0.1955360323190689,0.11636040359735489
through,0.44071322679519653,0.23343999683856964,0.26741209626197815,0.4954398572444916,0.44071322679519653,0.2427019476890564,0.3666759729385376,0.23167094588279724,0.261025607585907,0.19350562989711761,0.16913433372974396
the,1.0,0.30735138058662415,0.31868210434913635,0.39493247866630554,1.0,0.2897469401359558,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.31682634353637695,0.22068053483963013
pannerdens,0.280071884393692,0.3437498211860657,0.24028585851192474,0.14275331795215607,0.280071884393692,0.3980560898780823,0.30147531628608704,0.16069452464580536,0.1618623286485672,0.20939518511295319,0.1864292174577713
kanaal,0.18932488560676575,0.4263633191585541,0.10612264275550842,0.2108955979347229,0.18932488560676575,0.5308628678321838,0.18162032961845398,0.19192254543304443,0.10194490849971771,0.06262357532978058,0.12247966974973679
and,0.5171257257461548,0.22029656171798706,0.2853023409843445,0.36597734689712524,0.5171257257461548,0.21239511668682098,1.0,0.31309178471565247,0.5504306554794312,0.2872275710105896,0.20544172823429108
redistributes,0.31868210434913635,0.15294209122657776,1.0000001192092896,0.2550975978374481,0.31868210434913635,0.2348158210515976,0.2853023409843445,0.24882610142230988,0.31744083762168884,0.20990367233753204,0.11713492125272751
in,0.6662389636039734,0.24648422002792358,0.2472490668296814,0.38021373748779297,0.6662389636039734,0.23714964091777802,0.4954058527946472,0.30808621644973755,0.39989137649536133,0.2549867033958435,0.20430970191955566
the,1.0,0.30735138058662415,0.31868210434913635,0.39493247866630554,1.0,0.2897469401359558,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.31682634353637695,0.22068053483963013
ijssel,0.2897469401359558,0.544929563999176,0.2348158210515976,0.2875998914241791,0.2897469401359558,1.0,0.21239511668682098,0.1740538328886032,0.1779414564371109,0.14501158893108368,0.10587967932224274
and,0.5171257257461548,0.22029656171798706,0.2853023409843445,0.36597734689712524,0.5171257257461548,0.21239511668682098,1.0,0.31309178471565247,0.5504306554794312,0.2872275710105896,0.20544172823429108
nederrijn,0.1956699937582016,0.40257158875465393,0.15899163484573364,0.15256458520889282,0.1956699937582016,0.5485771894454956,0.2645431458950043,0.17190618813037872,0.1442549079656601,0.13551081717014313,0.254536509513855
.,0.5934505462646484,0.2089352011680603,0.2626720666885376,0.26250120997428894,0.5934505462646484,0.2116578221321106,0.588965117931366,0.3567904531955719,0.41511186957359314,0.29751062393188477,0.4130953550338745
