,who,hosted,the,bandstand,show,debuted,on,abc,in,1957,?
in,0.2792111933231354,0.2707974314689636,0.6662389636039734,0.24994903802871704,0.27595704793930054,0.25110283493995667,0.46853652596473694,0.1697147786617279,1.0,-0.044204503297805786,0.20430970191955566
1957,-0.11810751259326935,-0.07892654091119766,-0.091727614402771,0.02695898525416851,-0.06322039663791656,-0.20692424476146698,-0.13503338396549225,-0.1557149738073349,-0.044204503297805786,1.0000001192092896,-0.11977791041135788
",",0.3365725874900818,0.27969205379486084,0.4933079481124878,0.2053246796131134,0.31928569078445435,0.23864160478115082,0.49057599902153015,0.2097204476594925,0.5201468467712402,-0.07933740317821503,0.31091248989105225
abc,0.14673753082752228,0.3535350561141968,0.2068762183189392,0.21551045775413513,0.4449407458305359,0.27247121930122375,0.2862928807735443,1.0000001192092896,0.1697147786617279,-0.1557149738073349,0.19065172970294952
entertainment,0.18041250109672546,0.28902408480644226,0.19077853858470917,0.23158380389213562,0.3530449867248535,0.3272319734096527,0.19212140142917633,0.28069135546684265,0.20493005216121674,-0.10932309180498123,0.11855241656303406
president,0.22565458714962006,0.249067023396492,0.24330610036849976,0.09883080422878265,0.14905905723571777,0.15554505586624146,0.18996542692184448,0.20593604445457458,0.18811661005020142,-0.16351576149463654,0.14148259162902832
ollie,0.24718809127807617,0.162357360124588,0.19197000563144684,0.16688449680805206,0.21044203639030457,0.16115298867225647,0.21039633452892303,0.18749742209911346,0.14388152956962585,-0.14149519801139832,0.20129382610321045
treiz,0.18897779285907745,0.2101268768310547,0.3046548664569855,0.24535183608531952,0.15474365651607513,0.19644632935523987,0.20853294432163239,0.22883228957653046,0.3004986047744751,0.07730584591627121,0.12576082348823547
discovered,0.2225436121225357,0.17029626667499542,0.27493247389793396,0.08791399002075195,0.16698750853538513,0.14909817278385162,0.17871862649917603,0.10151779651641846,0.2801778018474579,-0.07025279104709625,0.08452875912189484
that,0.45444270968437195,0.19067645072937012,0.5473989248275757,0.18591968715190887,0.3486354649066925,0.13997265696525574,0.42569106817245483,0.17440107464790344,0.435920387506485,-0.11624494940042496,0.32716336846351624
