,who,wrote,the,nong,shu,?
some,0.3978389501571655,0.2973584532737732,0.4566698372364044,0.20092439651489258,0.1087152436375618,0.2562315762042999
yuan,0.20351146161556244,0.1365201771259308,0.2548272907733917,0.4615898132324219,0.44942957162857056,0.12871281802654266
documents,0.19694828987121582,0.2637574076652527,0.3147846758365631,0.11542582511901855,0.15079306066036224,0.19020383059978485
such,0.2594927251338959,0.20972071588039398,0.3575236201286316,0.16629813611507416,0.10531771928071976,0.17851735651493073
as,0.3923053741455078,0.19762034714221954,0.48381632566452026,0.2184077948331833,0.16172640025615692,0.27043893933296204
wang,0.22869056463241577,0.1497056782245636,0.16254617273807526,0.6033439040184021,0.4642693102359772,0.17497806251049042
zhen,0.20977503061294556,0.17171061038970947,0.2081335037946701,0.5322427153587341,0.519049346446991,0.1595749706029892
's,0.05599616840481758,0.07554080337285995,-0.01540423184633255,0.053313691169023514,-0.04938569664955139,-0.023395681753754616
nong,0.11659561097621918,0.130852609872818,0.14500202238559723,1.0000001192092896,0.3885316848754883,0.1824045032262802
shu,0.20072925090789795,0.09212325513362885,0.201680988073349,0.3885316848754883,1.0,0.14095842838287354
were,0.3188014328479767,0.3381096124649048,0.3906462490558624,0.16352201998233795,0.14118386805057526,0.17890112102031708
printed,0.16090945899486542,0.3702411949634552,0.25742077827453613,0.1090765967965126,0.14730210602283478,0.1726173758506775
with,0.3282766342163086,0.18946580588817596,0.4223487675189972,0.08540836721658707,0.13972999155521393,0.2433311939239502
earthenware,0.17174988985061646,0.13494184613227844,0.2493865191936493,0.19475603103637695,0.27008888125419617,0.14835289120674133
movable,0.1639566570520401,0.08904291689395905,0.24211017787456512,0.21032458543777466,0.19696933031082153,0.15568538010120392
type,0.1257498413324356,0.10234593600034714,0.21819381415843964,0.15177248418331146,0.10344774276018143,0.17536182701587677
",",0.3365725874900818,0.27225261926651,0.4933079481124878,0.22820235788822174,0.16049310564994812,0.31091248989105225
a,0.36608949303627014,0.232523575425148,0.5829201340675354,0.13761189579963684,0.11037245392799377,0.23916715383529663
technology,0.15122637152671814,0.08476240932941437,0.21669498085975647,0.14910055696964264,0.10023877024650574,0.11564995348453522
invented,0.23703113198280334,0.2522774636745453,0.16009420156478882,0.12508077919483185,0.1320624202489853,0.13781782984733582
in,0.2792111933231354,0.2898900806903839,0.6662389636039734,0.08709972351789474,0.12375851720571518,0.20430970191955566
the,0.3733934462070465,0.2426944375038147,1.0,0.14500202238559723,0.201680988073349,0.22068053483963013
12th,0.12905758619308472,0.12601147592067719,0.27435246109962463,0.09900729358196259,0.13560183346271515,0.05097517371177673
century,0.2990973889827728,0.31299105286598206,0.3617299497127533,0.11605288833379745,0.15097719430923462,0.1026201918721199
.,0.3541337847709656,0.2480330765247345,0.5934505462646484,0.14981862902641296,0.1919955164194107,0.4130953550338745
