,what,type,of,tunnels,are,constructed,through,newcastle,'s,city,center,?
it,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.2224152535200119,0.3617996573448181,0.21607379615306854,0.3374522924423218,0.17789338529109955,0.06608816236257553,0.3001909852027893,0.2297804355621338,0.25732165575027466
was,0.22111038863658905,0.14348182082176208,0.4069072902202606,0.16594552993774414,0.3076191842556,0.2546897530555725,0.21752823889255524,0.25710436701774597,0.008974763564765453,0.3188765048980713,0.19517986476421356,0.18412111699581146
developed,0.15555569529533386,0.2697330415248871,0.21960023045539856,0.11815201491117477,0.217958003282547,0.32367536425590515,0.18890781700611115,0.14132197201251984,0.04590931162238121,0.11918211728334427,0.1845957636833191,0.10763012617826462
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.15222935378551483,0.2674213647842407,0.16983848810195923,0.4291878044605255,0.1747848093509674,-0.01936490088701248,0.3118290305137634,0.15257422626018524,0.19969791173934937
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.1857406347990036,0.265255331993103,0.257233589887619,0.3399752974510193,0.21405641734600067,0.04866964742541313,0.2349124401807785,0.2640431225299835,0.23916715383529663
combination,0.2204057276248932,0.3974694013595581,0.2990131080150604,0.14155663549900055,0.38581380248069763,0.15803702175617218,0.1794520914554596,0.11168262362480164,0.08142107725143433,0.16677820682525635,0.16890443861484528,0.1620941311120987
of,0.33290785551071167,0.18112817406654358,1.0,0.24424168467521667,0.39081433415412903,0.2552719712257385,0.3647414743900299,0.18781472742557526,-0.03817026689648628,0.32503411173820496,0.24526838958263397,0.1826142966747284
existing,0.31325602531433105,0.17491737008094788,0.30417704582214355,0.297152042388916,0.33423861861228943,0.3462049961090088,0.27511170506477356,0.1837889403104782,0.021734749898314476,0.10847428441047668,0.11631868779659271,0.31003472208976746
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2759767174720764,0.48576638102531433,0.22972804307937622,0.3666759729385376,0.20204751193523407,0.06895173341035843,0.2827445864677429,0.28670641779899597,0.20544172823429108
newly,0.16360709071159363,0.058532312512397766,0.28144341707229614,0.13316817581653595,0.22362323105335236,0.23992852866649628,0.11858361214399338,0.1423332542181015,-0.0343291349709034,0.1593572199344635,0.21564248204231262,0.08549588173627853
built,0.1554843783378601,0.1748843491077423,0.23442776501178741,0.31691887974739075,0.15228483080863953,0.6182932257652283,0.14990244805812836,0.21985043585300446,0.09241583198308945,0.2644844651222229,0.1807893067598343,0.09449632465839386
tracks,0.1380288451910019,0.1517520695924759,0.11891336739063263,0.33417120575904846,0.2374049574136734,0.21504680812358856,0.23184353113174438,0.11116322129964828,0.09676995873451233,0.06409445405006409,0.1036110371351242,0.11127933114767075
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2759767174720764,0.48576638102531433,0.22972804307937622,0.3666759729385376,0.20204751193523407,0.06895173341035843,0.2827445864677429,0.28670641779899597,0.20544172823429108
stations,0.1621520221233368,0.14995692670345306,0.20414425432682037,0.4593302607536316,0.28331783413887024,0.2474081963300705,0.2564186751842499,0.24480663239955902,0.029389679431915283,0.26229754090309143,0.2028568983078003,0.13192185759544373
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24733157455921173,0.4062570035457611,0.21606628596782684,0.3060276508331299,0.251589834690094,-0.0016132977325469255,0.35839709639549255,0.1905742734670639,0.31091248989105225
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.17996853590011597,0.38996943831443787,0.19915632903575897,0.26801666617393494,0.1710812896490097,-0.04624466598033905,0.19554263353347778,0.1499965488910675,0.2433311939239502
deep-level,0.30921897292137146,0.2425399273633957,0.22702284157276154,0.24428945779800415,0.23986895382404327,0.21163968741893768,0.2763092815876007,0.24811916053295135,0.041051145642995834,0.1988501399755478,0.2318415492773056,0.2755815386772156
tunnels,0.17968496680259705,0.09706814587116241,0.24424168467521667,1.0,0.2877897024154663,0.3410765826702118,0.33910366892814636,0.2194141000509262,-0.027170322835445404,0.2291855365037918,0.12362399697303772,0.13990333676338196
constructed,0.18810124695301056,0.15183410048484802,0.2552719712257385,0.3410765826702118,0.17555591464042664,1.0000001192092896,0.17798814177513123,0.18369321525096893,0.01325368694961071,0.28124040365219116,0.18311968445777893,0.12459525465965271
through,0.23167094588279724,0.1296497881412506,0.3647414743900299,0.33910366892814636,0.2637137472629547,0.17798814177513123,1.0,0.12130791693925858,-0.020649312064051628,0.2258801907300949,0.22510577738285065,0.16913433372974396
newcastle,0.16276082396507263,0.14704859256744385,0.18781472742557526,0.2194141000509262,0.1428472399711609,0.18369321525096893,0.12130791693925858,1.0000001192092896,-0.017262522131204605,0.32860881090164185,0.11147858202457428,0.0902252271771431
city,0.17493832111358643,0.1293686032295227,0.32503411173820496,0.2291855365037918,0.19493703544139862,0.28124040365219116,0.2258801907300949,0.32860881090164185,0.004406440537422895,1.0,0.32096901535987854,0.13423943519592285
centre,0.12324132025241852,0.14357152581214905,0.2769378423690796,0.1409754604101181,0.19250939786434174,0.22431065142154694,0.2643633484840393,0.24609284102916718,0.045265499502420425,0.3318089246749878,0.5607178807258606,0.019365152344107628
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.269499808549881,0.3452940285205841,0.20673608779907227,0.3174465596675873,0.2714749276638031,-0.003708066651597619,0.29856356978416443,0.29649654030799866,0.4130953550338745
