,what,are,cilia,used,for,?
ranging,0.20860125124454498,0.36676883697509766,0.21745172142982483,0.2932707965373993,0.3083997666835785,0.09338733553886414
from,0.2737620174884796,0.2674213647842407,0.1656997799873352,0.25821518898010254,0.314039945602417,0.19969791173934937
about,0.47976887226104736,0.36165615916252136,0.1638982594013214,0.2304701954126358,0.3312419354915619,0.302409827709198
1,-0.21266892552375793,-0.2175680249929428,-0.13879884779453278,-0.26740407943725586,-0.31088897585868835,-0.249979168176651
millimeter,0.2556653618812561,0.2175273597240448,0.3346122205257416,0.30531036853790283,0.17472194135189056,0.16107305884361267
(,0.2411840260028839,0.23263892531394958,0.19892169535160065,0.19005385041236877,0.3357032239437103,0.40561532974243164
0.039,0.24146556854248047,0.1466287225484848,0.1094621941447258,0.10101576894521713,0.1463731974363327,0.2000415176153183
in,0.30808621644973755,0.3841303884983063,0.16606368124485016,0.3090210556983948,0.4322226941585541,0.20430970191955566
),0.26259949803352356,0.2373749315738678,0.1849544495344162,0.1905621439218521,0.3639558255672455,0.42300865054130554
to,0.455847829580307,0.3504326641559601,0.23659655451774597,0.40058770775794983,0.4451248347759247,0.29463258385658264
1.5,-0.03446419537067413,0.01531984843313694,-0.014582479372620583,-0.06112057715654373,-0.05133336782455444,0.007378216367214918
meters,0.18113063275814056,0.22993634641170502,0.22728252410888672,0.21003958582878113,0.1923324316740036,0.13794536888599396
(,0.2411840260028839,0.23263892531394958,0.19892169535160065,0.19005385041236877,0.3357032239437103,0.40561532974243164
4.9,0.21564428508281708,0.14745460450649261,0.2083214372396469,0.17234307527542114,0.16808480024337769,0.12680739164352417
ft,0.20828482508659363,0.16373850405216217,0.16981488466262817,0.15140077471733093,0.10918024927377701,0.17776548862457275
),0.26259949803352356,0.2373749315738678,0.1849544495344162,0.1905621439218521,0.3639558255672455,0.42300865054130554
in,0.30808621644973755,0.3841303884983063,0.16606368124485016,0.3090210556983948,0.4322226941585541,0.20430970191955566
size,0.2566739320755005,0.25654396414756775,0.21203874051570892,0.22543680667877197,0.1818288266658783,0.13693112134933472
",",0.3087472915649414,0.4062570035457611,0.2040555328130722,0.3120402991771698,0.4464869201183319,0.31091248989105225
ctenophores,0.2505159080028534,0.35426098108291626,0.6195179224014282,0.30168187618255615,0.1783297061920166,0.2054179310798645
are,0.29724663496017456,1.0,0.29726603627204895,0.3322218656539917,0.3895993232727051,0.24591213464736938
the,0.42745697498321533,0.40399202704429626,0.18933437764644623,0.3718377649784088,0.4739971458911896,0.22068053483963013
largest,0.13463157415390015,0.23992078006267548,0.12100431323051453,0.1791476011276245,0.13215672969818115,0.12401245534420013
non-colonial,0.21643373370170593,0.22484154999256134,0.22711698710918427,0.24146728217601776,0.21336546540260315,0.1798790544271469
animals,0.26212990283966064,0.37765127420425415,0.309212863445282,0.26146388053894043,0.26254770159721375,0.16430135071277618
that,0.6297725439071655,0.45265161991119385,0.23379482328891754,0.37621384859085083,0.4137635827064514,0.32716336846351624
use,0.3453877568244934,0.4174068570137024,0.18583528697490692,0.7127541303634644,0.47655582427978516,0.32795652747154236
cilia,0.17923450469970703,0.29726603627204895,1.0,0.16175690293312073,0.14706896245479584,0.15204964578151703
(,0.2411840260028839,0.23263892531394958,0.19892169535160065,0.19005385041236877,0.3357032239437103,0.40561532974243164
``,0.008517155423760414,0.12624181807041168,0.1377962976694107,0.08103004097938538,0.01270448137074709,0.0685480609536171
hairs,0.15253664553165436,0.36884215474128723,0.4384898543357849,0.2251182496547699,0.2064969539642334,0.16546867787837982
'',0.08143015950918198,0.0263817198574543,-0.06040707230567932,0.050410956144332886,-0.04479556903243065,0.018684765323996544
),0.26259949803352356,0.2373749315738678,0.1849544495344162,0.1905621439218521,0.3639558255672455,0.42300865054130554
as,0.31749409437179565,0.3826591968536377,0.14007630944252014,0.35160550475120544,0.44774648547172546,0.27043893933296204
their,0.35142919421195984,0.46887820959091187,0.2639044523239136,0.3259406089782715,0.3406745493412018,0.1898253709077835
main,0.2344268560409546,0.2828797399997711,0.10479985177516937,0.2582900822162628,0.27491986751556396,0.1665669083595276
method,0.25476205348968506,0.18370844423770905,0.15840493142604828,0.40983709692955017,0.2842181324958801,0.2194802314043045
of,0.33290785551071167,0.39081433415412903,0.18652039766311646,0.3075267970561981,0.4185989499092102,0.1826142966747284
locomotion,0.15539827942848206,0.1953888237476349,0.31816980242729187,0.16506950557231903,0.22928257286548615,0.15499655902385712
.,0.3567904531955719,0.3452940285205841,0.19933250546455383,0.33111312985420227,0.4726039469242096,0.4130953550338745
