,what,year,was,st.,nicholas,',lantern,tower,made,?
newcastle,0.16276082396507263,0.18703900277614594,0.25710436701774597,0.120496965944767,0.1732551008462906,0.17393088340759277,0.12994015216827393,0.2313358336687088,0.16868425905704498,0.0902252271771431
has,0.20338068902492523,0.2526876926422119,0.40313825011253357,0.07888442277908325,0.1330660581588745,0.27390268445014954,0.1708231270313263,0.1532871127128601,0.27942559123039246,0.15994466841220856
three,0.24888746440410614,0.2806354761123657,0.2748996615409851,0.19016890227794647,0.11722271144390106,0.2094462364912033,0.15714938938617706,0.15401239693164825,0.2568735182285309,0.20928427577018738
cathedrals,0.17476411163806915,0.16518378257751465,0.21527917683124542,0.2257494181394577,0.3068699538707733,0.150308296084404,0.2724766433238983,0.3979837894439697,0.18691708147525787,0.15824170410633087
",",0.3087472915649414,0.28560417890548706,0.45456063747406006,0.26603782176971436,0.2065194845199585,0.5178600549697876,0.24709931015968323,0.20524810254573822,0.32507219910621643,0.31091248989105225
the,0.42745697498321533,0.3609684407711029,0.48711544275283813,0.18141359090805054,0.1640765219926834,0.474788099527359,0.2893456518650055,0.2398453801870346,0.3885267674922943,0.22068053483963013
anglican,0.17746756970882416,0.144405797123909,0.235756516456604,0.15310458838939667,0.28301623463630676,0.19899974763393402,0.1597175896167755,0.21055394411087036,0.10212098807096481,0.11877371370792389
st.,0.10219959169626236,0.1594112664461136,0.17142929136753082,1.0000001192092896,0.28370511531829834,0.1660759598016739,0.2781493365764618,0.20466849207878113,0.19201692938804626,0.13592876493930817
nicholas,0.1245560422539711,0.19989129900932312,0.2999419569969177,0.28370511531829834,1.0000001192092896,0.11634594947099686,0.17887704074382782,0.13463282585144043,0.14786742627620697,0.17208030819892883
",",0.3087472915649414,0.28560417890548706,0.45456063747406006,0.26603782176971436,0.2065194845199585,0.5178600549697876,0.24709931015968323,0.20524810254573822,0.32507219910621643,0.31091248989105225
with,0.2464839518070221,0.3220449686050415,0.27411898970603943,0.2383403480052948,0.15754662454128265,0.2546919286251068,0.19762887060642242,0.14200076460838318,0.3459964990615845,0.2433311939239502
its,0.30393704771995544,0.15338382124900818,0.3518870174884796,0.06561868637800217,0.07673962414264679,0.296459436416626,0.24722790718078613,0.1954134702682495,0.23243726789951324,0.15103481709957123
elegant,0.17655086517333984,0.10701969265937805,0.20908769965171814,0.21095560491085052,0.19446596503257751,0.15683774650096893,0.2726629376411438,0.17678867280483246,0.15421633422374725,0.13489606976509094
