,what,day,of,the,week,are,general,elections,held,?
under,0.20154598355293274,0.1601942926645279,0.32766106724739075,0.3348022699356079,0.09027282148599625,0.2196284979581833,0.33664318919181824,0.13149313628673553,0.23477822542190552,0.18233340978622437
the,0.42745697498321533,0.3062323033809662,0.733189046382904,1.0,0.28402599692344666,0.40399202704429626,0.28634732961654663,0.23646192252635956,0.32185450196266174,0.22068053483963013
scotland,0.16722074151039124,0.16403837502002716,0.2208399921655655,0.23846951127052307,0.1814616620540619,0.19172759354114532,0.12829405069351196,0.18858656287193298,0.1419268399477005,0.09160218387842178
act,0.2622668445110321,0.13933980464935303,0.2802577316761017,0.28682878613471985,0.168807253241539,0.22266654670238495,0.11674930900335312,0.24515046179294586,0.14279377460479736,0.1482519507408142
1998,0.10774625837802887,0.06749885529279709,-0.06454750150442123,-0.047468025237321854,-0.004320717416703701,-0.14606747031211853,0.17791342735290527,0.24418818950653076,0.0709524005651474,0.11714459210634232
",",0.3087472915649414,0.30821847915649414,0.4946078956127167,0.4933079481124878,0.3187089264392853,0.4062570035457611,0.3022127151489258,0.2606843113899231,0.2880980372428894,0.31091248989105225
ordinary,0.29406803846359253,0.1720394343137741,0.3156825006008148,0.2741096615791321,0.13994121551513672,0.2885158956050873,0.23571187257766724,0.12023915350437164,0.12651172280311584,0.22565332055091858
general,0.24928055703639984,0.12495479732751846,0.28352999687194824,0.28634732961654663,0.12210492789745331,0.15219135582447052,1.0000001192092896,0.3004227876663208,0.17221853137016296,0.1972234547138214
elections,0.2432289719581604,0.20237404108047485,0.25554418563842773,0.23646192252635956,0.24083475768566132,0.20126916468143463,0.3004227876663208,1.0,0.380016028881073,0.2319818139076233
for,0.3017193675041199,0.23720888793468475,0.4185989499092102,0.4739971458911896,0.3263654112815857,0.3895993232727051,0.23497237265110016,0.24397696554660797,0.2495253086090088,0.264628142118454
the,0.42745697498321533,0.3062323033809662,0.733189046382904,1.0,0.28402599692344666,0.40399202704429626,0.28634732961654663,0.23646192252635956,0.32185450196266174,0.22068053483963013
scottish,0.13777151703834534,0.167940154671669,0.1698460429906845,0.21724988520145416,0.13915935158729553,0.15686963498592377,0.16125184297561646,0.18697185814380646,0.14091922342777252,0.06442669779062271
parliament,0.21650300920009613,0.1762291043996811,0.2885259687900543,0.26521381735801697,0.16254375874996185,0.09480422735214233,0.24502259492874146,0.5661953687667847,0.24202166497707367,0.1586504578590393
are,0.29724663496017456,0.19530735909938812,0.39081433415412903,0.40399202704429626,0.18165354430675507,1.0,0.15219135582447052,0.20126916468143463,0.18270234763622284,0.24591213464736938
held,0.0974166989326477,0.26760637760162354,0.28960686922073364,0.32185450196266174,0.2821366786956787,0.18270234763622284,0.17221853137016296,0.380016028881073,1.0,0.14103956520557404
on,0.34226128458976746,0.3332281708717346,0.3966929316520691,0.5107308030128479,0.3680826723575592,0.268924742937088,0.18019753694534302,0.24783289432525635,0.2410694807767868,0.2714994251728058
