,how,much,percentage,of,victoria,'s,land,is,taken,up,by,farms,?
this,0.45272302627563477,0.5015546083450317,0.3210579752922058,0.45148900151252747,0.15965570509433746,0.02106832154095173,0.24134407937526703,0.480927973985672,0.3044009506702423,0.37110671401023865,0.38438332080841064,0.21234172582626343,0.3155723512172699
comprises,0.09174761921167374,0.15190522372722626,0.2313421666622162,0.3857746422290802,0.10849525034427643,0.041924748569726944,0.24746015667915344,0.34238201379776,0.13499553501605988,0.24171225726604462,0.1913791000843048,0.1446879357099533,0.037654489278793335
more,0.4319567084312439,0.5936280488967896,0.33488085865974426,0.30478984117507935,0.12656691670417786,0.032942235469818115,0.22462385892868042,0.2946030795574188,0.2893141806125641,0.2851726710796356,0.2627272307872772,0.23732325434684753,0.27894994616508484
than,0.29763275384902954,0.632695198059082,0.3430081903934479,0.33036211133003235,0.1427677422761917,0.0585811510682106,0.1792590618133545,0.2839990258216858,0.2402833104133606,0.2813877463340759,0.2015816867351532,0.19806332886219025,0.24917294085025787
60,0.12259688228368759,0.023746905848383904,0.043895795941352844,0.05524682253599167,-0.029114145785570145,-0.11939319223165512,0.025125570595264435,0.04923270642757416,-0.0016252293717116117,-0.025363227352499962,0.05363207310438156,0.008417525328695774,0.06999651342630386
%,0.1237400695681572,0.26866111159324646,0.5639340281486511,0.19953428208827972,0.07985731214284897,0.031266406178474426,0.2065422385931015,0.18672586977481842,0.17348022758960724,0.21216745674610138,0.13780950009822845,0.24206075072288513,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,0.24724560976028442,1.0,0.2505437433719635,-0.03817026689648628,0.3057127296924591,0.4854315221309662,0.2889742851257324,0.32945773005485535,0.3646814823150635,0.24435943365097046,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.2736506462097168,0.733189046382904,0.2204313427209854,-0.01540423184633255,0.28587454557418823,0.5823672413825989,0.3309854567050934,0.38423117995262146,0.4408751428127289,0.23249253630638123,0.22068053483963013
state,0.15028610825538635,0.1357990801334381,0.2012239396572113,0.34253445267677307,0.23197819292545319,0.038451772183179855,0.20995646715164185,0.2627358138561249,0.17579220235347748,0.14639796316623688,0.2263980358839035,0.23701100051403046,0.1160883978009224
's,-0.026164190843701363,0.06731651723384857,0.14816685020923615,-0.03817026689648628,0.06206126511096954,0.9999999403953552,0.10497291386127472,0.02396530658006668,0.00031501424382440746,-0.08862818777561188,-0.010884488001465797,0.07817113399505615,-0.023395681753754616
total,0.22199897468090057,0.26354777812957764,0.46965354681015015,0.29045331478118896,0.10661474615335464,0.1334245651960373,0.2987608015537262,0.18159881234169006,0.12965065240859985,0.23945732414722443,0.20661480724811554,0.24231046438217163,0.14396025240421295
land,0.1918935328722,0.21933935582637787,0.23263606429100037,0.3057127296924591,0.15418829023838043,0.10497291386127472,1.0000001192092896,0.22457899153232574,0.21402019262313843,0.22875653207302094,0.2530721127986908,0.4436738193035126,0.1432059109210968
surface,0.25213223695755005,0.2521628141403198,0.26152220368385315,0.24204103648662567,0.1193818598985672,0.11841000616550446,0.35198330879211426,0.29345643520355225,0.1502377837896347,0.22912980616092682,0.2144230455160141,0.18600516021251678,0.14613434672355652
.,0.3287222981452942,0.3374604284763336,0.28866735100746155,0.5352458953857422,0.23069117963314056,-0.003708066651597619,0.259204238653183,0.4569662809371948,0.3141690492630005,0.351434588432312,0.3936232924461365,0.2633402347564697,0.4130953550338745
