,when,can,oxygen,gas,produce,a,toxic,condition,?
oxygen,0.28107690811157227,0.3056217133998871,0.9999999403953552,0.45564013719558716,0.2946869134902954,0.21662019193172455,0.48697811365127563,0.29395610094070435,0.16786395013332367
gas,0.2590837776660919,0.25436607003211975,0.45564013719558716,0.9999999403953552,0.27898111939430237,0.26485589146614075,0.3772660195827484,0.16502252221107483,0.1582372784614563
(,0.2459595799446106,0.22726960480213165,0.189798504114151,0.14316637814044952,0.12127719819545746,0.3206180930137634,0.15512561798095703,0.16016486287117004,0.40561532974243164
o,0.1867707371711731,0.13634033501148224,0.2476140707731247,0.17587880790233612,0.1246316209435463,0.18840523064136505,0.17200994491577148,0.064445860683918,0.23868927359580994
2,-0.02478109858930111,0.01035431306809187,0.04063820466399193,0.09000196307897568,0.017157679423689842,-0.05323360115289688,0.06869113445281982,-0.011278250254690647,0.001977203879505396
),0.2538422644138336,0.23216170072555542,0.19541971385478973,0.14129622280597687,0.10806018114089966,0.3640355169773102,0.13437674939632416,0.15360169112682343,0.42300865054130554
can,0.39191514253616333,1.0,0.3056217133998871,0.25436607003211975,0.3511185944080353,0.3915780484676361,0.3300422132015228,0.2928265333175659,0.3226337134838104
be,0.4451393485069275,0.5791122913360596,0.28851351141929626,0.2750326097011566,0.35276663303375244,0.39883795380592346,0.2484259456396103,0.33627527952194214,0.3324260413646698
toxic,0.2626907229423523,0.3300422132015228,0.48697811365127563,0.3772660195827484,0.3156968951225281,0.24144628643989563,1.0,0.2543482184410095,0.2523139715194702
at,0.38876327872276306,0.16641086339950562,0.1428557187318802,0.21085567772388458,0.15442807972431183,0.3095070421695709,0.14237752556800842,0.17702646553516388,0.21978627145290375
elevated,0.23971661925315857,0.15757478773593903,0.18915757536888123,0.11090696603059769,0.11251892149448395,0.24190452694892883,0.22973594069480896,0.2211170792579651,0.13306942582130432
partial,0.23954398930072784,0.2901739776134491,0.15541093051433563,0.23016445338726044,0.187935933470726,0.3064410090446472,0.14301060140132904,0.28475186228752136,0.16151700913906097
pressures,0.36505264043807983,0.28208592534065247,0.3483974039554596,0.33976590633392334,0.2440042346715927,0.24834388494491577,0.2800127863883972,0.32404643297195435,0.12055351585149765
",",0.36674630641937256,0.3139454126358032,0.21812842786312103,0.22298859059810638,0.19927625358104706,0.427140474319458,0.22269773483276367,0.16265787184238434,0.31091248989105225
leading,0.23494918644428253,0.16238313913345337,0.14168597757816315,0.20031286776065826,0.15302494168281555,0.26281067728996277,0.08585642278194427,0.15794765949249268,0.1360926628112793
to,0.5423505902290344,0.4979398250579834,0.24193501472473145,0.25276535749435425,0.30018290877342224,0.45503583550453186,0.17271585762500763,0.2868253290653229,0.29463258385658264
convulsions,0.3014034628868103,0.3651520609855652,0.3769267797470093,0.28268417716026306,0.27733924984931946,0.2668914198875427,0.38356825709342957,0.49885672330856323,0.2750127613544464
and,0.4716290831565857,0.3675691485404968,0.22261030972003937,0.20214606821537018,0.2701570689678192,0.3739250600337982,0.1965995728969574,0.21314062178134918,0.20544172823429108
other,0.34102705121040344,0.454561322927475,0.2354368269443512,0.2259911298751831,0.2801341712474823,0.2806335389614105,0.26298758387565613,0.22521141171455383,0.24682199954986572
health,0.24215827882289886,0.22913023829460144,0.2525583505630493,0.18509915471076965,0.17098888754844666,0.21166443824768066,0.28698381781578064,0.36246219277381897,0.16094304621219635
problems,0.35367631912231445,0.326987624168396,0.185886412858963,0.1909182220697403,0.1975511759519577,0.21523453295230865,0.2293810099363327,0.42699480056762695,0.2638136148452759
.,0.475719153881073,0.35783761739730835,0.2554275095462799,0.24812045693397522,0.2587496340274811,0.50484299659729,0.27641135454177856,0.17553938925266266,0.4130953550338745
