,when,did,menich,serve,as,president,?
the,0.5091903209686279,0.34736719727516174,0.21750250458717346,0.2749462425708771,0.48381632566452026,0.24330610036849976,0.22068053483963013
first,0.4282494783401489,0.33691170811653137,0.23316283524036407,0.2588934600353241,0.33842000365257263,0.2690713107585907,0.18701928853988647
warsaw,0.1615014374256134,0.1939365565776825,0.38296738266944885,0.11940795928239822,0.14492812752723694,0.18283961713314056,0.09769917279481888
president,0.17933911085128784,0.1801012009382248,0.2726624608039856,0.2783129811286926,0.2031671553850174,1.0000001192092896,0.14148259162902832
was,0.37326499819755554,0.41399896144866943,0.29922616481781006,0.21861431002616882,0.3677520453929901,0.2505730390548706,0.18412111699581146
jan,0.11621067672967911,0.14893849194049835,0.24071790277957916,0.03481132909655571,0.06938505917787552,0.1529836505651474,0.14395545423030853
andrzej,0.12220364809036255,0.17110726237297058,0.43755191564559937,0.1032402366399765,0.19286952912807465,0.2595776915550232,0.27213728427886963
menich,0.1947329193353653,0.21453474462032318,1.0,0.12640713155269623,0.254508376121521,0.2726624608039856,0.18686002492904663
(,0.2459595799446106,0.18979617953300476,0.23176808655261993,0.177357017993927,0.32029855251312256,0.2037333846092224,0.40561532974243164
1695–1696,0.033913470804691315,-0.027864405885338783,0.06319060921669006,0.11046550422906876,0.06962791830301285,0.061359088867902756,0.1458693891763687
),0.2538422644138336,0.18584993481636047,0.23737864196300507,0.17221702635288239,0.32161882519721985,0.1912459284067154,0.42300865054130554
.,0.475719153881073,0.35288307070732117,0.27919265627861023,0.26939791440963745,0.515582263469696,0.26255303621292114,0.4130953550338745
