,what,is,the,mortality,rate,of,pneumonic,plague,?
pneumonic,0.14966851472854614,0.20815318822860718,0.19438917934894562,0.2370266169309616,0.22705231606960297,0.23535647988319397,1.0000001192092896,0.30268579721450806,0.1488465815782547
plague,0.22263506054878235,0.15890252590179443,0.2537761330604553,0.3367435932159424,0.19315223395824432,0.27455615997314453,0.30268579721450806,0.9999999403953552,0.11872942000627518
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.1462177038192749,0.18859195709228516,0.3909035325050354,0.173344686627388,0.11916206032037735,0.15994466841220856
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.22303511202335358,0.24373900890350342,0.5052502155303955,0.230311319231987,0.22077761590480804,0.23916715383529663
mortality,0.20401974022388458,0.1907704472541809,0.267873615026474,0.9999998807907104,0.4438514709472656,0.2717146873474121,0.2370266169309616,0.3367435932159424,0.18695609271526337
rate,0.21845893561840057,0.24290183186531067,0.24881242215633392,0.4438514709472656,1.0000001192092896,0.24132871627807617,0.22705231606960297,0.19315223395824432,0.1308269053697586
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2717146873474121,0.24132871627807617,1.0,0.23535647988319397,0.27455615997314453,0.1826142966747284
90,-0.03224492445588112,-0.03490179032087326,-0.08136876672506332,-0.05520180985331535,-0.12938305735588074,-0.06715171784162521,-0.09926643967628479,0.024831606075167656,-0.0034062080085277557
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.26404958963394165,0.28584644198417664,0.41548454761505127,0.19210879504680634,0.21845681965351105,0.29463258385658264
95,-0.11634417623281479,0.030658818781375885,-0.027035299688577652,-0.0648277997970581,0.04459190368652344,0.03395380079746246,-0.035454168915748596,-0.0016026783268898726,-0.15227507054805756
percent,0.2506202459335327,0.24196593463420868,0.277066707611084,0.4354008138179779,0.4093129336833954,0.3004763424396515,0.18058039247989655,0.19632624089717865,0.14671556651592255
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.22979126870632172,0.2418757975101471,0.5352458953857422,0.21953316032886505,0.2547653317451477,0.4130953550338745
