,how,did,king,louis,xv,respond,to,british,plans,?
in,0.2601168751716614,0.2593238651752472,0.2044914960861206,0.2117311805486679,0.18186509609222412,0.20842644572257996,0.45010748505592346,0.23084034025669098,0.24845264852046967,0.20430970191955566
response,0.34960323572158813,0.23455248773097992,0.1376197338104248,0.14727738499641418,0.0856841579079628,0.6987112164497375,0.277526319026947,0.18714885413646698,0.24499750137329102,0.2007838636636734
",",0.22659391164779663,0.3015086054801941,0.27879971265792847,0.2676180601119995,0.2156234085559845,0.25066259503364563,0.44245919585227966,0.25734075903892517,0.227532297372818,0.31091248989105225
king,0.13607946038246155,0.24472618103027344,1.0000001192092896,0.3249725103378296,0.33455339074134827,0.06491392105817795,0.24476152658462524,0.1793719232082367,0.176855206489563,0.19130074977874756
louis,0.10556819289922714,0.21384841203689575,0.3249725103378296,1.0000001192092896,0.4917897582054138,0.09578916430473328,0.16961874067783356,0.18206541240215302,0.14537237584590912,0.09819188714027405
xv,0.07499037683010101,0.1456281691789627,0.33455339074134827,0.4917897582054138,1.0,0.06118118762969971,0.19418594241142273,0.015808384865522385,0.18893960118293762,0.19237861037254333
dispatched,0.1948932409286499,0.2382759153842926,0.20347370207309723,0.21194694936275482,0.24465611577033997,0.2953544557094574,0.23461878299713135,0.1810426563024521,0.2177853286266327,0.1979592740535736
six,0.20644865930080414,0.20388470590114594,0.17884211242198944,0.1682758927345276,0.18497957289218903,0.11631736904382706,0.2762264311313629,0.16879716515541077,0.1813652217388153,0.15298804640769958
regiments,0.14778517186641693,0.17906026542186737,0.19271036982536316,0.238350048661232,0.17979365587234497,0.22481675446033478,0.23985107243061066,0.2361491322517395,0.1996668130159378,0.13045227527618408
to,0.44169697165489197,0.4452643394470215,0.24476152658462524,0.16961874067783356,0.19418594241142273,0.33126938343048096,1.0,0.22690963745117188,0.367337167263031,0.29463258385658264
new,0.20832711458206177,0.227974995970726,0.1473468691110611,0.2019396275281906,0.10841850191354752,0.18419434130191803,0.33159172534942627,0.19849099218845367,0.3051851689815521,0.14782847464084625
france,0.13197430968284607,0.2138325721025467,0.30626484751701355,0.43262016773223877,0.33699867129325867,0.10947747528553009,0.2670897841453552,0.23781980574131012,0.21339565515518188,0.15069349110126495
under,0.23006081581115723,0.20815621316432953,0.20889432728290558,0.1212628036737442,0.18853308260440826,0.13512887060642242,0.27177539467811584,0.14973320066928864,0.23370195925235748,0.18233340978622437
the,0.33890387415885925,0.34736719727516174,0.25887003540992737,0.22078758478164673,0.21310631930828094,0.24966585636138916,0.535392165184021,0.28973397612571716,0.30240729451179504,0.22068053483963013
command,0.17853301763534546,0.18186943233013153,0.17516638338565826,0.15219449996948242,0.20322288572788239,0.27204757928848267,0.25119054317474365,0.20850764214992523,0.29236748814582825,0.13402260839939117
of,0.2480744868516922,0.2513895630836487,0.2938710153102875,0.22437675297260284,0.2207038402557373,0.19069483876228333,0.41548454761505127,0.23701532185077667,0.2635323703289032,0.1826142966747284
baron,0.09765572100877762,0.13391828536987305,0.2374919056892395,0.24436277151107788,0.20153672993183136,0.10030221939086914,0.10971605777740479,0.3507157266139984,0.14920783042907715,0.14442889392375946
dieskau,0.175881490111351,0.2106628268957138,0.18283137679100037,0.2277529388666153,0.20151931047439575,0.15082791447639465,0.10517637431621552,0.14477305114269257,0.10828346014022827,0.19487586617469788
in,0.2601168751716614,0.2593238651752472,0.2044914960861206,0.2117311805486679,0.18186509609222412,0.20842644572257996,0.45010748505592346,0.23084034025669098,0.24845264852046967,0.20430970191955566
1755,0.05787770822644234,0.11053946614265442,0.11025744676589966,0.28686922788619995,0.20176205039024353,0.1438302993774414,0.07433923333883286,0.09661883115768433,0.12158586829900742,0.1890246421098709
.,0.3287222981452942,0.35288307070732117,0.2334747016429901,0.259149432182312,0.22145786881446838,0.2619034945964813,0.4645031690597534,0.23159366846084595,0.2760954201221466,0.4130953550338745
