,what,is,the,republic,of,kenya,named,after,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2862427830696106,0.733189046382904,0.21657514572143555,0.3521348536014557,0.4565047025680542,0.22068053483963013
republic,0.18626701831817627,0.17956054210662842,0.2862427830696106,0.9999999403953552,0.2802940905094147,0.2751295268535614,0.162347674369812,0.21343305706977844,0.16880398988723755
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2802940905094147,1.0,0.22226637601852417,0.2820465862751007,0.3867455720901489,0.1826142966747284
kenya,0.18398970365524292,0.17591087520122528,0.21657514572143555,0.2751295268535614,0.22226637601852417,1.0,0.15598544478416443,0.2081187516450882,0.17197901010513306
is,0.28837618231773376,1.0,0.5823672413825989,0.17956054210662842,0.4854315221309662,0.17591087520122528,0.28335005044937134,0.2835143506526947,0.22961433231830597
named,0.1525408923625946,0.28335005044937134,0.3521348536014557,0.162347674369812,0.2820465862751007,0.15598544478416443,1.0,0.4528660774230957,0.1297498345375061
after,0.21973377466201782,0.2835143506526947,0.4565047025680542,0.21343305706977844,0.3867455720901489,0.2081187516450882,0.4528660774230957,1.0,0.16608688235282898
mount,0.158494234085083,0.1771300882101059,0.26066282391548157,0.11301474273204803,0.18665535748004913,0.3169611990451813,0.1886596530675888,0.20272982120513916,0.10283114016056061
kenya,0.18398970365524292,0.17591087520122528,0.21657514572143555,0.2751295268535614,0.22226637601852417,1.0,0.15598544478416443,0.2081187516450882,0.17197901010513306
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23547469079494476,0.5352458953857422,0.24234211444854736,0.24760639667510986,0.35870397090911865,0.4130953550338745
