,why,have,modern,lutherans,stopped,using,the,hymn,?
sixteenth-century,0.15916457772254944,0.20263440907001495,0.2952808439731598,0.2582813799381256,0.23448139429092407,0.18900300562381744,0.397926926612854,0.22529959678649902,0.15176093578338623
lutheran,0.11616145819425583,0.13573041558265686,0.12390664964914322,0.9075806140899658,0.11668582260608673,0.0986812561750412,0.20315466821193695,0.3037897050380707,0.1752520203590393
hymnals,0.21604570746421814,0.2915852665901184,0.24416965246200562,0.31796813011169434,0.1964104324579239,0.18470339477062225,0.288200706243515,0.5997737050056458,0.14523909986019135
also,0.4456408619880676,0.5252172946929932,0.29002171754837036,0.25046634674072266,0.31872719526290894,0.35933059453964233,0.6021018624305725,0.20928452908992767,0.21848613023757935
included,0.247502863407135,0.3089645504951477,0.2879587411880493,0.18798112869262695,0.24563321471214294,0.17339929938316345,0.3825419843196869,0.13359865546226501,0.14385655522346497
``,0.05334433168172836,0.1022237241268158,0.07341054081916809,0.11237561702728271,-0.016416726633906364,0.09494099766016006,0.029072100296616554,0.10007781535387039,0.0685480609536171
wir,0.09535964578390121,0.04382477328181267,0.11992774158716202,0.10796596109867096,0.05593933165073395,0.08176776766777039,0.15802772343158722,0.13019216060638428,0.07741018384695053
glauben,0.2512812912464142,0.2069730907678604,0.08621945232152939,0.23200145363807678,0.12181553244590759,0.16423587501049042,0.28045228123664856,0.3081837296485901,0.2820551097393036
all,0.3601224720478058,0.5559456944465637,0.23647910356521606,0.2597995102405548,0.27897366881370544,0.28875109553337097,0.4860881567001343,0.15431642532348633,0.29575422406196594
'',-0.038651224225759506,0.0312618687748909,0.0925660952925682,0.008432546630501747,-0.051158979535102844,0.051351990550756454,0.041273195296525955,-0.056234996765851974,0.018684765323996544
among,0.22042018175125122,0.3610895574092865,0.1965177357196808,0.24580642580986023,0.12948748469352722,0.19387061893939972,0.3507058024406433,0.19088664650917053,0.14343059062957764
the,0.30742117762565613,0.40389683842658997,0.3283970355987549,0.26767393946647644,0.3206433951854706,0.28364112973213196,1.0,0.22713270783424377,0.22068053483963013
catechetical,0.3567104935646057,0.2526222765445709,0.2956535220146179,0.27816644310951233,0.10414429008960724,0.26561638712882996,0.2972888946533203,0.247268944978714,0.3054208755493164
hymns,0.17306669056415558,0.17184756696224213,0.1339033544063568,0.3834453225135803,0.11629782617092133,0.1616758108139038,0.1660911738872528,0.7617365121841431,0.17695237696170807
",",0.2827242314815521,0.3541618287563324,0.2557750344276428,0.258104532957077,0.2840802073478699,0.27050045132637024,0.4933079481124878,0.22048476338386536,0.31091248989105225
although,0.29871663451194763,0.4518011808395386,0.24819886684417725,0.17023003101348877,0.25776076316833496,0.22177135944366455,0.3265823423862457,0.13422423601150513,0.15541206300258636
18th-century,0.14907068014144897,0.2184632420539856,0.3386041522026062,0.1844250112771988,0.1792604923248291,0.17865724861621857,0.3194690942764282,0.2125636637210846,0.1101951003074646
hymnals,0.21604570746421814,0.2915852665901184,0.24416965246200562,0.31796813011169434,0.1964104324579239,0.18470339477062225,0.288200706243515,0.5997737050056458,0.14523909986019135
tended,0.24475502967834473,0.3440447449684143,0.2327696979045868,0.21294823288917542,0.26055851578712463,0.2650109529495239,0.28250575065612793,0.1488128900527954,0.12925511598587036
