,what,does,the,matching,helper,t,cell,release,when,it,binds,with,the,mhc,:,antigen,complex,of,the,b,cell,?
this,0.5489566326141357,0.4166489243507385,0.6274310946464539,0.3635217845439911,0.2406480759382248,0.3269960582256317,0.2202661782503128,0.28877994418144226,0.4959332048892975,0.6107783317565918,0.2844749093055725,0.36358317732810974,0.6274310946464539,0.3765614628791809,-0.12672492861747742,0.2855086922645569,0.3333515226840973,0.45148900151252747,0.6274310946464539,0.10665947198867798,0.2202661782503128,0.3155723512172699
combination,0.2204057276248932,0.18718022108078003,0.2879151701927185,0.3902704119682312,0.21316646039485931,0.13514778017997742,0.2555153965950012,0.21476787328720093,0.24008433520793915,0.28317171335220337,0.4062071442604065,0.3393709063529968,0.2879151701927185,0.39951029419898987,0.00906046200543642,0.2774323523044586,0.2820785641670227,0.2990131080150604,0.2879151701927185,0.16375678777694702,0.2555153965950012,0.1620941311120987
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.22235850989818573,0.1962171345949173,0.14617829024791718,0.18332023918628693,0.1866096556186676,0.3757161796092987,0.38761502504348755,0.274389386177063,0.41827285289764404,0.733189046382904,0.2909306585788727,-0.08807745575904846,0.2816563546657562,0.24271073937416077,1.0,0.733189046382904,0.22055713832378387,0.18332023918628693,0.1826142966747284
mhc,0.30283498764038086,0.34108206629753113,0.32005053758621216,0.390033096075058,0.28902992606163025,0.2424878627061844,0.4599821865558624,0.1952471137046814,0.25877949595451355,0.2814372479915619,0.4856301546096802,0.26297271251678467,0.32005053758621216,1.0000001192092896,-0.051258012652397156,0.671752393245697,0.391009658575058,0.2909306585788727,0.32005053758621216,0.19984379410743713,0.4599821865558624,0.21010775864124298
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.2552982270717621,0.2639409005641937,0.25205641984939575,0.2013455629348755,0.23335815966129303,0.4716290831565857,0.40957894921302795,0.26639220118522644,0.5477725267410278,0.5171257257461548,0.25002509355545044,-0.04625999182462692,0.1769927740097046,0.2597591280937195,0.5116966962814331,0.5171257257461548,0.3004094958305359,0.2013455629348755,0.20544172823429108
antigen,0.1935727745294571,0.2980521321296692,0.2583788335323334,0.3191380202770233,0.29177308082580566,0.21886467933654785,0.46533098816871643,0.2133725881576538,0.21656641364097595,0.1570121943950653,0.4728003740310669,0.20990845561027527,0.2583788335323334,0.671752393245697,-0.04084639996290207,1.0,0.2451605647802353,0.2816563546657562,0.2583788335323334,0.16265074908733368,0.46533098816871643,0.19160577654838562
attracts,0.13014215230941772,0.20994988083839417,0.23540660738945007,0.1471664309501648,0.06127695366740227,0.04587014019489288,0.005664458964020014,0.1898127794265747,0.17852868139743805,0.23403066396713257,0.2105419635772705,0.17785856127738953,0.23540660738945007,0.1642858386039734,-0.08842843025922775,0.14481493830680847,0.22490744292736053,0.2566487491130829,0.23540660738945007,0.022337691858410835,0.005664458964020014,0.046771496534347534
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.281122088432312,0.29617732763290405,0.2456076741218567,0.21525812149047852,0.23991376161575317,0.44397395849227905,0.5452592968940735,0.2727365791797638,0.3783375024795532,0.5829201340675354,0.3490493595600128,-0.0007584693375974894,0.28274863958358765,0.26552852988243103,0.5052502155303955,0.5829201340675354,0.24025672674179077,0.21525812149047852,0.23916715383529663
matching,0.25211000442504883,0.23220069706439972,0.25132954120635986,0.9999999403953552,0.2762663960456848,0.23191609978675842,0.3037627339363098,0.15359467267990112,0.29046472907066345,0.22339925169944763,0.3354586362838745,0.3190057575702667,0.25132954120635986,0.390033096075058,-0.03137994557619095,0.3191380202770233,0.2411223202943802,0.22235850989818573,0.25132954120635986,0.07049601525068283,0.3037627339363098,0.2242019772529602
helper,0.24017302691936493,0.23230966925621033,0.22471751272678375,0.2762663960456848,1.0,0.21132126450538635,0.33088141679763794,0.14053606986999512,0.288735955953598,0.11213379353284836,0.2750920057296753,0.2476605325937271,0.22471751272678375,0.28902992606163025,-0.05832279101014137,0.29177308082580566,0.17619459331035614,0.1962171345949173,0.22471751272678375,0.191792830824852,0.33088141679763794,0.2250194549560547
t,0.37454068660736084,0.38543522357940674,0.2083338052034378,0.23191609978675842,0.21132126450538635,0.9999999403953552,0.24071010947227478,0.15616080164909363,0.2666409909725189,0.30958133935928345,0.15656474232673645,0.1978532373905182,0.2083338052034378,0.2424878627061844,-0.062014348804950714,0.21886467933654785,0.17782926559448242,0.14617829024791718,0.2083338052034378,0.17949947714805603,0.24071010947227478,0.4954066574573517
cell,0.19222842156887054,0.22726690769195557,0.15822452306747437,0.3037627339363098,0.33088141679763794,0.24071010947227478,1.0000001192092896,0.16546912491321564,0.24251431226730347,0.11782132834196091,0.4257451593875885,0.21242906153202057,0.15822452306747437,0.4599821865558624,-0.09334021061658859,0.46533098816871643,0.1880919188261032,0.18332023918628693,0.15822452306747437,0.15468697249889374,1.0000001192092896,0.2058541625738144
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.24086174368858337,0.22285740077495575,0.31002363562583923,0.17534321546554565,0.228392094373703,0.36674630641937256,0.48329564929008484,0.22497791051864624,0.4120737314224243,0.4933079481124878,0.21124885976314545,-0.004729332868009806,0.16538426280021667,0.2636418044567108,0.4946078956127167,0.4933079481124878,0.32954633235931396,0.17534321546554565,0.31091248989105225
which,0.5261979103088379,0.39111801981925964,0.6521818041801453,0.39027389883995056,0.26001641154289246,0.21813765168190002,0.26335951685905457,0.2736678719520569,0.572554349899292,0.616637647151947,0.40098831057548523,0.46403205394744873,0.6521818041801453,0.44435256719589233,-0.11049769818782806,0.3281947076320648,0.36717817187309265,0.5011631846427917,0.6521818041801453,0.09402162581682205,0.26335951685905457,0.25814583897590637
releases,0.1929820477962494,0.2577212154865265,0.3003343343734741,0.18613874912261963,0.12741991877555847,0.1334243267774582,0.20553508400917053,0.8455011248588562,0.3042655289173126,0.2997991144657135,0.33607587218284607,0.2502237856388092,0.3003343343734741,0.27728933095932007,-0.0941808670759201,0.2378568798303604,0.14201728999614716,0.23871108889579773,0.3003343343734741,0.1297997236251831,0.20553508400917053,0.12452229112386703
lymphokines,0.22684291005134583,0.30969324707984924,0.3029002547264099,0.33265894651412964,0.26129865646362305,0.3095186650753021,0.4183577001094818,0.2872955799102783,0.3571343719959259,0.2982441484928131,0.42607608437538147,0.254117876291275,0.3029002547264099,0.5721674561500549,-0.023080432787537575,0.5584917068481445,0.23606058955192566,0.2847406268119812,0.3029002547264099,0.20672479271888733,0.4183577001094818,0.222028449177742
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.2552982270717621,0.2639409005641937,0.25205641984939575,0.2013455629348755,0.23335815966129303,0.4716290831565857,0.40957894921302795,0.26639220118522644,0.5477725267410278,0.5171257257461548,0.25002509355545044,-0.04625999182462692,0.1769927740097046,0.2597591280937195,0.5116966962814331,0.5171257257461548,0.3004094958305359,0.2013455629348755,0.20544172823429108
