,what,later,actions,by,the,nazis,could,be,traced,back,to,luther,'s,rhetoric,?
according,0.2776208221912384,0.20853735506534576,0.19796980917453766,0.2975466847419739,0.3202974498271942,0.22222958505153656,0.18885309994220734,0.2703677713871002,0.23156572878360748,0.17604197561740875,0.28520727157592773,0.1085624098777771,-0.0037221983075141907,0.1879412978887558,0.21173474192619324
to,0.455847829580307,0.393297016620636,0.27775833010673523,0.33534231781959534,0.535392165184021,0.28244999051094055,0.5461788773536682,0.4972836375236511,0.23967646062374115,0.4675939381122589,1.0,0.18029534816741943,0.03782717138528824,0.19807186722755432,0.29463258385658264
the,0.42745697498321533,0.4060266613960266,0.297427237033844,0.4408751428127289,1.0,0.22388386726379395,0.35393214225769043,0.4248143136501312,0.34548765420913696,0.3612101674079895,0.535392165184021,0.1759674996137619,-0.01540423184633255,0.1746336966753006,0.22068053483963013
prevailing,0.32262012362480164,0.17397598922252655,0.2886626720428467,0.20318478345870972,0.3923748731613159,0.16363786160945892,0.29317936301231384,0.30647632479667664,0.3122762143611908,0.1712561398744583,0.2981305718421936,0.1612280011177063,0.00010509175626793876,0.29404011368751526,0.1707875281572342
view,0.2818201184272766,0.06303644925355911,0.31193503737449646,0.1928447186946869,0.25610461831092834,0.17136667668819427,0.19671374559402466,0.23513229191303253,0.14567004144191742,0.14004002511501312,0.229315847158432,0.14754484593868256,0.08296377211809158,0.15986156463623047,0.17672975361347198
among,0.21154822409152985,0.19376657903194427,0.1889023780822754,0.3222726583480835,0.3507058024406433,0.18788354098796844,0.21153168380260468,0.21499858796596527,0.15849052369594574,0.1145811527967453,0.26594701409339905,0.12005859613418579,0.01186611782759428,0.15579582750797272,0.14343059062957764
historians,0.3240909278392792,0.25242504477500916,0.2721700072288513,0.21803079545497894,0.2874947786331177,0.3184340298175812,0.2579605281352997,0.22016611695289612,0.27906712889671326,0.1575969010591507,0.2267346978187561,0.13962656259536743,0.032542359083890915,0.3171164095401764,0.15053395926952362
",",0.3087472915649414,0.35016918182373047,0.24007150530815125,0.3680937886238098,0.4933079481124878,0.21364323794841766,0.27399855852127075,0.39254459738731384,0.2596147656440735,0.3066370487213135,0.44245919585227966,0.23255878686904907,-0.0016132977325469255,0.16083845496177673,0.31091248989105225
his,0.26976513862609863,0.4538118839263916,0.30760571360588074,0.3107621967792511,0.4394008219242096,0.26271045207977295,0.24824443459510803,0.21738691627979279,0.24782752990722656,0.3421434462070465,0.3715193271636963,0.27093374729156494,0.047556519508361816,0.23943950235843658,0.18075084686279297
anti-jewish,0.24965569376945496,0.21816770732402802,0.24403177201747894,0.27537044882774353,0.2829035222530365,0.42525714635849,0.24255825579166412,0.2756458818912506,0.2478809803724289,0.2295568883419037,0.28858062624931335,0.2999206483364105,-0.03537237271666527,0.29644763469696045,0.26591992378234863
rhetoric,0.35592612624168396,0.20350952446460724,0.23571038246154785,0.1612565964460373,0.1746336966753006,0.22080157697200775,0.21759293973445892,0.2255813032388687,0.23576249182224274,0.14003655314445496,0.19807186722755432,0.17628253996372223,0.007105655036866665,0.9999999403953552,0.2396131157875061
