,what,was,the,name,of,watt,'s,partner,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,0.1903349757194519,-0.01540423184633255,0.1342829167842865,0.22068053483963013
centrifugal,0.29518410563468933,0.17199689149856567,0.2855057716369629,0.11995087563991547,0.2583181858062744,0.34991255402565,-0.004569592885673046,0.1285930722951889,0.17586340010166168
governor,0.21184112131595612,0.25802454352378845,0.19955585896968842,0.08215808868408203,0.19877229630947113,0.24461476504802704,-0.0029628698248416185,0.13785527646541595,0.135940283536911
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2646567225456238,0.4069072902202606,0.20568017661571503,0.008974763564765453,0.11958950757980347,0.18412111699581146
adopted,0.1504661738872528,0.31838172674179077,0.23462533950805664,0.26524877548217773,0.25312307476997375,0.1758275032043457,-0.03255033865571022,0.18737712502479553,0.14235380291938782
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.25480157136917114,0.3646814823150635,0.17395760118961334,-0.010884488001465797,0.17357978224754333,0.17966607213020325
james,0.20536290109157562,0.2958067059516907,0.22481533885002136,0.1446959525346756,0.18323110044002533,0.3038761615753174,0.043919146060943604,0.09090565145015717,0.12139993160963058
watt,0.12468069046735764,0.20568017661571503,0.1903349757194519,0.10037589073181152,0.21599632501602173,1.0,-0.022533712908625603,0.1669190675020218,0.16354146599769592
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.19073650240898132,-0.07241261005401611,0.18582101166248322,0.264628142118454
use,0.3453877568244934,0.17744606733322144,0.34342584013938904,0.2562561333179474,0.2750902473926544,0.19314832985401154,0.004619393963366747,0.13748875260353088,0.32795652747154236
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.17627742886543274,0.3966929316520691,0.14423085749149323,0.0026888418942689896,0.1320803016424179,0.2714994251728058
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.21096299588680267,0.04866964742541313,0.15760847926139832,0.23916715383529663
steam,0.15672586858272552,0.16913670301437378,0.23105813562870026,0.1303234100341797,0.20239725708961487,0.3759114742279053,0.03992457315325737,0.08545323461294174,0.113324373960495
engine,0.18463268876075745,0.205611914396286,0.21651263535022736,0.16538943350315094,0.17095594108104706,0.31998884677886963,0.044662050902843475,0.19754789769649506,0.17739196121692657
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.14650258421897888,-0.037580832839012146,0.1903068870306015,0.20430970191955566
1788,0.0740138441324234,0.028817273676395416,0.0961972028017044,0.1774962991476059,0.12952084839344025,0.015907365828752518,-0.0439741387963295,0.0922255665063858,0.10552866011857986
after,0.21973377466201782,0.49306565523147583,0.4565047025680542,0.2467648833990097,0.3867455720901489,0.20518305897712708,-0.055672239512205124,0.19780415296554565,0.16608688235282898
watt,0.12468069046735764,0.20568017661571503,0.1903349757194519,0.10037589073181152,0.21599632501602173,1.0,-0.022533712908625603,0.1669190675020218,0.16354146599769592
’,-0.01733604073524475,0.023636873811483383,-0.04090067744255066,0.08563591539859772,-0.062016043812036514,0.029600193724036217,-0.1203070729970932,0.023768870159983635,0.045561522245407104
s,0.3634900748729706,0.3674983084201813,0.46610721945762634,0.21873673796653748,0.42263656854629517,0.1796596795320511,0.05719660595059395,0.219791978597641,0.25130221247673035
partner,0.10468954592943192,0.11958950757980347,0.1342829167842865,0.17917859554290771,0.10028040409088135,0.1669190675020218,-0.004190714564174414,1.0,0.15119856595993042
boulton,0.1500292718410492,0.3204253315925598,0.22854043543338776,0.10953646153211594,0.21138660609722137,0.44902464747428894,0.07558367401361465,0.2962591052055359,0.10306169092655182
saw,0.24788837134838104,0.42132335901260376,0.318278044462204,0.16792966425418854,0.28204935789108276,0.22255448997020721,0.04767860472202301,0.08127592504024506,0.14690998196601868
one,0.376489520072937,0.3752199709415436,0.5514441132545471,0.27018114924430847,0.4999135136604309,0.2622033655643463,0.06913424283266068,0.25453245639801025,0.2673267424106598
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.11450952291488647,0.42558613419532776,0.146190345287323,-0.08481216430664062,0.1009577065706253,0.21978627145290375
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.21096299588680267,0.04866964742541313,0.15760847926139832,0.23916715383529663
flour,0.21910925209522247,0.17659051716327667,0.20386682450771332,0.19066329300403595,0.2161136418581009,0.22999657690525055,0.03893718868494034,0.0979011133313179,0.2050427794456482
mill,0.16196684539318085,0.19059205055236816,0.18453173339366913,0.15170332789421082,0.163768470287323,0.3166802227497101,0.015467713586986065,0.12946632504463196,0.11453486233949661
boulton,0.1500292718410492,0.3204253315925598,0.22854043543338776,0.10953646153211594,0.21138660609722137,0.44902464747428894,0.07558367401361465,0.2962591052055359,0.10306169092655182
