,orientalism,refers,to,how,the,west,developed,a,what,of,the,east,?
orientalism,0.9999999403953552,0.21652129292488098,0.15774770081043243,0.1189698725938797,0.19308865070343018,0.28884100914001465,0.22027353942394257,0.20197629928588867,0.17770566046237946,0.2036316692829132,0.19308865070343018,0.31223565340042114,0.11607802659273148
",",0.22784797847270966,0.24580217897891998,0.44245919585227966,0.22659391164779663,0.4933079481124878,0.28857502341270447,0.24565434455871582,0.427140474319458,0.3087472915649414,0.4946078956127167,0.4933079481124878,0.319791704416275,0.31091248989105225
as,0.14917324483394623,0.22974605858325958,0.42092081904411316,0.33782753348350525,0.48381632566452026,0.1651858687400818,0.21440666913986206,0.39550232887268066,0.31749409437179565,0.3886612355709076,0.48381632566452026,0.19617025554180145,0.27043893933296204
theorized,0.2870902717113495,0.31787368655204773,0.2128838151693344,0.2968067228794098,0.24957996606826782,0.1910301297903061,0.41807499527931213,0.2370719611644745,0.28116753697395325,0.26842209696769714,0.24957996606826782,0.13537466526031494,0.10721861571073532
by,0.12945710122585297,0.22862586379051208,0.33534231781959534,0.34370526671409607,0.4408751428127289,0.17778825759887695,0.2796236276626587,0.32094135880470276,0.2455483376979828,0.3646814823150635,0.4408751428127289,0.2120126187801361,0.17966607213020325
edward,0.18473109602928162,0.10122549533843994,0.15364201366901398,0.13033853471279144,0.1896408498287201,0.19937720894813538,0.14532588422298431,0.16167707741260529,0.13810503482818604,0.1742178201675415,0.1896408498287201,0.1688651591539383,0.1439376026391983
said,0.17652300000190735,0.14254796504974365,0.34274402260780334,0.29677578806877136,0.3024602234363556,0.09122937172651291,0.24300864338874817,0.31069710850715637,0.3951668441295624,0.29014745354652405,0.3024602234363556,0.0847993940114975,0.28991883993148804
",",0.22784797847270966,0.24580217897891998,0.44245919585227966,0.22659391164779663,0.4933079481124878,0.28857502341270447,0.24565434455871582,0.427140474319458,0.3087472915649414,0.4946078956127167,0.4933079481124878,0.319791704416275,0.31091248989105225
refers,0.21652129292488098,1.0,0.2604694068431854,0.20522667467594147,0.3041703402996063,0.12270898371934891,0.17922396957874298,0.3613983690738678,0.200907364487648,0.341296911239624,0.3041703402996063,0.15745782852172852,0.07924893498420715
to,0.15774770081043243,0.2604694068431854,1.0,0.44169697165489197,0.535392165184021,0.24611181020736694,0.19491806626319885,0.45503583550453186,0.455847829580307,0.41548454761505127,0.535392165184021,0.24717837572097778,0.29463258385658264
how,0.1189698725938797,0.20522667467594147,0.44169697165489197,1.0,0.33890387415885925,0.13549664616584778,0.1512427031993866,0.29312583804130554,0.6468034982681274,0.2480744868516922,0.33890387415885925,0.1773146688938141,0.4024120569229126
the,0.19308865070343018,0.3041703402996063,0.535392165184021,0.33890387415885925,1.0,0.32918402552604675,0.24490751326084137,0.5829201340675354,0.42745697498321533,0.733189046382904,1.0,0.3383176326751709,0.22068053483963013
west,0.28884100914001465,0.12270898371934891,0.24611181020736694,0.13549664616584778,0.32918402552604675,1.0,0.17503008246421814,0.2258862406015396,0.1946573108434677,0.2891985774040222,0.32918402552604675,0.7585000991821289,0.12088293582201004
developed,0.22027353942394257,0.17922396957874298,0.19491806626319885,0.1512427031993866,0.24490751326084137,0.17503008246421814,1.0000001192092896,0.286296546459198,0.15555569529533386,0.21960023045539856,0.24490751326084137,0.17909249663352966,0.10763012617826462
an,0.13341408967971802,0.20129938423633575,0.3138085603713989,0.2520636022090912,0.4207492768764496,0.14246505498886108,0.21630597114562988,0.44552403688430786,0.2821882665157318,0.32280945777893066,0.4207492768764496,0.19809120893478394,0.19793890416622162
imaginative,0.32357990741729736,0.2728491425514221,0.25769180059432983,0.2817506194114685,0.1572573035955429,0.11772825568914413,0.21943098306655884,0.23390106856822968,0.3272179365158081,0.22052380442619324,0.1572573035955429,0.09466731548309326,0.19226540625095367
geography,0.2398359775543213,0.21036826074123383,0.19606837630271912,0.18725693225860596,0.20259734988212585,0.24214835464954376,0.21023711562156677,0.17554253339767456,0.28860387206077576,0.29454779624938965,0.20259734988212585,0.3272944390773773,0.17832398414611816
of,0.2036316692829132,0.341296911239624,0.41548454761505127,0.2480744868516922,0.733189046382904,0.2891985774040222,0.21960023045539856,0.5052502155303955,0.33290785551071167,1.0,0.733189046382904,0.314786434173584,0.1826142966747284
the,0.19308865070343018,0.3041703402996063,0.535392165184021,0.33890387415885925,1.0,0.32918402552604675,0.24490751326084137,0.5829201340675354,0.42745697498321533,0.733189046382904,1.0,0.3383176326751709,0.22068053483963013
east,0.31223565340042114,0.15745782852172852,0.24717837572097778,0.1773146688938141,0.3383176326751709,0.7585000991821289,0.17909249663352966,0.18767057359218597,0.19840149581432343,0.314786434173584,0.3383176326751709,1.0000001192092896,0.10070597380399704
.,0.20855508744716644,0.13043998181819916,0.4645031690597534,0.3287222981452942,0.5934505462646484,0.2804967761039734,0.2569568455219269,0.50484299659729,0.3567904531955719,0.5352458953857422,0.5934505462646484,0.28351864218711853,0.4130953550338745
