,the,mother,of,which,emperor,was,a,concubine,?
the,1.0,0.22516992688179016,0.733189046382904,0.6521818041801453,0.2871226370334625,0.48711544275283813,0.5829201340675354,0.20749394595623016,0.22068053483963013
mongol,0.2924198508262634,0.0560200959444046,0.22712039947509766,0.22227831184864044,0.38995394110679626,0.17204789817333221,0.15921570360660553,0.28426769375801086,0.12849251925945282
custom,0.20443080365657806,0.1275898516178131,0.19009807705879211,0.24192525446414948,0.19384178519248962,0.12257083505392075,0.26121920347213745,0.19467639923095703,0.26820895075798035
of,0.733189046382904,0.2170739620923996,1.0,0.5011631846427917,0.2615426778793335,0.4069072902202606,0.5052502155303955,0.24567902088165283,0.1826142966747284
long,0.3075225353240967,0.15698441863059998,0.2567519545555115,0.34186381101608276,0.13354384899139404,0.1968146562576294,0.3795371353626251,0.16972675919532776,0.19699987769126892
standing,0.32312217354774475,0.12814897298812866,0.30196839570999146,0.2561359405517578,0.13711221516132355,0.24464210867881775,0.3191242814064026,0.284635066986084,0.11972658336162567
quda/marriage,0.23816651105880737,0.4178386628627777,0.23295430839061737,0.1928378939628601,0.28437402844429016,0.28388670086860657,0.2327549159526825,0.49608123302459717,0.1778620481491089
alliance,0.24372223019599915,0.17146679759025574,0.23659467697143555,0.20220161974430084,0.18531255424022675,0.22298447787761688,0.17512522637844086,0.26203179359436035,0.09356802701950073
with,0.4223487675189972,0.215022474527359,0.41827285289764404,0.46403205394744873,0.15614499151706696,0.27411898970603943,0.3783375024795532,0.24857646226882935,0.2433311939239502
mongol,0.2924198508262634,0.0560200959444046,0.22712039947509766,0.22227831184864044,0.38995394110679626,0.17204789817333221,0.15921570360660553,0.28426769375801086,0.12849251925945282
clans,0.3148679733276367,0.18273520469665527,0.2845551371574402,0.24062934517860413,0.23678076267242432,0.12382829934358597,0.18141646683216095,0.301593542098999,0.1368861049413681
",",0.4933079481124878,0.30403390526771545,0.4946078956127167,0.3658004403114319,0.20295536518096924,0.45456063747406006,0.427140474319458,0.2574881911277771,0.31091248989105225
the,1.0,0.22516992688179016,0.733189046382904,0.6521818041801453,0.2871226370334625,0.48711544275283813,0.5829201340675354,0.20749394595623016,0.22068053483963013
onggirat,0.34149208664894104,0.2967558801174164,0.3075009882450104,0.2945052683353424,0.3559974133968353,0.2942385971546173,0.33187153935432434,0.34750598669052124,0.3145880401134491
",",0.4933079481124878,0.30403390526771545,0.4946078956127167,0.3658004403114319,0.20295536518096924,0.45456063747406006,0.427140474319458,0.2574881911277771,0.31091248989105225
and,0.5171257257461548,0.30062589049339294,0.5116966962814331,0.506277859210968,0.18361839652061462,0.3740963041782379,0.3739250600337982,0.25258663296699524,0.20544172823429108
the,1.0,0.22516992688179016,0.733189046382904,0.6521818041801453,0.2871226370334625,0.48711544275283813,0.5829201340675354,0.20749394595623016,0.22068053483963013
ikeres,0.2606912851333618,0.2715289890766144,0.22058691084384918,0.23538260161876678,0.2278367280960083,0.22833070158958435,0.26000767946243286,0.35720863938331604,0.29591867327690125
",",0.4933079481124878,0.30403390526771545,0.4946078956127167,0.3658004403114319,0.20295536518096924,0.45456063747406006,0.427140474319458,0.2574881911277771,0.31091248989105225
kept,0.3135738670825958,0.17594295740127563,0.25036442279815674,0.25791674852371216,0.1617339700460434,0.2936630845069885,0.21615740656852722,0.2420874685049057,0.15157312154769897
the,1.0,0.22516992688179016,0.733189046382904,0.6521818041801453,0.2871226370334625,0.48711544275283813,0.5829201340675354,0.20749394595623016,0.22068053483963013
imperial,0.3074202835559845,0.18735799193382263,0.3205159604549408,0.21323533356189728,0.4687618017196655,0.2417704313993454,0.1928369700908661,0.3537643849849701,0.10900196433067322
blood,0.2815113961696625,0.21579135954380035,0.2294820100069046,0.287484347820282,0.11130201071500778,0.16721275448799133,0.23023681342601776,0.18318285048007965,0.156274676322937
purely,0.2469300776720047,0.08872825652360916,0.24775581061840057,0.39998140931129456,0.12504969537258148,0.19264793395996094,0.3435576558113098,0.1493345946073532,0.20327743887901306
mongol,0.2924198508262634,0.0560200959444046,0.22712039947509766,0.22227831184864044,0.38995394110679626,0.17204789817333221,0.15921570360660553,0.28426769375801086,0.12849251925945282
until,0.37191009521484375,0.2416614443063736,0.2787701487541199,0.2778668999671936,0.19360537827014923,0.43126991391181946,0.2314814180135727,0.2330591231584549,0.20304496586322784
the,1.0,0.22516992688179016,0.733189046382904,0.6521818041801453,0.2871226370334625,0.48711544275283813,0.5829201340675354,0.20749394595623016,0.22068053483963013
reign,0.2661008834838867,0.2444768249988556,0.2783183157444,0.2041328102350235,0.5076859593391418,0.2893977761268616,0.1442631483078003,0.437271386384964,0.16399922966957092
of,0.733189046382904,0.2170739620923996,1.0,0.5011631846427917,0.2615426778793335,0.4069072902202606,0.5052502155303955,0.24567902088165283,0.1826142966747284
tugh,0.2538721263408661,0.28375402092933655,0.2661905288696289,0.2691210210323334,0.2619072198867798,0.2578143775463104,0.2991655468940735,0.31084030866622925,0.2607990801334381
temur,0.2950887978076935,0.20479829609394073,0.2597799301147461,0.1997847706079483,0.37377452850341797,0.2032104879617691,0.1981619894504547,0.37056776881217957,0.133846253156662
",",0.4933079481124878,0.30403390526771545,0.4946078956127167,0.3658004403114319,0.20295536518096924,0.45456063747406006,0.427140474319458,0.2574881911277771,0.31091248989105225
whose,0.38253846764564514,0.2667029798030853,0.37058958411216736,0.37205496430397034,0.14943476021289825,0.2162860482931137,0.3225097060203552,0.27863556146621704,0.16990536451339722
mother,0.22516992688179016,1.0,0.2170739620923996,0.21146570146083832,0.22408922016620636,0.28349727392196655,0.2082238644361496,0.44053858518600464,0.15180644392967224
was,0.48711544275283813,0.28349727392196655,0.4069072902202606,0.2830964922904968,0.2147601991891861,1.0000001192092896,0.4508470594882965,0.27406126260757446,0.18412111699581146
a,0.5829201340675354,0.2082238644361496,0.5052502155303955,0.56894451379776,0.1662927269935608,0.4508470594882965,1.0,0.2142038345336914,0.23916715383529663
tangut,0.300812304019928,0.2503524124622345,0.3153865933418274,0.3473128080368042,0.22913043200969696,0.1868833750486374,0.3336856961250305,0.2525167763233185,0.157356396317482
concubine,0.20749394595623016,0.44053858518600464,0.24567902088165283,0.14122802019119263,0.4468884766101837,0.27406126260757446,0.2142038345336914,1.0,0.22598886489868164
.,0.5934505462646484,0.27072274684906006,0.5352458953857422,0.45942068099975586,0.2352581024169922,0.40146201848983765,0.50484299659729,0.21175408363342285,0.4130953550338745
