,what,kind,of,diseases,do,drugs,target,apicoplasts,for,?
this,0.5489566326141357,0.4221852123737335,0.45148900151252747,0.2902323305606842,0.34963881969451904,0.2902499735355377,0.24301230907440186,0.34948083758354187,0.5082864165306091,0.3155723512172699
makes,0.2867553234100342,0.3507095277309418,0.2927091419696808,0.22044388949871063,0.2856288552284241,0.1917135864496231,0.21032549440860748,0.23995664715766907,0.3219717741012573,0.22145044803619385
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2655201852321625,0.30239659547805786,0.19485467672348022,0.25054478645324707,0.29163286089897156,0.4739971458911896,0.22068053483963013
apicoplast,0.2268436849117279,0.3091573119163513,0.27850341796875,0.3963633179664612,0.29760903120040894,0.2843686044216156,0.2926822304725647,0.9438585042953491,0.22124142944812775,0.20943984389305115
an,0.2821882665157318,0.2510696351528168,0.32280945777893066,0.1750166267156601,0.25865980982780457,0.17272815108299255,0.1860780566930771,0.20691648125648499,0.3236706852912903,0.19793890416622162
attractive,0.1607188582420349,0.1948409080505371,0.2428080141544342,0.14372842013835907,0.21492411196231842,0.10413719713687897,0.13132034242153168,0.24484850466251373,0.2540658116340637,0.059703927487134933
target,0.22247901558876038,0.19388076663017273,0.15346646308898926,0.14398588240146637,0.19927075505256653,0.19455565512180328,0.9999999403953552,0.279101699590683,0.21645283699035645,0.24974246323108673
for,0.3017193675041199,0.28053680062294006,0.4185989499092102,0.26087135076522827,0.29510271549224854,0.2985316216945648,0.21645283699035645,0.24386030435562134,0.9999999403953552,0.264628142118454
drugs,0.27091342210769653,0.19718042016029358,0.21399663388729095,0.43913736939430237,0.2335958033800125,1.0000001192092896,0.19455565512180328,0.2906220555305481,0.2985316216945648,0.15436270833015442
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.27645206451416016,0.38876664638519287,0.2537701725959778,0.275001585483551,0.24218755960464478,0.4451248347759247,0.29463258385658264
cure,0.2072375863790512,0.22895684838294983,0.15037813782691956,0.4876002371311188,0.2602068781852722,0.45304128527641296,0.15131258964538574,0.26242151856422424,0.24815534055233002,0.18364232778549194
apicomplexan-related,0.32128453254699707,0.3411460220813751,0.39537888765335083,0.4885556101799011,0.3350052535533905,0.29548323154449463,0.2771465480327606,0.6549252867698669,0.24865782260894775,0.25353628396987915
diseases,0.276649534702301,0.23759770393371582,0.25425323843955994,0.9999999403953552,0.2614175081253052,0.43913736939430237,0.14398588240146637,0.43055421113967896,0.26087135076522827,0.1916700154542923
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.22635892033576965,0.3613996207714081,0.23083394765853882,0.24514639377593994,0.28695741295814514,0.4726039469242096,0.4130953550338745
