,in,what,year,did,abc,launch,the,movie,of,the,week,?
on,0.46853652596473694,0.34226128458976746,0.27628999948501587,0.2670976221561432,0.2862928807735443,0.2868025302886963,0.5107308030128479,0.2304898053407669,0.3966929316520691,0.5107308030128479,0.3680826723575592,0.2714994251728058
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.2068762183189392,0.2628649175167084,1.0,0.2636405825614929,0.733189046382904,1.0,0.28402599692344666,0.22068053483963013
television,0.2689782977104187,0.19838058948516846,0.19048495590686798,0.17055591940879822,0.46871840953826904,0.21629789471626282,0.24569597840309143,0.5471143126487732,0.21995750069618225,0.24569597840309143,0.20378589630126953,0.16825827956199646
side,0.2626299262046814,0.2532914876937866,0.12599679827690125,0.19660846889019012,0.1347583830356598,0.03909704461693764,0.37146830558776855,0.1502363383769989,0.2452700436115265,0.37146830558776855,0.1529947966337204,0.07831130921840668
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.2097204476594925,0.19433410465717316,0.4933079481124878,0.2886425256729126,0.4946078956127167,0.4933079481124878,0.3187089264392853,0.31091248989105225
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.1697147786617279,0.19686491787433624,0.6662389636039734,0.2507663369178772,0.5696388483047485,0.6662389636039734,0.2674444317817688,0.20430970191955566
september,0.25402772426605225,0.2153792530298233,0.2660074234008789,0.2693498432636261,0.23585575819015503,0.1993665248155594,0.2516939043998718,0.2616540193557739,0.16787530481815338,0.2516939043998718,0.3212333619594574,0.2665146589279175
1969,0.20296303927898407,0.17037658393383026,0.14029541611671448,0.20070725679397583,0.13268177211284637,0.11741117388010025,0.22767919301986694,0.2235967516899109,0.23144781589508057,0.22767919301986694,0.16319088637828827,0.19860808551311493
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.2097204476594925,0.19433410465717316,0.4933079481124878,0.2886425256729126,0.4946078956127167,0.4933079481124878,0.3187089264392853,0.31091248989105225
abc,0.1697147786617279,0.1317344456911087,0.2373921275138855,0.13353709876537323,1.0000001192092896,0.21600057184696198,0.2068762183189392,0.24821209907531738,0.14607268571853638,0.2068762183189392,0.2554396390914917,0.19065172970294952
