,the,two,aaa,clubs,divided,the,state,into,a,northern,and,southern,california,as,opposed,to,what,point,of,view,?
the,1.0,0.43858039379119873,0.17476393282413483,0.17952080070972443,0.34601110219955444,1.0,0.3097178041934967,0.39493247866630554,0.5829201340675354,0.3422943353652954,0.5171257257461548,0.3282862603664398,0.2750805914402008,0.48381632566452026,0.24302934110164642,0.535392165184021,0.42745697498321533,0.3084787130355835,0.733189046382904,0.25610461831092834,0.22068053483963013
two,0.43858039379119873,1.0000001192092896,0.16267715394496918,0.19858668744564056,0.4119005501270294,0.43858039379119873,0.19419679045677185,0.34175926446914673,0.3289857804775238,0.17979876697063446,0.4671151638031006,0.13197177648544312,0.21899013221263885,0.3029302954673767,0.25949034094810486,0.3343428373336792,0.23363454639911652,0.17368760704994202,0.37726253271102905,0.17549404501914978,0.19645625352859497
aaa,0.17476393282413483,0.16267715394496918,1.0000001192092896,0.2030501365661621,0.10351934283971786,0.17476393282413483,0.14140476286411285,0.05839677155017853,0.1411885768175125,0.1428578943014145,0.13181598484516144,0.1668311506509781,0.1535111367702484,0.10068199783563614,0.1550806313753128,0.11379832774400711,0.1450928896665573,0.15858465433120728,0.13306361436843872,0.05897516757249832,0.20167770981788635
auto,0.16137129068374634,0.13299788534641266,0.20578311383724213,0.19666467607021332,0.08459997922182083,0.16137129068374634,0.15002261102199554,0.14235803484916687,0.15588954091072083,0.05818008631467819,0.20356731116771698,0.05077485740184784,0.17664964497089386,0.16197019815444946,0.08570782840251923,0.2091934233903885,0.20704150199890137,0.07849434018135071,0.12421652674674988,0.07737500220537186,0.20101268589496613
clubs,0.17952080070972443,0.19858668744564056,0.2030501365661621,1.0,0.20222830772399902,0.17952080070972443,0.19493353366851807,0.15928688645362854,0.17674703896045685,0.1476520448923111,0.22370807826519012,0.14693619310855865,0.17150527238845825,0.0974835604429245,0.07206255942583084,0.17208173871040344,0.07451342791318893,0.07763952761888504,0.17083200812339783,0.13376958668231964,0.1735779345035553
of,0.733189046382904,0.37726253271102905,0.13306361436843872,0.17083200812339783,0.37450557947158813,0.733189046382904,0.34253445267677307,0.32255905866622925,0.5052502155303955,0.32586339116096497,0.5116966962814331,0.31933003664016724,0.24929828941822052,0.3886612355709076,0.25387564301490784,0.41548454761505127,0.33290785551071167,0.269877165555954,1.0,0.21446028351783752,0.1826142966747284
the,1.0,0.43858039379119873,0.17476393282413483,0.17952080070972443,0.34601110219955444,1.0,0.3097178041934967,0.39493247866630554,0.5829201340675354,0.3422943353652954,0.5171257257461548,0.3282862603664398,0.2750805914402008,0.48381632566452026,0.24302934110164642,0.535392165184021,0.42745697498321533,0.3084787130355835,0.733189046382904,0.25610461831092834,0.22068053483963013
state,0.3097178041934967,0.19419679045677185,0.14140476286411285,0.19493353366851807,0.1687982976436615,0.3097178041934967,1.0,0.13660210371017456,0.25097307562828064,0.29877153038978577,0.2653750479221344,0.2978775203227997,0.3314559757709503,0.26851922273635864,0.194102481007576,0.25557461380958557,0.24273863434791565,0.22966556251049042,0.34253445267677307,0.1265183389186859,0.1160883978009224
",",0.4933079481124878,0.35859420895576477,0.13678453862667084,0.20721189677715302,0.25847432017326355,0.4933079481124878,0.29481780529022217,0.2826121151447296,0.427140474319458,0.29473260045051575,0.6633074283599854,0.2795628309249878,0.2704589068889618,0.48816442489624023,0.2660662829875946,0.44245919585227966,0.3087472915649414,0.28971099853515625,0.4946078956127167,0.216712087392807,0.31091248989105225
the,1.0,0.43858039379119873,0.17476393282413483,0.17952080070972443,0.34601110219955444,1.0,0.3097178041934967,0.39493247866630554,0.5829201340675354,0.3422943353652954,0.5171257257461548,0.3282862603664398,0.2750805914402008,0.48381632566452026,0.24302934110164642,0.535392165184021,0.42745697498321533,0.3084787130355835,0.733189046382904,0.25610461831092834,0.22068053483963013
