,how,did,tesla,finance,his,work,?
his,0.24614305794239044,0.3546801507472992,0.1580733060836792,0.25430938601493835,0.9999998807907104,0.36648666858673096,0.18075084686279297
patents,0.22582566738128662,0.19803202152252197,0.352291464805603,0.3207423686981201,0.1780233383178711,0.2884793281555176,0.1148110032081604
earned,0.16097167134284973,0.33866041898727417,0.1353551596403122,0.2422354817390442,0.3969489634037018,0.23778998851776123,0.18173527717590332
him,0.3545486629009247,0.4290095865726471,0.14682093262672424,0.17400306463241577,0.6629161238670349,0.2844655513763428,0.23943768441677094
a,0.29312583804130554,0.2552328109741211,0.2211925983428955,0.23580783605575562,0.3497250974178314,0.266241192817688,0.23916715383529663
considerable,0.21734435856342316,0.2232411801815033,0.1523800790309906,0.3027394413948059,0.3250376880168915,0.2696140706539154,0.13223446905612946
amount,0.37087762355804443,0.19932299852371216,0.24955591559410095,0.2572883367538452,0.18319322168827057,0.2705996036529541,0.17984020709991455
of,0.2480744868516922,0.2513895630836487,0.18837453424930573,0.3119599521160126,0.38364991545677185,0.23473061621189117,0.1826142966747284
money,0.26024624705314636,0.3498571217060089,0.1636640876531601,0.4290046691894531,0.3251928687095642,0.3571661412715912,0.2069680541753769
",",0.22659391164779663,0.3015086054801941,0.20599327981472015,0.26938337087631226,0.3378419280052185,0.3283594250679016,0.31091248989105225
much,0.46556615829467773,0.37947356700897217,0.20609156787395477,0.1346544772386551,0.23178109526634216,0.38858485221862793,0.23442231118679047
of,0.2480744868516922,0.2513895630836487,0.18837453424930573,0.3119599521160126,0.38364991545677185,0.23473061621189117,0.1826142966747284
which,0.4852597713470459,0.2750149369239807,0.2203940600156784,0.2023923695087433,0.32283493876457214,0.30331435799598694,0.25814583897590637
was,0.16678167879581451,0.41399896144866943,0.16455206274986267,0.2725954055786133,0.4405253231525421,0.24745555222034454,0.18412111699581146
used,0.34819337725639343,0.30443844199180603,0.226042702794075,0.1630571335554123,0.20492680370807648,0.2676831781864166,0.22430120408535004
to,0.44169697165489197,0.4452643394470215,0.17548894882202148,0.24419264495372772,0.3715193271636963,0.3482864499092102,0.29463258385658264
finance,0.20514929294586182,0.17958222329616547,0.18976029753684998,1.0,0.25430938601493835,0.2611011564731598,0.1273542046546936
his,0.24614305794239044,0.3546801507472992,0.1580733060836792,0.25430938601493835,0.9999998807907104,0.36648666858673096,0.18075084686279297
own,0.3035697042942047,0.34475913643836975,0.17710740864276886,0.16144903004169464,0.4417259395122528,0.33226919174194336,0.1937696635723114
projects,0.27294015884399414,0.21255384385585785,0.21314752101898193,0.34282535314559937,0.24206286668777466,0.42499396204948425,0.3193145990371704
with,0.3525622487068176,0.25472134351730347,0.16424812376499176,0.17615559697151184,0.33836179971694946,0.2649822533130646,0.2433311939239502
varying,0.31414565443992615,0.18426401913166046,0.26901593804359436,0.2715316116809845,0.20315830409526825,0.25459393858909607,0.14919932186603546
degrees,0.18475523591041565,0.1499079316854477,0.16841985285282135,0.16545699536800385,0.11402871459722519,0.1616278886795044,0.1299446076154709
of,0.2480744868516922,0.2513895630836487,0.18837453424930573,0.3119599521160126,0.38364991545677185,0.23473061621189117,0.1826142966747284
success,0.24049155414104462,0.33578285574913025,0.10949093848466873,0.30076539516448975,0.329776406288147,0.31282949447631836,0.1216118186712265
.,0.3287222981452942,0.35288307070732117,0.17949827015399933,0.29448971152305603,0.3119256794452667,0.33121398091316223,0.4130953550338745
,how,did,tesla,finance,his,work,?
tesla,0.19128404557704926,0.09757418930530548,0.9999999403953552,0.18976029753684998,0.1580733060836792,0.2545209228992462,0.10250775516033173
was,0.16678167879581451,0.41399896144866943,0.16455206274986267,0.2725954055786133,0.4405253231525421,0.24745555222034454,0.18412111699581146
renowned,0.0659715086221695,0.10643190145492554,0.16726455092430115,0.24141742289066315,0.2990919053554535,0.2102399319410324,0.08647420257329941
