,where,will,the,2009,international,arts,fair,be,held,?
the,0.5003893971443176,0.3635469079017639,1.0,-0.23935742676258087,0.23719607293605804,0.23374557495117188,0.2018251270055771,0.4248143136501312,0.32185450196266174,0.22068053483963013
2009,-0.3084917962551117,-0.23764340579509735,-0.23935742676258087,1.0,-0.20628003776073456,-0.16363343596458435,-0.16781271994113922,-0.2188660204410553,-0.24196983873844147,-0.2287932187318802
event,0.2952560484409332,0.2018716037273407,0.2960145175457001,-0.191149041056633,0.20510634779930115,0.18017998337745667,0.16879859566688538,0.2608627378940582,0.45807647705078125,0.16076280176639557
will,0.3374059498310089,1.0,0.3635469079017639,-0.23764340579509735,0.18563561141490936,0.19110268354415894,0.26628637313842773,0.4925616979598999,0.18110758066177368,0.35046905279159546
be,0.3651217818260193,0.4925616979598999,0.4248143136501312,-0.2188660204410553,0.14453022181987762,0.1190619021654129,0.22032536566257477,1.0,0.18061767518520355,0.3324260413646698
in,0.5344807505607605,0.2580665349960327,0.6662389636039734,-0.28531888127326965,0.26377472281455994,0.2445804625749588,0.17628079652786255,0.3481820821762085,0.3127288818359375,0.20430970191955566
the,0.5003893971443176,0.3635469079017639,1.0,-0.23935742676258087,0.23719607293605804,0.23374557495117188,0.2018251270055771,0.4248143136501312,0.32185450196266174,0.22068053483963013
norman,0.11904808133840561,0.18289315700531006,0.23459704220294952,-0.1467381864786148,0.13343533873558044,0.17317934334278107,0.18633320927619934,0.09048391878604889,0.17784027755260468,0.12243545055389404
foster,0.14646336436271667,0.16612160205841064,0.22401562333106995,-0.1066378653049469,0.2716139554977417,0.22062134742736816,0.17984463274478912,0.19098149240016937,0.12999552488327026,0.15768253803253174
designed,0.1850132942199707,0.20539796352386475,0.2559613883495331,-0.19781352579593658,0.13085240125656128,0.226235032081604,0.14999429881572723,0.1915401816368103,0.19497530162334442,0.11213942617177963
sage,0.08358549326658249,0.13798993825912476,0.19391703605651855,-0.03674106299877167,0.09309642761945724,0.167628213763237,0.15892311930656433,0.17423783242702484,0.08098108321428299,0.0675908774137497
gateshead,0.2095002382993698,0.18119992315769196,0.29985129833221436,-0.18790051341056824,0.2285209745168686,0.2179708480834961,0.19965271651744843,0.18820853531360626,0.2333494871854782,0.14773961901664734
music,0.18392108380794525,0.17984268069267273,0.2714049816131592,-0.0693354681134224,0.16759870946407318,0.36855143308639526,0.1426672339439392,0.22172072529792786,0.14816948771476746,0.18264494836330414
and,0.43859338760375977,0.35983073711395264,0.5171257257461548,-0.22857710719108582,0.2444424331188202,0.3013502061367035,0.20493736863136292,0.41766801476478577,0.22757986187934875,0.20544172823429108
arts,0.22172929346561432,0.19110268354415894,0.23374557495117188,-0.16363343596458435,0.2787559926509857,1.0000001192092896,0.20497579872608185,0.1190619021654129,0.2596277892589569,0.09471383690834045
centre,0.2700293958187103,0.12894204258918762,0.32783594727516174,-0.2620019316673279,0.27605995535850525,0.32458215951919556,0.1297382265329361,0.14480142295360565,0.25352925062179565,0.019365152344107628
in,0.5344807505607605,0.2580665349960327,0.6662389636039734,-0.28531888127326965,0.26377472281455994,0.2445804625749588,0.17628079652786255,0.3481820821762085,0.3127288818359375,0.20430970191955566
september,0.1636122465133667,0.18876422941684723,0.2516939043998718,-0.1214638277888298,0.1915474832057953,0.16460594534873962,0.19403406977653503,0.16678357124328613,0.18129463493824005,0.2665146589279175
.,0.41390106081962585,0.33682769536972046,0.5934505462646484,-0.3028804063796997,0.20745405554771423,0.2217400074005127,0.18155190348625183,0.4383580684661865,0.2628571093082428,0.4130953550338745
