,given,the,strength,of,french,forces,at,louisbourg,",",what,did,loudoun,do,?
faced,0.15088634192943573,0.29245710372924805,0.1259530931711197,0.2725057005882263,0.0674336776137352,0.19967013597488403,0.18418630957603455,0.13036072254180908,0.2279764860868454,0.1428881287574768,0.2337440401315689,0.14512164890766144,0.12247969955205917,0.12312540411949158
with,0.29518163204193115,0.4223487675189972,0.18305708467960358,0.41827285289764404,0.1637353003025055,0.18998397886753082,0.29126521944999695,0.24071574211120605,0.4120737314224243,0.2464839518070221,0.25472134351730347,0.15669792890548706,0.23744353652000427,0.2433311939239502
this,0.36582374572753906,0.6274310946464539,0.2873523235321045,0.45148900151252747,0.2380896955728531,0.24922366440296173,0.32544323801994324,0.16393938660621643,0.4316047728061676,0.5489566326141357,0.3609912693500519,0.1766379326581955,0.34963881969451904,0.3155723512172699
strength,0.21334613859653473,0.22000056505203247,1.0,0.2074614018201828,0.16549372673034668,0.3049187958240509,0.11007314175367355,0.17028690874576569,0.20631180703639984,0.23972263932228088,0.205754354596138,0.15553876757621765,0.19757162034511566,0.09558156877756119
",",0.2843315005302429,0.4933079481124878,0.20631180703639984,0.4946078956127167,0.28806620836257935,0.2544684410095215,0.38314947485923767,0.30257532000541687,1.0000001192092896,0.3087472915649414,0.3015086054801941,0.3265959918498993,0.3283645510673523,0.31091248989105225
loudoun,0.12216703593730927,0.29474931955337524,0.15553876757621765,0.2966146767139435,0.2845222055912018,0.269500732421875,0.22563883662223816,0.4665296673774719,0.3265959918498993,0.12151732295751572,0.15946954488754272,0.9999999403953552,0.057561010122299194,0.08689435571432114
returned,0.2411206215620041,0.32857778668403625,0.11621123552322388,0.28002414107322693,0.1376996487379074,0.2341293841600418,0.2879260778427124,0.23036932945251465,0.24382898211479187,0.15085899829864502,0.32570260763168335,0.14621713757514954,0.15215133130550385,0.07695316523313522
to,0.3428947925567627,0.535392165184021,0.2638579308986664,0.41548454761505127,0.1713797152042389,0.2581802308559418,0.36524343490600586,0.1780962496995926,0.44245919585227966,0.455847829580307,0.4452643394470215,0.21256138384342194,0.38876664638519287,0.29463258385658264
new,0.1981271654367447,0.3845241069793701,0.11964759230613708,0.343457967042923,0.1977054476737976,0.17021949589252472,0.1898733228445053,0.21075564622879028,0.36073189973831177,0.2130378633737564,0.227974995970726,0.2963838279247284,0.21221688389778137,0.14782847464084625
york,0.20169931650161743,0.3034006953239441,0.09599803388118744,0.23040355741977692,0.18692997097969055,0.206281378865242,0.2137436866760254,0.31384196877479553,0.2926291227340698,0.15652963519096375,0.16606222093105316,0.3704984188079834,0.1314755231142044,0.15262620151042938
amid,0.1799307018518448,0.23778973519802094,0.1799161583185196,0.24606820940971375,0.15638166666030884,0.2836740016937256,0.18475204706192017,0.19671297073364258,0.15906277298927307,0.16013745963573456,0.18456192314624786,0.18382902443408966,0.1643049716949463,0.1181706115603447
news,0.09382914751768112,0.2294066995382309,0.10177583992481232,0.1894020140171051,0.10003367811441422,0.16186971962451935,0.19028638303279877,0.1430169641971588,0.25081464648246765,0.2584491968154907,0.18422135710716248,0.19025851786136627,0.17408986389636993,0.1899169683456421
that,0.3486595153808594,0.5473989248275757,0.28473690152168274,0.41498205065727234,0.17619380354881287,0.24199660122394562,0.3183255195617676,0.15253214538097382,0.4137537479400635,0.6297725439071655,0.47518548369407654,0.1836978942155838,0.44533252716064453,0.32716336846351624
a,0.3335871398448944,0.5829201340675354,0.22778591513633728,0.5052502155303955,0.24285779893398285,0.17848460376262665,0.3095070421695709,0.2041196972131729,0.427140474319458,0.3320399522781372,0.2552328109741211,0.3020290732383728,0.26237669587135315,0.23916715383529663
massacre,0.04717005789279938,0.23870180547237396,0.09941502660512924,0.20526865124702454,0.23593086004257202,0.28856584429740906,0.23927123844623566,0.2517462372779846,0.22544804215431213,0.16681800782680511,0.14843147993087769,0.23784597218036652,0.1407596468925476,0.17941462993621826
had,0.33721059560775757,0.3875846862792969,0.21061596274375916,0.37755560874938965,0.1956298053264618,0.2085598111152649,0.3288320302963257,0.21709710359573364,0.35487717390060425,0.23849567770957947,0.540525496006012,0.23154620826244354,0.24590566754341125,0.20728366076946259
occurred,0.16305510699748993,0.3372073173522949,0.10872722417116165,0.31296631693840027,0.10793638229370117,0.21222233772277832,0.22868826985359192,0.15007154643535614,0.28958946466445923,0.22118957340717316,0.2772168517112732,0.1939055323600769,0.20355631411075592,0.15880417823791504
at,0.286662220954895,0.457212895154953,0.11007314175367355,0.42558613419532776,0.17825756967067719,0.20982104539871216,1.0,0.24850644171237946,0.38314947485923767,0.2838611304759979,0.28390252590179443,0.22563883662223816,0.1511090099811554,0.21978627145290375
fort,0.07997792214155197,0.2420126497745514,0.10346800088882446,0.18979716300964355,0.27450791001319885,0.32474279403686523,0.3015354871749878,0.4294848144054413,0.2651418149471283,0.19451747834682465,0.17500312626361847,0.38008376955986023,0.11624161899089813,0.15686731040477753
william,0.13758337497711182,0.21537061035633087,0.11237279325723648,0.20272590219974518,0.20046363770961761,0.1888331174850464,0.16626758873462677,0.3320799171924591,0.23339112102985382,0.24990826845169067,0.24349860846996307,0.3184690773487091,0.1286972165107727,0.14462219178676605
henry,0.19730281829833984,0.2542637586593628,0.10488136857748032,0.2390729784965515,0.2602366805076599,0.18746033310890198,0.2414405643939972,0.3369986116886139,0.25662001967430115,0.1911626160144806,0.22827239334583282,0.332200825214386,0.10345325618982315,0.16836383938789368
.,0.3169408142566681,0.5934505462646484,0.22830985486507416,0.5352458953857422,0.2480926215648651,0.21802116930484772,0.4549728035926819,0.2679981291294098,0.6812511086463928,0.3567904531955719,0.35288307070732117,0.2539626657962799,0.3613996207714081,0.4130953550338745
