,what,is,the,most,important,type,of,norman,art,preserved,in,churches,?
many,0.36131182312965393,0.2649032473564148,0.4335206151008606,0.6236066222190857,0.4643375277519226,0.19664129614830017,0.37253960967063904,0.2098868191242218,0.24921295046806335,0.22296732664108276,0.41474202275276184,0.3129976987838745,0.2124512493610382
churches,0.17877253890037537,0.20715926587581635,0.2626241147518158,0.23727095127105713,0.23672159016132355,0.10238692164421082,0.29080384969711304,0.26657789945602417,0.2286885380744934,0.25526106357574463,0.2825169265270233,1.0000001192092896,0.19824735820293427
preserve,0.2267998605966568,0.24336281418800354,0.2541806697845459,0.22083020210266113,0.289324015378952,0.13909275829792023,0.2157810926437378,0.09924599528312683,0.19018863141536713,0.8188568949699402,0.20627503097057343,0.2169385403394699,0.11936275660991669
sculptured,0.11438897252082825,0.18138179183006287,0.23270542919635773,0.22353927791118622,0.20040814578533173,0.13059116899967194,0.27546027302742004,0.19283121824264526,0.45351526141166687,0.23966771364212036,0.2383309155702591,0.30736875534057617,0.14395657181739807
fonts,0.23869182169437408,0.1982227861881256,0.19380462169647217,0.2331661581993103,0.07867484539747238,0.23279398679733276,0.13998644053936005,0.21468138694763184,0.16332927346229553,0.1688130795955658,0.14011476933956146,0.23562872409820557,0.21324622631072998
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.3452564477920532,0.1804078221321106,0.4946078956127167,0.20281735062599182,0.2700960636138916,0.18864409625530243,0.5201468467712402,0.247207909822464,0.31091248989105225
capitals,0.16945064067840576,0.2064724862575531,0.29568925499916077,0.21640416979789734,0.24599023163318634,0.12646770477294922,0.2499065101146698,0.09261591732501984,0.2134237438440323,0.15881140530109406,0.2831413745880127,0.25294867157936096,0.11594223231077194
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.3452564477920532,0.1804078221321106,0.4946078956127167,0.20281735062599182,0.2700960636138916,0.18864409625530243,0.5201468467712402,0.247207909822464,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.4309377074241638,0.37549954652786255,0.16898801922798157,0.5116966962814331,0.21611377596855164,0.2631918787956238,0.19508928060531616,0.4954058527946472,0.27674582600593567,0.20544172823429108
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.5395737886428833,0.2766265273094177,0.2277899980545044,0.30478984117507935,0.12227179110050201,0.2212761491537094,0.20517291128635406,0.32563260197639465,0.21994681656360626,0.27894994616508484
importantly,0.4460563659667969,0.287064790725708,0.3519415259361267,0.500358521938324,0.6970561742782593,0.1788305789232254,0.33795449137687683,0.09469891339540482,0.16229534149169922,0.2744563817977905,0.29223984479904175,0.2276207059621811,0.30639904737472534
mosaics,0.20085205137729645,0.19759932160377502,0.24666766822338104,0.29050418734550476,0.22978068888187408,0.14558281004428864,0.2979480028152466,0.12896132469177246,0.284683495759964,0.2111331969499588,0.19631941616535187,0.4551211893558502,0.14857923984527588
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.3452564477920532,0.1804078221321106,0.4946078956127167,0.20281735062599182,0.2700960636138916,0.18864409625530243,0.5201468467712402,0.247207909822464,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.4637843072414398,0.37798872590065,0.31462597846984863,0.5011631846427917,0.1315736174583435,0.19862167537212372,0.2284197360277176,0.4840516746044159,0.2452508509159088,0.25814583897590637
