,who,won,the,elections,in,1992,and,1997,?
in,0.2792111933231354,0.3280489146709442,0.6662389636039734,0.2604275643825531,1.0,0.0684703141450882,0.4954058527946472,-0.06112837791442871,0.20430970191955566
democratic,0.1775825470685959,0.20435358583927155,0.21570740640163422,0.49014222621917725,0.206755131483078,0.1887928992509842,0.20003819465637207,-0.008954462595283985,0.1668088138103485
",",0.3365725874900818,0.35968565940856934,0.4933079481124878,0.2606843113899231,0.5201468467712402,0.14831048250198364,0.6633074283599854,-0.004601470194756985,0.31091248989105225
multiparty,0.15151812136173248,0.1931639462709427,0.179558664560318,0.500731885433197,0.15644799172878265,-0.006185010075569153,0.2218426913022995,-0.1263374388217926,0.11646856367588043
elections,0.25705838203430176,0.3165067136287689,0.23646192252635956,1.0,0.2604275643825531,0.2631603181362152,0.21463163197040558,0.016694646328687668,0.2319818139076233
in,0.2792111933231354,0.3280489146709442,0.6662389636039734,0.2604275643825531,1.0,0.0684703141450882,0.4954058527946472,-0.06112837791442871,0.20430970191955566
1992,0.19208352267742157,0.12371009588241577,0.12138951569795609,0.2631603181362152,0.0684703141450882,1.0,0.049611207097768784,0.5165735483169556,0.11522171646356583
and,0.41279885172843933,0.2795773446559906,0.5171257257461548,0.21463163197040558,0.4954058527946472,0.049611207097768784,1.0,-0.002998257288709283,0.20544172823429108
1997,0.08716046810150146,-0.08326835930347443,0.017451778054237366,0.016694646328687668,-0.06112837791442871,0.5165735483169556,-0.002998257288709283,1.0,0.03663474693894386
",",0.3365725874900818,0.35968565940856934,0.4933079481124878,0.2606843113899231,0.5201468467712402,0.14831048250198364,0.6633074283599854,-0.004601470194756985,0.31091248989105225
daniel,0.2651176154613495,0.23359371721744537,0.16781723499298096,0.10621416568756104,0.1751832365989685,-0.04579874500632286,0.19461344182491302,-0.0591280497610569,0.1540297418832779
arap,0.2268308401107788,0.1729043573141098,0.23948408663272858,0.08375164866447449,0.17165014147758484,0.08706144243478775,0.2109629064798355,-0.0641644224524498,0.2511226236820221
moi,0.11919952183961868,0.12342020124197006,0.13758288323879242,0.14468811452388763,0.16492493450641632,0.07194846868515015,0.17930831015110016,-0.03766674920916557,0.2038497030735016
won,0.24654650688171387,1.0000001192092896,0.29432493448257446,0.3165067136287689,0.3280489146709442,0.12371009588241577,0.2795773446559906,-0.08326835930347443,0.17925700545310974
re-election,0.2244075983762741,0.3397393822669983,0.28269073367118835,0.8424496054649353,0.27892014384269714,0.1412794440984726,0.22755300998687744,-0.040002018213272095,0.2795447111129761
.,0.3541337847709656,0.3011801838874817,0.5934505462646484,0.27339601516723633,0.5591574311256409,0.0746634230017662,0.588965117931366,0.02042813040316105,0.4130953550338745
