,what,was,tesla,",",brown,and,peck,'s,new,company,?
together,0.22179445624351501,0.14391832053661346,0.2026316523551941,0.2912277579307556,0.13191020488739014,0.37008100748062134,0.10944601148366928,0.06855551898479462,0.21075569093227386,0.1862488090991974,0.1690303236246109
in,0.30808621644973755,0.45514053106307983,0.17097744345664978,0.5201468467712402,0.20236437022686005,0.4954058527946472,0.2105751633644104,-0.037580832839012146,0.3758552670478821,0.22141718864440918,0.20430970191955566
april,0.21502700448036194,0.42695382237434387,0.1302996277809143,0.4403347671031952,0.13192817568778992,0.26820316910743713,0.1696496307849884,-0.05799118056893349,0.24175630509853363,0.20497600734233856,0.25704094767570496
1887,0.05784531682729721,0.035787295550107956,-0.08320944011211395,-0.021346144378185272,-0.060727667063474655,-0.034874267876148224,0.011268955655395985,-0.003894910914823413,-0.012977074831724167,-0.09448292851448059,-0.017046842724084854
they,0.4431931674480438,0.3300964832305908,0.1470530778169632,0.390799880027771,0.28851383924484253,0.5073080658912659,0.19478030502796173,0.03738465905189514,0.2588704824447632,0.23680368065834045,0.2753053903579712
formed,0.15451857447624207,0.3009849190711975,0.0982590988278389,0.2636634409427643,0.1544269621372223,0.27619341015815735,0.014248323626816273,0.08651898056268692,0.18156881630420685,0.1684102863073349,0.09686966985464096
the,0.42745697498321533,0.48711544275283813,0.1324402391910553,0.4933079481124878,0.2198052853345871,0.5171257257461548,0.2147165983915329,-0.01540423184633255,0.3845241069793701,0.26591673493385315,0.22068053483963013
tesla,0.23221199214458466,0.16455206274986267,0.9999999403953552,0.20599327981472015,0.07134627550840378,0.19560420513153076,0.09895811975002289,0.06449045985937119,0.15999311208724976,0.23045730590820312,0.10250775516033173
electric,0.15451551973819733,0.17723047733306885,0.3824412524700165,0.22981849312782288,0.17166894674301147,0.212884783744812,0.15594559907913208,-0.0115516884252429,0.1046885997056961,0.27608945965766907,0.15674720704555511
company,0.2333769053220749,0.2293137013912201,0.23045730590820312,0.2697763442993164,0.12029571086168289,0.23788511753082275,0.11175356060266495,0.003266559913754463,0.16146139800548553,1.0,0.12195809185504913
