,how,many,weight,rooms,are,in,the,malkin,athletic,center
the,0.33890387415885925,0.4335206151008606,0.19469641149044037,0.18837939202785492,0.40399202704429626,0.6662389636039734,1.0,0.12273337692022324,0.22677098214626312,0.29064592719078064
five-story,0.2299189418554306,0.3399406969547272,0.19838479161262512,0.19902929663658142,0.2969995141029358,0.38604602217674255,0.4401179552078247,0.19170251488685608,0.2114025056362152,0.2382287085056305
building,0.19448791444301605,0.23676979541778564,0.15955613553524017,0.3529648184776306,0.1904018670320511,0.3256937265396118,0.3159640431404114,0.10904045403003693,0.169498473405838,0.27127861976623535
includes,0.14845652878284454,0.2885901629924774,0.12035425752401352,0.16189080476760864,0.4409101605415344,0.32460328936576843,0.3388250470161438,0.15962980687618256,0.12250301986932755,0.149657741189003
two,0.2499001920223236,0.5147606730461121,0.1523076295852661,0.26599225401878357,0.46276170015335083,0.36463531851768494,0.43858039379119873,0.21313859522342682,0.16468316316604614,0.09610814601182938
cardio,0.15621627867221832,0.14332285523414612,0.21430058777332306,0.138506218791008,0.11484330892562866,0.15735210478305817,0.15615378320217133,0.19207969307899475,0.19287709891796112,0.18561892211437225
rooms,0.20410694181919098,0.3045656681060791,0.14085403084754944,1.0,0.29404306411743164,0.1868988424539566,0.18837939202785492,0.13801781833171844,0.18766134977340698,0.17211197316646576
",",0.22659391164779663,0.40610817074775696,0.13127365708351135,0.1444050520658493,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.23169632256031036,0.17644093930721283,0.1905742734670639
an,0.2520636022090912,0.2465583086013794,0.18478786945343018,0.10698450356721878,0.1556541919708252,0.2605783939361572,0.4207492768764496,0.13387183845043182,0.1741659939289093,0.14463786780834198
olympic-size,0.15906290709972382,0.13331985473632812,0.30097413063049316,0.13674241304397583,0.16861514747142792,0.26446041464805603,0.24936148524284363,0.2639298439025879,0.33939480781555176,0.26162946224212646
swimming,0.16620367765426636,0.23992231488227844,0.272939532995224,0.28105708956718445,0.2604342997074127,0.2934267520904541,0.2695217430591583,0.2029329538345337,0.37441855669021606,0.16792695224285126
pool,0.1449427455663681,0.21485689282417297,0.2630217969417572,0.31068435311317444,0.19752001762390137,0.23438572883605957,0.2303488850593567,0.1730516105890274,0.24614502489566803,0.15316623449325562
",",0.22659391164779663,0.40610817074775696,0.13127365708351135,0.1444050520658493,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.23169632256031036,0.17644093930721283,0.1905742734670639
a,0.29312583804130554,0.2872205972671509,0.2418769896030426,0.18207795917987823,0.265255331993103,0.539380669593811,0.5829201340675354,0.1576290875673294,0.20779162645339966,0.2640431225299835
smaller,0.19977930188179016,0.319895476102829,0.24516692757606506,0.16990581154823303,0.39588505029678345,0.2774786055088043,0.3588939607143402,0.03286033496260643,0.07226717472076416,0.19495761394500732
pool,0.1449427455663681,0.21485689282417297,0.2630217969417572,0.31068435311317444,0.19752001762390137,0.23438572883605957,0.2303488850593567,0.1730516105890274,0.24614502489566803,0.15316623449325562
for,0.3308170735836029,0.40972793102264404,0.2062629908323288,0.19412831962108612,0.3895993232727051,0.4322226941585541,0.4739971458911896,0.22928108274936676,0.21462257206439972,0.1980270892381668
