,what,is,the,legal,boundary,behind,the,high,and,upper,rind,?
legally,0.25547662377357483,0.23331668972969055,0.21759270131587982,0.6181230545043945,0.20063559710979462,0.10069598257541656,0.21759270131587982,0.05507771298289299,0.2137410044670105,0.06146353855729103,0.08591173589229584,0.15887223184108734
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.24151813983917236,0.2251134216785431,0.27367478609085083,0.4933079481124878,0.27938312292099,0.6633074283599854,0.22235287725925446,0.2683711051940918,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.25629305839538574,0.3356972932815552,0.38928431272506714,1.0,0.28034812211990356,0.5171257257461548,0.35289278626441956,0.22476089000701904,0.22068053483963013
central,0.17723965644836426,0.273421049118042,0.3417201042175293,0.1691015660762787,0.2839204967021942,0.19678638875484467,0.3417201042175293,0.2748779356479645,0.2465941160917282,0.2499648481607437,0.08841170370578766,0.14787602424621582
bridge,0.16739098727703094,0.1899378001689911,0.27692803740501404,0.15395091474056244,0.22741404175758362,0.1842472106218338,0.27692803740501404,0.1671707183122635,0.22415432333946228,0.16608691215515137,0.11458172649145126,0.1396101862192154
is,0.28837618231773376,1.0,0.5823672413825989,0.20037926733493805,0.23768730461597443,0.24618369340896606,0.5823672413825989,0.2383800595998764,0.3859752118587494,0.2177516371011734,0.23316124081611633,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.25629305839538574,0.3356972932815552,0.38928431272506714,1.0,0.28034812211990356,0.5171257257461548,0.35289278626441956,0.22476089000701904,0.22068053483963013
boundary,0.26910632848739624,0.23768730461597443,0.3356972932815552,0.16745194792747498,1.0,0.09808048605918884,0.3356972932815552,0.22491337358951569,0.24556493759155273,0.32526272535324097,0.0926782488822937,0.0720028504729271
between,0.2462156116962433,0.26809602975845337,0.39067012071609497,0.23243695497512817,0.4219370484352112,0.17313112318515778,0.39067012071609497,0.16367632150650024,0.40645647048950195,0.2323344200849533,0.11685916781425476,0.12887074053287506
high,0.20466077327728271,0.2383800595998764,0.28034812211990356,0.053595516830682755,0.22491337358951569,0.1882602721452713,0.28034812211990356,1.0,0.2911888659000397,0.21056875586509705,0.10874846577644348,0.11137914657592773
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2664804756641388,0.24556493759155273,0.3094099164009094,0.5171257257461548,0.2911888659000397,1.0,0.2172592729330063,0.18940739333629608,0.20544172823429108
upper,0.1592642068862915,0.2177516371011734,0.35289278626441956,0.08423463255167007,0.32526272535324097,0.17403340339660645,0.35289278626441956,0.21056875586509705,0.2172592729330063,1.0000001192092896,0.23028112947940826,0.051342256367206573
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.12988412380218506,0.24294309318065643,0.13246093690395355,0.30735138058662415,0.11970903724431992,0.22029656171798706,0.27324220538139343,0.22738534212112427,0.13754533231258392
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24492493271827698,0.1972806751728058,0.24024903774261475,0.5934505462646484,0.24301011860370636,0.588965117931366,0.23727275431156158,0.2716543972492218,0.4130953550338745
