,what,is,the,frequency,of,the,radio,station,wbt,in,north,carolina,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.17656390368938446,0.5696388483047485,0.6662389636039734,0.22625693678855896,0.21784305572509766,0.2740623652935028,1.0,0.39050599932670593,0.2380082756280899,0.20430970191955566
north,0.18673177063465118,0.2993389368057251,0.36298373341560364,0.07292014360427856,0.3604778051376343,0.36298373341560364,0.1604752391576767,0.2489755004644394,0.21627266705036163,0.39050599932670593,1.0,0.5512722134590149,0.11829731613397598
carolina,0.1956660896539688,0.13908782601356506,0.24749229848384857,0.09919425845146179,0.26946863532066345,0.24749229848384857,0.1403452306985855,0.12001890689134598,0.1934514343738556,0.2380082756280899,0.5512722134590149,1.0000001192092896,0.11847445368766785
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.17658227682113647,0.4946078956127167,0.4933079481124878,0.25251123309135437,0.2482491284608841,0.25588202476501465,0.5201468467712402,0.31834840774536133,0.2566046118736267,0.31091248989105225
wbt,0.21782539784908295,0.19580474495887756,0.2713833153247833,0.3405282199382782,0.21217624843120575,0.2713833153247833,0.2884120047092438,0.3063029646873474,1.0,0.2740623652935028,0.21627266705036163,0.1934514343738556,0.22194723784923553
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.1649516522884369,0.35032153129577637,0.33289089798927307,0.22948305308818817,0.15589678287506104,0.2592405676841736,0.3087427020072937,0.20408999919891357,0.18443597853183746,0.40561532974243164
1110,0.07657966762781143,0.13171163201332092,0.16341263055801392,-0.07601621001958847,0.15658318996429443,0.16341263055801392,-0.012954803183674812,-0.07073354721069336,0.01545555330812931,0.17023834586143494,0.22649839520454407,0.13090220093727112,-0.019919075071811676
am,0.25965139269828796,0.2976684868335724,0.18601742386817932,0.21075581014156342,0.1489860564470291,0.18601742386817932,0.2271493375301361,0.16691645979881287,0.2515702247619629,0.16754312813282013,0.1735469549894333,0.10490423440933228,0.3437723219394684
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.14502926170825958,0.3680361211299896,0.3456730246543884,0.21417279541492462,0.16818374395370483,0.2609167993068695,0.3326910734176636,0.19693730771541595,0.184937983751297,0.42300865054130554
will,0.3510494530200958,0.3723262846469879,0.3635469079017639,0.2946125864982605,0.2473582625389099,0.3635469079017639,0.14596246182918549,0.1797148883342743,0.24551160633563995,0.2580665349960327,0.18236760795116425,0.13945123553276062,0.35046905279159546
carry,0.22239743173122406,0.1959557831287384,0.26752355694770813,0.2403077930212021,0.23692575097084045,0.26752355694770813,0.18107746541500092,0.21776524186134338,0.24990710616111755,0.19860897958278656,0.13809938728809357,0.08378174155950546,0.17171701788902283
