,what,did,the,ipcc,say,was,mistaken,?
the,0.42745697498321533,0.34736719727516174,1.0,0.24925659596920013,0.3200206458568573,0.48711544275283813,0.32743629813194275,0.22068053483963013
ipcc,0.33176189661026,0.2459706962108612,0.24925659596920013,1.0000001192092896,0.29427143931388855,0.16744299232959747,0.12480580061674118,0.22295254468917847
has,0.20338068902492523,0.2124989777803421,0.4177538752555847,0.2192763090133667,0.25303637981414795,0.40313825011253357,0.2644820809364319,0.15994466841220856
since,0.29783400893211365,0.27613121271133423,0.4054957628250122,0.22629745304584503,0.28568893671035767,0.4384658932685852,0.24739785492420197,0.2876587212085724
acknowledged,0.27519023418426514,0.31669801473617554,0.24316465854644775,0.23069408535957336,0.3436989486217499,0.25694337487220764,0.3321213126182556,0.20185135304927826
that,0.6297725439071655,0.47518548369407654,0.5473989248275757,0.3323146402835846,0.5852095484733582,0.33670201897621155,0.43905094265937805,0.32716336846351624
the,0.42745697498321533,0.34736719727516174,1.0,0.24925659596920013,0.3200206458568573,0.48711544275283813,0.32743629813194275,0.22068053483963013
date,0.20141606032848358,0.1875259429216385,0.25333094596862793,0.1701911985874176,0.24842387437820435,0.23531168699264526,0.2059372514486313,0.2698357403278351
is,0.28837618231773376,0.19247472286224365,0.5823672413825989,0.15563958883285522,0.3160853683948517,0.5810302495956421,0.31520307064056396,0.22961433231830597
incorrect,0.3266083896160126,0.24381010234355927,0.24691730737686157,0.20023569464683533,0.30194926261901855,0.20237639546394348,0.42388468980789185,0.2735669016838074
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.15590040385723114,0.35129812359809875,0.45456063747406006,0.2967480719089508,0.31091248989105225
while,0.35511791706085205,0.3330625295639038,0.39804592728614807,0.17934004962444305,0.33566465973854065,0.3253832161426544,0.2639579772949219,0.21076419949531555
reaffirming,0.3089589476585388,0.30870380997657776,0.36716654896736145,0.2544149160385132,0.31670427322387695,0.33707404136657715,0.23988856375217438,0.23267845809459686
that,0.6297725439071655,0.47518548369407654,0.5473989248275757,0.3323146402835846,0.5852095484733582,0.33670201897621155,0.43905094265937805,0.32716336846351624
the,0.42745697498321533,0.34736719727516174,1.0,0.24925659596920013,0.3200206458568573,0.48711544275283813,0.32743629813194275,0.22068053483963013
conclusion,0.3924311697483063,0.3019193112850189,0.25632116198539734,0.30505114793777466,0.37480729818344116,0.19978472590446472,0.35010915994644165,0.23632600903511047
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.1257958561182022,0.26482993364334106,0.45514053106307983,0.238479346036911,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,1.0,0.24925659596920013,0.3200206458568573,0.48711544275283813,0.32743629813194275,0.22068053483963013
final,0.20972409844398499,0.24226084351539612,0.3543182611465454,0.19649305939674377,0.15260401368141174,0.23547481000423431,0.12082518637180328,0.17315025627613068
summary,0.3055417239665985,0.26932328939437866,0.18884122371673584,0.36639919877052307,0.28117695450782776,0.1621636003255844,0.20267681777477264,0.35667136311531067
was,0.22111038863658905,0.41399896144866943,0.48711544275283813,0.16744299232959747,0.24911612272262573,1.0000001192092896,0.23741020262241364,0.18412111699581146
robust,0.22174480557441711,0.18279816210269928,0.2403082698583603,0.2574290931224823,0.19290757179260254,0.16964194178581238,0.261650413274765,0.19756269454956055
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.20098818838596344,0.33481550216674805,0.40146201848983765,0.282040536403656,0.4130953550338745
