,who,demonstrated,that,p=,np,implies,problems,not,present,in,p,or,np-complete,?
it,0.2868398427963257,0.20434096455574036,0.5921133160591125,0.0836070105433464,0.1906801462173462,0.2363612800836563,0.23306451737880707,0.4651523232460022,0.20883789658546448,0.5130809545516968,0.14431746304035187,0.36389440298080444,0.2290360927581787,0.25732165575027466
was,0.3318818509578705,0.21351228654384613,0.33670201897621155,-0.23072439432144165,0.07950752228498459,0.18933002650737762,0.1851695030927658,0.2888734042644501,0.1278916448354721,0.45514053106307983,0.1410508155822754,0.2330796718597412,0.13932429254055023,0.18412111699581146
shown,0.16586925089359283,0.357815146446228,0.3633551597595215,0.11075852811336517,0.21758389472961426,0.24681226909160614,0.16166262328624725,0.31383776664733887,0.2208462804555893,0.2988935708999634,0.09382953494787216,0.2729446589946747,0.2681487500667572,0.2433658242225647
by,0.39727845788002014,0.2468349188566208,0.37496164441108704,-0.0879339650273323,0.029118457809090614,0.1967759132385254,0.20223401486873627,0.291808545589447,0.15190309286117554,0.370934396982193,0.06021369248628616,0.30274316668510437,0.1839500069618225,0.17966607213020325
ladner,0.2834092080593109,0.08823151886463165,0.18965047597885132,-0.22556471824645996,0.10375536978244781,0.09920740872621536,0.14689747989177704,0.098517507314682,0.16769957542419434,0.2926381230354309,0.1427629292011261,0.13225330412387848,0.1437888741493225,0.10764304548501968
that,0.45444270968437195,0.34508994221687317,1.0,0.16412970423698425,0.2149038165807724,0.4052758514881134,0.3758413791656494,0.6600887179374695,0.25174012780189514,0.435920387506485,0.15546166896820068,0.4729836881160736,0.316537469625473,0.32716336846351624
if,0.3758285641670227,0.18223215639591217,0.5634250640869141,0.24128523468971252,0.30719754099845886,0.39972373843193054,0.3437747657299042,0.6100378632545471,0.18537397682666779,0.2589588761329651,0.17701710760593414,0.508355975151062,0.31617626547813416,0.4441644251346588
p,0.06693083047866821,0.12919646501541138,0.15546166896820068,0.01302451640367508,0.24241971969604492,0.1854875087738037,0.1230422630906105,0.18450647592544556,0.09968619048595428,0.10853569954633713,1.0,0.1296345591545105,0.20340189337730408,0.20840544998645782
≠,0.1416683793067932,0.20838522911071777,0.24142582714557648,0.10531244426965714,0.2717411518096924,0.20859098434448242,0.22378559410572052,0.23575910925865173,0.09251479059457779,0.23036403954029083,0.1638897806406021,0.1958107352256775,0.17608174681663513,0.22425468266010284
np,0.09922105818986893,0.2026394009590149,0.2149038165807724,0.12352515012025833,1.0,0.2401258796453476,0.3503378927707672,0.2639980912208557,0.10105913877487183,0.15881246328353882,0.24241971969604492,0.13817405700683594,0.32307320833206177,0.25319206714630127
then,0.29952746629714966,0.2132362723350525,0.455153226852417,0.06458806246519089,0.16720212996006012,0.23100948333740234,0.23982973396778107,0.4044761657714844,0.2546273469924927,0.36253848671913147,0.21893106400966644,0.3243606984615326,0.2559524178504944,0.2884598970413208
there,0.2844357192516327,0.28819695115089417,0.6006520986557007,0.01812446303665638,0.27156734466552734,0.2923467755317688,0.3197254538536072,0.43214359879493713,0.22687895596027374,0.5361666083335876,0.08984465152025223,0.4594070315361023,0.254207581281662,0.29405656456947327
exist,0.16464778780937195,0.2532678544521332,0.42369726300239563,0.15185503661632538,0.33724331855773926,0.4021263122558594,0.2678762674331665,0.4296533465385437,0.18985097110271454,0.2361043095588684,0.09761619567871094,0.3274376392364502,0.23047158122062683,0.28923845291137695
problems,0.25277501344680786,0.23666197061538696,0.3758413791656494,0.1447855532169342,0.3503378927707672,0.2454814314842224,1.0,0.3441416919231415,0.1049773097038269,0.21061907708644867,0.1230422630906105,0.24577723443508148,0.21938736736774445,0.2638136148452759
in,0.2792111933231354,0.24005702137947083,0.435920387506485,-0.06531235575675964,0.15881246328353882,0.1738758087158203,0.21061907708644867,0.3403114080429077,0.23905439674854279,1.0,0.10853569954633713,0.3586423695087433,0.22477759420871735,0.20430970191955566
np,0.09922105818986893,0.2026394009590149,0.2149038165807724,0.12352515012025833,1.0,0.2401258796453476,0.3503378927707672,0.2639980912208557,0.10105913877487183,0.15881246328353882,0.24241971969604492,0.13817405700683594,0.32307320833206177,0.25319206714630127
that,0.45444270968437195,0.34508994221687317,1.0,0.16412970423698425,0.2149038165807724,0.4052758514881134,0.3758413791656494,0.6600887179374695,0.25174012780189514,0.435920387506485,0.15546166896820068,0.4729836881160736,0.316537469625473,0.32716336846351624
are,0.27294138073921204,0.19325114786624908,0.45265161991119385,0.08229287713766098,0.22153069078922272,0.3301154375076294,0.2565869987010956,0.46186959743499756,0.20985287427902222,0.3841303884983063,0.0965256616473198,0.5374364256858826,0.19186051189899445,0.24591213464736938
