,how,many,acres,does,the,v,&,a,cover,?
the,0.33890387415885925,0.4335206151008606,0.1636062115430832,0.35928019881248474,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.26727065443992615,0.22068053483963013
v,0.15972670912742615,0.09144165366888046,0.0880667045712471,0.14563694596290588,0.18580520153045654,1.0,0.10860954970121384,0.21861357986927032,0.1238294243812561,0.28677162528038025
&,0.1377509981393814,0.12268554419279099,0.1080031543970108,0.13294216990470886,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.1769220381975174,0.12596383690834045
a,0.29312583804130554,0.2872205972671509,0.18753887712955475,0.38201746344566345,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.23858952522277832,0.23916715383529663
covers,0.0757373496890068,0.2542455792427063,0.4055911898612976,0.2591313123703003,0.326327383518219,0.08359728753566742,0.13655826449394226,0.28468799591064453,0.681187629699707,0.1432708352804184
12.5,0.09130167216062546,0.10726990550756454,0.009551559574902058,0.047798387706279755,0.12265538424253464,0.09454109519720078,0.022786272689700127,0.20046696066856384,0.1062466949224472,0.04177335277199745
acres,0.1119794100522995,0.20931728184223175,1.0000001192092896,0.11314215511083603,0.1636062115430832,0.0880667045712471,0.1080031543970108,0.18753887712955475,0.24675753712654114,0.15370787680149078
(,0.1676948219537735,0.1455259770154953,0.16313061118125916,0.2728188931941986,0.33289089798927307,0.2043849378824234,0.21434709429740906,0.3206180930137634,0.18309444189071655,0.40561532974243164
"51,000",-0.12676572799682617,0.0021608651150017977,0.04117242619395256,-0.05008802190423012,0.04159080609679222,0.03712558373808861,0.0796729326248169,0.01683649979531765,0.06137806177139282,-0.07715451717376709
m2,0.01911616139113903,-0.06821073591709137,0.03964526951313019,0.03845062851905823,-0.011643829755485058,0.05426505580544472,0.03416689857840538,-0.007575030904263258,-0.01831206865608692,0.0007930725696496665
),0.17939934134483337,0.16602720320224762,0.17851896584033966,0.2575884759426117,0.3456730246543884,0.20857036113739014,0.1975884586572647,0.3640355169773102,0.16961535811424255,0.42300865054130554
and,0.33647966384887695,0.5296266674995422,0.25630319118499756,0.3461615741252899,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.27793973684310913,0.20544172823429108
145,0.010032881051301956,-0.01384157408028841,0.08016292750835419,0.00470059085637331,-0.031512197107076645,-0.07082033157348633,0.07759074121713638,-8.368545240955427e-05,-0.022716637700796127,-0.0949564129114151
galleries,0.1707666516304016,0.3424515426158905,0.3342055380344391,0.17347003519535065,0.27603694796562195,0.17544934153556824,0.18190616369247437,0.16555815935134888,0.20162582397460938,0.1957392692565918
.,0.3287222981452942,0.3974229395389557,0.20271193981170654,0.3022993505001068,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.22325164079666138,0.4130953550338745
