,where,does,centripetal,force,go,?
this,0.4012809097766876,0.4166489243507385,0.3866638243198395,0.2764977812767029,0.3145105242729187,0.3155723512172699
means,0.26917776465415955,0.3901011645793915,0.31074318289756775,0.19849766790866852,0.2112552523612976,0.21233566105365753
that,0.4876193106174469,0.4764937460422516,0.3923637568950653,0.26810982823371887,0.337613970041275,0.32716336846351624
the,0.5003893971443176,0.35928019881248474,0.35462766885757446,0.2800885736942291,0.29801803827285767,0.22068053483963013
unbalanced,0.2882523536682129,0.3394327461719513,0.403522789478302,0.36507895588874817,0.2475968450307846,0.32915836572647095
centripetal,0.29761138558387756,0.3142562210559845,1.0,0.4636375606060028,0.2697501480579376,0.16282214224338531
force,0.18261179327964783,0.21141281723976135,0.4636375606060028,1.0000001192092896,0.1498328596353531,0.1650998443365097
felt,0.19147881865501404,0.19627857208251953,0.17146317660808563,0.23138555884361267,0.16580738127231598,0.17489777505397797
by,0.2641284465789795,0.143477201461792,0.1987251341342926,0.24997374415397644,0.1252865046262741,0.17966607213020325
any,0.3528640866279602,0.5203019976615906,0.3224838972091675,0.2569030225276947,0.24507856369018555,0.4113408327102661
object,0.2532142102718353,0.23909734189510345,0.46063539385795593,0.32587239146232605,0.16704991459846497,0.19573666155338287
is,0.3586711287498474,0.4403602182865143,0.3445742428302765,0.22036980092525482,0.19626101851463318,0.22961433231830597
always,0.395426481962204,0.39540526270866394,0.2839220464229584,0.1581536829471588,0.2746768295764923,0.26136693358421326
directed,0.18303066492080688,0.0853860080242157,0.13575272262096405,0.16409249603748322,0.14180786907672882,0.1359327733516693
toward,0.3392593264579773,0.1712215095758438,0.37563613057136536,0.2225111573934555,0.23765316605567932,0.09989774227142334
the,0.5003893971443176,0.35928019881248474,0.35462766885757446,0.2800885736942291,0.29801803827285767,0.22068053483963013
center,0.2405661791563034,0.1333722323179245,0.3889584541320801,0.16836872696876526,0.16181035339832306,0.12538520991802216
of,0.38066378235816956,0.3119818866252899,0.31895577907562256,0.27094775438308716,0.21881330013275146,0.1826142966747284
the,0.5003893971443176,0.35928019881248474,0.35462766885757446,0.2800885736942291,0.29801803827285767,0.22068053483963013
curving,0.23405632376670837,0.2058667242527008,0.4854714572429657,0.1982126235961914,0.1719827950000763,0.16050224006175995
path,0.2748805284500122,0.15970627963542938,0.37280115485191345,0.14555533230304718,0.2518954873085022,0.12429215013980865
.,0.41390106081962585,0.3022993505001068,0.2798515856266022,0.2783275842666626,0.3313661813735962,0.4130953550338745
