,what,did,tesla,claim,to,be,able,to,transmit,?
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.16881313920021057,0.45010748505592346,0.3481820821762085,0.23456627130508423,0.45010748505592346,0.14338745176792145,0.20430970191955566
1935,0.03426429256796837,-0.09156817942857742,-0.012455509044229984,-0.0012932192767038941,0.05752921104431152,-0.013213926926255226,0.082614004611969,0.05752921104431152,0.01882597804069519,0.11409125477075577
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.2664267122745514,0.44245919585227966,0.39254459738731384,0.28725793957710266,0.44245919585227966,0.17895877361297607,0.31091248989105225
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.16881313920021057,0.45010748505592346,0.3481820821762085,0.23456627130508423,0.45010748505592346,0.14338745176792145,0.20430970191955566
an,0.2821882665157318,0.22598257660865784,0.13714656233787537,0.1815912276506424,0.3138085603713989,0.33041056990623474,0.20519967377185822,0.3138085603713989,0.18195407092571259,0.19793890416622162
annual,0.14798973500728607,0.13183704018592834,0.1235974058508873,0.06841485947370529,0.2023409903049469,0.1261848360300064,0.15970349311828613,0.2023409903049469,0.14250874519348145,0.1083487942814827
birthday,0.21950648725032806,0.2158898115158081,0.15068478882312775,0.10691158473491669,0.19613051414489746,0.16428391635417938,0.05727267637848854,0.19613051414489746,0.1000271663069725,0.22143252193927765
celebration,0.20844492316246033,0.17503295838832855,0.15319505333900452,0.1299685388803482,0.2563056945800781,0.1510917842388153,0.1288902908563614,0.2563056945800781,0.10776393115520477,0.1872778683900833
interview,0.17965836822986603,0.24580758810043335,0.09863823652267456,0.14025834202766418,0.13382475078105927,0.1067219153046608,0.1592593640089035,0.13382475078105927,0.13996444642543793,0.21284115314483643
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.2664267122745514,0.44245919585227966,0.39254459738731384,0.28725793957710266,0.44245919585227966,0.17895877361297607,0.31091248989105225
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.14329524338245392,0.17548894882202148,0.15180771052837372,0.13654674589633942,0.17548894882202148,0.2192133665084839,0.10250775516033173
announced,0.09249057620763779,0.2690480351448059,0.15138158202171326,0.23073650896549225,0.20247882604599,0.18421369791030884,0.26044198870658875,0.20247882604599,0.03170624002814293,0.17416009306907654
a,0.3320399522781372,0.2552328109741211,0.2211925983428955,0.19074557721614838,0.45503583550453186,0.39883795380592346,0.2874686121940613,0.45503583550453186,0.23485954105854034,0.23916715383529663
method,0.25476205348968506,0.21537424623966217,0.267039030790329,0.20876219868659973,0.2593044936656952,0.22966717183589935,0.21648122370243073,0.2593044936656952,0.2787690758705139,0.2194802314043045
of,0.33290785551071167,0.2513895630836487,0.18837453424930573,0.2833690047264099,0.41548454761505127,0.33904364705085754,0.23883962631225586,0.41548454761505127,0.20769038796424866,0.1826142966747284
transmitting,0.25582337379455566,0.12921853363513947,0.22912690043449402,0.09665720909833908,0.25436335802078247,0.29162707924842834,0.2553529143333435,0.25436335802078247,0.9173588156700134,0.16731256246566772
mechanical,0.22318285703659058,0.13345296680927277,0.399202823638916,0.10869528353214264,0.23466935753822327,0.25370803475379944,0.2038307785987854,0.23466935753822327,0.361816942691803,0.10079140216112137
energy,0.190252885222435,0.14123573899269104,0.28722304105758667,0.13286493718624115,0.27179354429244995,0.2677359879016876,0.2078944891691208,0.27179354429244995,0.2878592610359192,0.14860127866268158
with,0.2464839518070221,0.25472134351730347,0.16424812376499176,0.16929714381694794,0.4239959120750427,0.36101722717285156,0.3051167130470276,0.4239959120750427,0.1936703622341156,0.2433311939239502
minimal,0.28786778450012207,0.26893505454063416,0.2155867964029312,0.27403250336647034,0.3149429261684418,0.29716527462005615,0.25069624185562134,0.3149429261684418,0.134136363863945,0.19599555432796478
loss,0.21803489327430725,0.17676638066768646,0.08645693212747574,0.17420369386672974,0.2457711398601532,0.18728984892368317,0.2783883213996887,0.2457711398601532,0.19139429926872253,0.1312553584575653
over,0.28007611632347107,0.2535076439380646,0.16356024146080017,0.2894458770751953,0.38635820150375366,0.27136483788490295,0.25148165225982666,0.38635820150375366,0.2067428082227707,0.25742942094802856
any,0.43670421838760376,0.37563082575798035,0.10267822444438934,0.34857285022735596,0.46410247683525085,0.5107080936431885,0.37493640184402466,0.46410247683525085,0.2976824939250946,0.4113408327102661
terrestrial,0.13171201944351196,0.08567497134208679,0.10702434182167053,0.18089190125465393,0.1738899201154709,0.22744520008563995,0.2103656679391861,0.1738899201154709,0.29763394594192505,0.09166651964187622
distance,0.18809965252876282,0.11195807158946991,0.19978511333465576,0.07040930539369583,0.26426711678504944,0.22311455011367798,0.21676625311374664,0.26426711678504944,0.2940250039100647,0.05407539755105972
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.2664267122745514,0.44245919585227966,0.39254459738731384,0.28725793957710266,0.44245919585227966,0.17895877361297607,0.31091248989105225
a,0.3320399522781372,0.2552328109741211,0.2211925983428955,0.19074557721614838,0.45503583550453186,0.39883795380592346,0.2874686121940613,0.45503583550453186,0.23485954105854034,0.23916715383529663
related,0.258600115776062,0.20720073580741882,0.11323587596416473,0.18120113015174866,0.2702969014644623,0.24775327742099762,0.16327279806137085,0.2702969014644623,0.22293515503406525,0.17689068615436554
