,what,is,another,way,of,referring,to,stators,?
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3330821096897125,0.5052502155303955,0.2974148690700531,0.45503583550453186,0.11445796489715576,0.23916715383529663
steam,0.15672586858272552,0.13029660284519196,0.18421155214309692,0.2027996927499771,0.20239725708961487,0.12391330301761627,0.22894427180290222,0.24564871191978455,0.113324373960495
turbine,0.1404699683189392,0.20463748276233673,0.18623217940330505,0.16485822200775146,0.17630848288536072,0.11080117523670197,0.23140856623649597,0.26882922649383545,0.16315746307373047
consists,0.11367427557706833,0.43405216932296753,0.1587071269750595,0.23321087658405304,0.41510096192359924,0.25892266631126404,0.18391861021518707,0.11593183875083923,-0.004641483072191477
of,0.33290785551071167,0.4854315221309662,0.38147079944610596,0.266871839761734,1.0,0.273641973733902,0.41548454761505127,0.12798954546451569,0.1826142966747284
one,0.376489520072937,0.4544198513031006,0.5444791913032532,0.3798474967479706,0.4999135136604309,0.28699740767478943,0.4025384783744812,0.253811240196228,0.2673267424106598
or,0.33867141604423523,0.41870999336242676,0.4401204288005829,0.3864600956439972,0.3792596757411957,0.3481976091861725,0.38921234011650085,0.20632028579711914,0.32389625906944275
more,0.3484537899494171,0.2946030795574188,0.4338461756706238,0.40340936183929443,0.30478984117507935,0.30666056275367737,0.47084665298461914,0.22905051708221436,0.27894994616508484
rotors,0.17702068388462067,0.2282179445028305,0.24720969796180725,0.1808934509754181,0.24719494581222534,0.15262696146965027,0.2291257083415985,0.5342518091201782,0.14298434555530548
(,0.2411840260028839,0.35393038392066956,0.2500171959400177,0.19188208878040314,0.35032153129577637,0.20831803977489471,0.30882009863853455,0.08532427251338959,0.40561532974243164
rotating,0.1976575255393982,0.19488193094730377,0.27632495760917664,0.2979658842086792,0.23687800765037537,0.2180144041776657,0.20704303681850433,0.2959558963775635,0.08289054036140442
discs,0.20178590714931488,0.20366539061069489,0.23268423974514008,0.27898430824279785,0.20215998589992523,0.11251003295183182,0.26903924345970154,0.2019074708223343,0.09042835980653763
),0.26259949803352356,0.37732169032096863,0.2743632197380066,0.21187807619571686,0.3680361211299896,0.21680250763893127,0.31236231327056885,0.081612229347229,0.42300865054130554
mounted,0.1395481526851654,0.1747606098651886,0.23881475627422333,0.15121223032474518,0.2373560220003128,0.21282151341438293,0.1498442441225052,0.30377396941185,0.07335436344146729
on,0.34226128458976746,0.3635730445384979,0.2988088130950928,0.2997978627681732,0.3966929316520691,0.21679089963436127,0.41031414270401,0.14315444231033325,0.2714994251728058
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3330821096897125,0.5052502155303955,0.2974148690700531,0.45503583550453186,0.11445796489715576,0.23916715383529663
drive,0.21679377555847168,0.20462195575237274,0.2585357129573822,0.2764122486114502,0.17806991934776306,0.1817074418067932,0.291306734085083,0.2020215094089508,0.11447915434837341
shaft,0.12638844549655914,0.2056579887866974,0.25527822971343994,0.27898234128952026,0.21697306632995605,0.21097888052463531,0.2365434467792511,0.18013896048069,0.15109451115131378
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.2861018478870392,0.4946078956127167,0.3207656145095825,0.44245919585227966,0.16702666878700256,0.31091248989105225
alternating,0.10095972567796707,0.2651365399360657,0.22436004877090454,0.24310803413391113,0.28741198778152466,0.2220911979675293,0.23102223873138428,0.22329813241958618,0.13878576457500458
with,0.2464839518070221,0.3250955045223236,0.359900563955307,0.3546393811702728,0.41827285289764404,0.27267637848854065,0.4239959120750427,0.15468892455101013,0.2433311939239502
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3330821096897125,0.5052502155303955,0.2974148690700531,0.45503583550453186,0.11445796489715576,0.23916715383529663
series,0.17328087985515594,0.20355552434921265,0.1687842309474945,0.1751062273979187,0.22268271446228027,0.09253139793872833,0.19879554212093353,0.12677326798439026,0.1709602326154709
of,0.33290785551071167,0.4854315221309662,0.38147079944610596,0.266871839761734,1.0,0.273641973733902,0.41548454761505127,0.12798954546451569,0.1826142966747284
stators,0.19921216368675232,0.1262323260307312,0.14806132018566132,0.16639746725559235,0.12798954546451569,0.1666262149810791,0.18478496372699738,0.9999998807907104,0.08155762404203415
(,0.2411840260028839,0.35393038392066956,0.2500171959400177,0.19188208878040314,0.35032153129577637,0.20831803977489471,0.30882009863853455,0.08532427251338959,0.40561532974243164
static,0.2510988116264343,0.16519774496555328,0.27259737253189087,0.24559728801250458,0.16022148728370667,0.1773875206708908,0.1822802573442459,0.3169761598110199,0.22167910635471344
discs,0.20178590714931488,0.20366539061069489,0.23268423974514008,0.27898430824279785,0.20215998589992523,0.11251003295183182,0.26903924345970154,0.2019074708223343,0.09042835980653763
),0.26259949803352356,0.37732169032096863,0.2743632197380066,0.21187807619571686,0.3680361211299896,0.21680250763893127,0.31236231327056885,0.081612229347229,0.42300865054130554
fixed,0.255135715007782,0.19544963538646698,0.23000678420066833,0.31691741943359375,0.1495256870985031,0.2570247948169708,0.26378992199897766,0.13874073326587677,0.2728462815284729
to,0.455847829580307,0.42745086550712585,0.48769932985305786,0.4772548973560333,0.41548454761505127,0.31668612360954285,1.0,0.18478496372699738,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.36217406392097473,0.733189046382904,0.2939433753490448,0.535392165184021,0.22477495670318604,0.22068053483963013
turbine,0.1404699683189392,0.20463748276233673,0.18623217940330505,0.16485822200775146,0.17630848288536072,0.11080117523670197,0.23140856623649597,0.26882922649383545,0.16315746307373047
casing,0.16667453944683075,0.27843719720840454,0.33123794198036194,0.27807682752609253,0.2515658438205719,0.27410680055618286,0.27530789375305176,0.23737271130084991,0.184690460562706
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.33520638942718506,0.5352458953857422,0.2618555426597595,0.4645031690597534,0.13298769295215607,0.4130953550338745
