,what,was,the,ideal,duty,of,a,newcomen,engine,?
the,0.42745697498321533,0.48711544275283813,1.0,0.25375595688819885,0.18581759929656982,0.733189046382904,0.5829201340675354,0.2645798325538635,0.21651263535022736,0.22068053483963013
best,0.3036847710609436,0.2817839980125427,0.3134109377861023,0.27166426181793213,0.09653972089290619,0.23660683631896973,0.2547774314880371,0.39011505246162415,0.11381607502698898,0.2799045741558075
examples,0.26665759086608887,0.07216602563858032,0.30092597007751465,0.274074912071228,0.13600464165210724,0.3054686188697815,0.2633219361305237,0.21589547395706177,0.15752263367176056,0.19976599514484406
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2763390839099884,0.19598819315433502,1.0,0.5052502155303955,0.20999403297901154,0.17095594108104706,0.1826142966747284
newcomen,0.2247587889432907,0.1923932433128357,0.2645798325538635,0.2276408076286316,0.1652112454175949,0.20999403297901154,0.24331505596637726,1.0,0.3742743134498596,0.2543369233608246
designs,0.197528675198555,0.22685040533542633,0.2415979504585266,0.2395184487104416,0.14672434329986572,0.2253444343805313,0.22853662073612213,0.19898852705955505,0.393808513879776,0.12927207350730896
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.19948333501815796,0.18355800211429596,0.37755560874938965,0.34897568821907043,0.20665434002876282,0.19878388941287994,0.20728366076946259
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.3391351103782654,0.19311612844467163,0.5052502155303955,1.0,0.24331505596637726,0.24768835306167603,0.23916715383529663
duty,0.2920939326286316,0.21336720883846283,0.18581759929656982,0.19854819774627686,1.0000001192092896,0.19598819315433502,0.19311612844467163,0.1652112454175949,0.1556289941072464,0.20404963195323944
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2763390839099884,0.19598819315433502,1.0,0.5052502155303955,0.20999403297901154,0.17095594108104706,0.1826142966747284
about,0.47976887226104736,0.2577359974384308,0.37995871901512146,0.2065497487783432,0.2079751193523407,0.40939709544181824,0.34171196818351746,0.195895716547966,0.10748759657144547,0.302409827709198
7,-0.1699475795030594,0.002381215337663889,-0.1142377033829689,-0.1421719491481781,-0.025426218286156654,-0.04983885586261749,-0.06565704196691513,-0.14574071764945984,-0.09962837398052216,-0.15092156827449799
million,0.22197039425373077,0.24203833937644958,0.277012437582016,0.03752792626619339,0.17351524531841278,0.21686489880084991,0.1811940222978592,0.18800780177116394,0.1050129309296608,0.23092924058437347
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.18452070653438568,0.21993570029735565,0.4946078956127167,0.427140474319458,0.29110631346702576,0.19789794087409973,0.31091248989105225
but,0.5029441118240356,0.36023372411727905,0.4859698414802551,0.28246843814849854,0.2197469174861908,0.39942997694015503,0.44750767946243286,0.25237640738487244,0.22055119276046753,0.27921953797340393
most,0.3219912350177765,0.29933857917785645,0.47635307908058167,0.23521648347377777,0.17765577137470245,0.4178851246833801,0.3508910834789276,0.26626017689704895,0.19863130152225494,0.2107497900724411
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.162043035030365,0.15432745218276978,0.34038281440734863,0.17203083634376526,0.216685488820076,0.164800226688385,0.17890112102031708
closer,0.2976917326450348,0.20441825687885284,0.3551013469696045,0.28080564737319946,0.10580268502235413,0.2900363504886627,0.25847798585891724,0.10038705915212631,0.09157996624708176,0.13396333158016205
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.29955336451530457,0.2394949495792389,0.41548454761505127,0.45503583550453186,0.28331831097602844,0.20794793963432312,0.29463258385658264
5,0.09269922226667404,-0.020029501989483833,0.09255307912826538,0.060309119522571564,0.030764076858758926,0.1043979674577713,0.07282212376594543,0.06035977602005005,0.13698789477348328,0.06222071498632431
million,0.22197039425373077,0.24203833937644958,0.277012437582016,0.03752792626619339,0.17351524531841278,0.21686489880084991,0.1811940222978592,0.18800780177116394,0.1050129309296608,0.23092924058437347
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.19029678404331207,0.20822225511074066,0.5352458953857422,0.50484299659729,0.2567371726036072,0.21814921498298645,0.4130953550338745
