,what,did,tesla,struggle,with,while,in,school,?
at,0.2838611304759979,0.28390252590179443,0.16552478075027466,0.13155542314052582,0.29126521944999695,0.37809836864471436,0.4374977946281433,0.3177914023399353,0.21978627145290375
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.22927843034267426,0.4223487675189972,0.39804592728614807,0.6662389636039734,0.22953221201896667,0.22068053483963013
end,0.29234179854393005,0.18808481097221375,0.05453544855117798,0.23878519237041473,0.23444485664367676,0.22818423807621002,0.28539085388183594,0.12629225850105286,0.12543344497680664
of,0.33290785551071167,0.2513895630836487,0.18837453424930573,0.25674882531166077,0.41827285289764404,0.3366928696632385,0.5696388483047485,0.2391800880432129,0.1826142966747284
his,0.26976513862609863,0.3546801507472992,0.1580733060836792,0.3421631455421448,0.33836179971694946,0.39785656332969666,0.3598145842552185,0.25444892048835754,0.18075084686279297
second,0.19948028028011322,0.20727969706058502,0.16922037303447723,0.14465001225471497,0.272382527589798,0.29830822348594666,0.34510284662246704,0.13953709602355957,0.17239587008953094
year,0.15184831619262695,0.21422851085662842,0.1455472707748413,0.18263085186481476,0.3220449686050415,0.21592243015766144,0.3359307050704956,0.2321801781654358,0.18315006792545319
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.24116681516170502,0.4120737314224243,0.38232675194740295,0.5201468467712402,0.27141863107681274,0.31091248989105225
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.18975730240345,0.16424812376499176,0.15711884200572968,0.17097744345664978,0.16295383870601654,0.10250775516033173
lost,0.198215052485466,0.30779293179512024,0.0778714269399643,0.28879204392433167,0.18925613164901733,0.2524348795413971,0.3167656362056732,0.09600331634283066,0.15261413156986237
his,0.26976513862609863,0.3546801507472992,0.1580733060836792,0.3421631455421448,0.33836179971694946,0.39785656332969666,0.3598145842552185,0.25444892048835754,0.18075084686279297
scholarship,0.18312285840511322,0.30774229764938354,0.20302057266235352,0.1870221495628357,0.12489696592092514,0.19810454547405243,0.19075782597064972,0.5013362169265747,0.07760601490736008
and,0.31309178471565247,0.34479495882987976,0.19560420513153076,0.25828027725219727,0.5477725267410278,0.45699796080589294,0.4954058527946472,0.2752758264541626,0.20544172823429108
became,0.1434093862771988,0.3632316589355469,0.12976884841918945,0.21924754977226257,0.23679126799106598,0.23956947028636932,0.31047213077545166,0.1926351636648178,0.11374033987522125
addicted,0.22562968730926514,0.27697810530662537,0.12396090477705002,0.2003120481967926,0.25745755434036255,0.317801833152771,0.2189503014087677,0.20313423871994019,0.17540569603443146
to,0.455847829580307,0.4452643394470215,0.17548894882202148,0.2529485523700714,0.4239959120750427,0.43899232149124146,0.45010748505592346,0.24496325850486755,0.29463258385658264
gambling,0.1905541718006134,0.19240503013134003,0.11263155937194824,0.24045518040657043,0.18896827101707458,0.26392385363578796,0.1922660619020462,0.1462230086326599,0.1257122904062271
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.20433098077774048,0.4446153938770294,0.38690751791000366,0.5591574311256409,0.24214158952236176,0.4130953550338745
