,when,is,the,oldest,recorded,incident,of,civil,disobedience,?
the,0.5091903209686279,0.5823672413825989,1.0,0.30836519598960876,0.2759207487106323,0.248931884765625,0.733189046382904,0.2477465271949768,0.30963727831840515,0.22068053483963013
earliest,0.1827615648508072,0.22056961059570312,0.32825469970703125,0.5048152208328247,0.2965225279331207,0.1323617398738861,0.33267632126808167,0.1108841672539711,0.2281191051006317,0.139415442943573
recorded,0.19460174441337585,0.19766312837600708,0.2759207487106323,0.2258784919977188,0.9999998807907104,0.1649942249059677,0.21896186470985413,0.16028788685798645,0.14983052015304565,0.19213420152664185
incidents,0.23224280774593353,0.15513712167739868,0.2520020306110382,0.042834922671318054,0.19365721940994263,0.8078257441520691,0.22766171395778656,0.20756378769874573,0.2842676043510437,0.17067353427410126
of,0.3757161796092987,0.4854315221309662,0.733189046382904,0.33351290225982666,0.21896186470985413,0.1904071718454361,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
collective,0.18696531653404236,0.24028818309307098,0.27278316020965576,0.16315807402133942,0.18063588440418243,0.08518655598163605,0.3373034596443176,0.13898104429244995,0.25562170147895813,0.18214865028858185
civil,0.14899945259094238,0.16941262781620026,0.2477465271949768,0.09821687638759613,0.16028788685798645,0.20461444556713104,0.24698495864868164,1.0,0.5442691445350647,0.1494513899087906
disobedience,0.2761690020561218,0.21453623473644257,0.30963727831840515,0.13601447641849518,0.14983052015304565,0.2853168249130249,0.31932318210601807,0.5442691445350647,1.0,0.19890835881233215
took,0.25529301166534424,0.18076173961162567,0.31657639145851135,0.15326230227947235,0.24314278364181519,0.24749340116977692,0.2766268849372864,0.17563877999782562,0.2132847011089325,0.14109265804290771
place,0.23831914365291595,0.3122972249984741,0.4179787337779999,0.15440501272678375,0.19149792194366455,0.19206051528453827,0.2685627043247223,0.14840812981128693,0.17862099409103394,0.2455766350030899
during,0.46721696853637695,0.2240111529827118,0.4838213622570038,0.136489138007164,0.2836875021457672,0.2727999985218048,0.3869180977344513,0.2953299880027771,0.3262510895729065,0.1325719803571701
the,0.5091903209686279,0.5823672413825989,1.0,0.30836519598960876,0.2759207487106323,0.248931884765625,0.733189046382904,0.2477465271949768,0.30963727831840515,0.22068053483963013
roman,0.1767279952764511,0.16690842807292938,0.2862859070301056,0.19554977118968964,0.12179999053478241,0.031427402049303055,0.31028008460998535,0.2065703272819519,0.23174075782299042,0.1663191318511963
empire,0.18422111868858337,0.18343110382556915,0.32532164454460144,0.0910021960735321,0.11682412028312683,0.09432168304920197,0.30522286891937256,0.21297308802604675,0.20652562379837036,0.14909450709819794
[,0.07002913951873779,-0.06921151280403137,0.07130392640829086,0.019189711660146713,0.23137414455413818,0.20367823541164398,0.010817250236868858,0.03367530554533005,0.021624822169542313,0.011015460826456547
citation,0.19754578173160553,0.20686984062194824,0.2536581754684448,0.12172027677297592,0.09598248451948166,0.16638614237308502,0.22959956526756287,0.1559026539325714,0.261855810880661,0.3382055461406708
needed,0.3670521080493927,0.21605761349201202,0.3064746856689453,0.03843119367957115,0.16745875775814056,0.18777193129062653,0.27215874195098877,0.1810653656721115,0.19774167239665985,0.2863257825374603
],-0.0009315960924141109,-0.02998926118016243,-0.04779602214694023,0.031953878700733185,-0.008209224790334702,-0.00015346118016168475,-0.035044461488723755,-0.029140548780560493,-0.0568564347922802,-0.0022520492784678936
.,0.475719153881073,0.4569662809371948,0.5934505462646484,0.2520267069339752,0.21476124227046967,0.20123827457427979,0.5352458953857422,0.2541380822658539,0.2603943943977356,0.4130953550338745
