,in,what,year,was,the,alan,turing,'s,definitional,model,of,a,computing,device,received,?
most,0.41416558623313904,0.3219912350177765,0.26422736048698425,0.29933857917785645,0.47635307908058167,0.13079926371574402,0.23340554535388947,0.024445664137601852,0.2154015451669693,0.17620712518692017,0.4178851246833801,0.3508910834789276,0.18132716417312622,0.15585936605930328,0.18046130239963531,0.2107497900724411
influential,0.2626776695251465,0.21743842959403992,0.24048969149589539,0.3755773901939392,0.2541041374206543,0.2252376228570938,0.3291088342666626,0.002214092994108796,0.2156180441379547,0.21165579557418823,0.35619789361953735,0.25374096632003784,0.23389528691768646,0.1546134501695633,0.2357734888792038,0.1465693712234497
among,0.3211768567562103,0.21154822409152985,0.16053339838981628,0.23730893433094025,0.3507058024406433,0.12656280398368835,0.25089097023010254,0.01186611782759428,0.1653808206319809,0.17349250614643097,0.3679063022136688,0.1789381206035614,0.17741501331329346,0.08962874114513397,0.19128906726837158,0.14343059062957764
these,0.3791837692260742,0.4164220690727234,0.1818191558122635,0.19784674048423767,0.49086877703666687,0.08200578391551971,0.2506507635116577,0.026068098843097687,0.3249807357788086,0.12957298755645752,0.42684608697891235,0.24380075931549072,0.17976507544517517,0.21825283765792847,0.145788311958313,0.2571668326854706
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.27611038088798523,0.21632471680641174,0.008974763564765453,0.14432615041732788,0.21753697097301483,0.4069072902202606,0.4508470594882965,0.13594935834407806,0.18397735059261322,0.3745744526386261,0.18412111699581146
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.20789864659309387,0.2644472122192383,-0.01540423184633255,0.2630198001861572,0.14028635621070862,0.733189046382904,0.5829201340675354,0.20952925086021423,0.2555081248283386,0.24890556931495667,0.22068053483963013
definition,0.20306213200092316,0.330344021320343,0.15410587191581726,0.1828300952911377,0.23176956176757812,0.1312309205532074,0.2733438014984131,-0.07552970945835114,0.8665927052497864,0.2804017663002014,0.24912455677986145,0.2941339910030365,0.25268587470054626,0.20581194758415222,0.14790648221969604,0.2796523869037628
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.733189046382904,0.13826394081115723,0.2670239806175232,-0.03817026689648628,0.3278511166572571,0.18271391093730927,1.0,0.5052502155303955,0.21062244474887848,0.17168864607810974,0.2628524899482727,0.1826142966747284
turing,0.26572495698928833,0.2806522250175476,0.18190158903598785,0.21632471680641174,0.2644472122192383,0.32425519824028015,1.0000001192092896,-0.01240383367985487,0.2920478582382202,0.20603887736797333,0.2670239806175232,0.25234705209732056,0.4816933572292328,0.31562015414237976,0.26762858033180237,0.1460462063550949
machines,0.2209317833185196,0.25512105226516724,0.1182941198348999,0.18074968457221985,0.22618883848190308,0.21848136186599731,0.4426501989364624,0.03517286106944084,0.23419833183288574,0.2245144546031952,0.18757474422454834,0.21060632169246674,0.375174880027771,0.4225209057331085,0.1311328411102295,0.17646311223506927
by,0.370934396982193,0.2455483376979828,0.28805047273635864,0.4752357602119446,0.4408751428127289,0.18351423740386963,0.21632690727710724,-0.010884488001465797,0.1429033726453781,0.12459231913089752,0.3646814823150635,0.32094135880470276,0.13407030701637268,0.17883841693401337,0.22934994101524353,0.17966607213020325
alan,0.20067796111106873,0.134607195854187,0.13149064779281616,0.27611038088798523,0.20789864659309387,1.0,0.32425519824028015,-0.04278640076518059,0.18040740489959717,0.14262433350086212,0.13826394081115723,0.19186390936374664,0.23373952507972717,0.1542266309261322,0.1387997567653656,0.12765617668628693
