,who,did,the,peasants,think,luther,would,support,an,attack,on,?
luther,0.21013082563877106,0.23667675256729126,0.1759674996137619,0.12856873869895935,0.16532817482948303,1.0,0.14161886274814606,0.09483496099710464,0.10983039438724518,0.14916963875293732,0.19090485572814941,0.1732746809720993
's,0.05599616840481758,0.05069678649306297,-0.01540423184633255,0.060065872967243195,0.015562640503048897,-0.009990512393414974,0.036968596279621124,-0.013377348892390728,0.025255560874938965,-0.03803832456469536,0.0026888418942689896,-0.023395681753754616
pamphlets,0.27226927876472473,0.23580940067768097,0.21724416315555573,0.3944535553455353,0.21584612131118774,0.25356394052505493,0.19647608697414398,0.19397900998592377,0.12198319286108017,0.14484137296676636,0.21273837983608246,0.253634512424469
against,0.2942115366458893,0.22514554858207703,0.3090755045413971,0.25814568996429443,0.23559826612472534,0.18804924190044403,0.25891733169555664,0.3431829810142517,0.17087337374687195,0.31037792563438416,0.3163113296031952,0.18095137178897858
the,0.3733934462070465,0.34736719727516174,1.0,0.29513445496559143,0.3102172613143921,0.1759674996137619,0.4133751392364502,0.22984638810157776,0.4207492768764496,0.2508925497531891,0.5107308030128479,0.22068053483963013
church,0.19418756663799286,0.16781097650527954,0.23846197128295898,0.2922825515270233,0.2019648551940918,0.379041463136673,0.14457671344280243,0.11711443215608597,0.09629998356103897,0.09848137199878693,0.1726921796798706,0.18081501126289368
and,0.41279885172843933,0.34479495882987976,0.5171257257461548,0.25373342633247375,0.30740439891815186,0.20796556770801544,0.34921059012413025,0.25609129667282104,0.2838519215583801,0.24922382831573486,0.4077630043029785,0.20544172823429108
the,0.3733934462070465,0.34736719727516174,1.0,0.29513445496559143,0.3102172613143921,0.1759674996137619,0.4133751392364502,0.22984638810157776,0.4207492768764496,0.2508925497531891,0.5107308030128479,0.22068053483963013
hierarchy,0.23979035019874573,0.16683000326156616,0.22604632377624512,0.23703216016292572,0.2586185038089752,0.12554831802845,0.21593813598155975,0.254838764667511,0.11791865527629852,0.12173204869031906,0.12832099199295044,0.23208312690258026
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.23394730687141418,0.3095206320285797,0.23255878686904907,0.32586824893951416,0.2733234167098999,0.3581022024154663,0.29392024874687195,0.49057599902153015,0.31091248989105225
