,invertebrates,do,not,generate,what,type,of,cells,that,are,a,part,of,the,vertebrate,adaptive,immune,system,?
it,0.22713981568813324,0.337066113948822,0.4651523232460022,0.22625420987606049,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.1893734186887741,0.5921133160591125,0.3617996573448181,0.5452592968940735,0.4648587107658386,0.38761502504348755,0.6251175999641418,0.2138230949640274,0.25221988558769226,0.2599244713783264,0.30691424012184143,0.25732165575027466
is,0.23999978601932526,0.30895981192588806,0.3776007890701294,0.2641996741294861,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.1644774079322815,0.3995479643344879,0.5330929756164551,0.658733606338501,0.4582172930240631,0.4854315221309662,0.5823672413825989,0.1819992959499359,0.22713550925254822,0.2092347890138626,0.2282046526670456,0.22961433231830597
likely,0.24394111335277557,0.3177718222141266,0.4694836735725403,0.32246133685112,0.4101858139038086,0.20120690762996674,0.2704482078552246,0.28806549310684204,0.4531876742839813,0.35167670249938965,0.3132456839084625,0.17682716250419617,0.2704482078552246,0.28129076957702637,0.2460007220506668,0.2644634246826172,0.32547879219055176,0.1847076565027237,0.35971182584762573
that,0.32378721237182617,0.44533252716064453,0.6600887179374695,0.32824862003326416,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.2709589898586273,1.0,0.45265161991119385,0.47537946701049805,0.37747326493263245,0.41498205065727234,0.5473989248275757,0.2634454369544983,0.3158298134803772,0.30237793922424316,0.3088737428188324,0.32716336846351624
a,0.2603893280029297,0.26237669587135315,0.3791346549987793,0.24484781920909882,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2297232300043106,0.47537946701049805,0.265255331993103,1.0,0.3994528353214264,0.5052502155303955,0.5829201340675354,0.2122349739074707,0.24145695567131042,0.20466765761375427,0.2589043080806732,0.23916715383529663
multicomponent,0.46622857451438904,0.22232624888420105,0.2762647867202759,0.4114338457584381,0.19294196367263794,0.361444890499115,0.31459158658981323,0.41677549481391907,0.2799273729324341,0.34971290826797485,0.31775781512260437,0.29740291833877563,0.31459158658981323,0.3264511525630951,0.4064335525035858,0.41684696078300476,0.3606526851654053,0.3929881453514099,0.14699380099773407
",",0.25990021228790283,0.3283645510673523,0.3769696354866028,0.18701888620853424,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20582014322280884,0.4137537479400635,0.4062570035457611,0.427140474319458,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.2152247577905655,0.1528570055961609,0.15102852880954742,0.18439900875091553,0.31091248989105225
adaptive,0.4113718271255493,0.26341262459754944,0.27625635266304016,0.28853532671928406,0.22806508839130402,0.24775080382823944,0.18422213196754456,0.3719173073768616,0.3158298134803772,0.2328222244977951,0.24145695567131042,0.17088234424591064,0.18422213196754456,0.25968632102012634,0.434270977973938,1.0000001192092896,0.4945787191390991,0.31361085176467896,0.12147218734025955
immune,0.38577887415885925,0.2294367402791977,0.28818804025650024,0.2475065290927887,0.2410416603088379,0.21810857951641083,0.16620753705501556,0.5300963521003723,0.30237793922424316,0.23878547549247742,0.20466765761375427,0.165080264210701,0.16620753705501556,0.21364226937294006,0.41769668459892273,0.4945787191390991,1.0,0.3962631821632385,0.16080476343631744
system,0.29848796129226685,0.18447506427764893,0.25763750076293945,0.25341346859931946,0.23557309806346893,0.24706636369228363,0.25597915053367615,0.29856014251708984,0.3088737428188324,0.21917270123958588,0.2589043080806732,0.2814725935459137,0.25597915053367615,0.3233085572719574,0.26970145106315613,0.31361085176467896,0.3962631821632385,1.0000001192092896,0.15556083619594574
