,what,drove,residents,to,quieter,suburban,housing,?
the,0.42745697498321533,0.24859486520290375,0.28274044394493103,0.535392165184021,0.2628244459629059,0.18317672610282898,0.24837790429592133,0.22068053483963013
construction,0.20329850912094116,0.19330348074436188,0.2478403002023697,0.24810278415679932,0.1748533993959427,0.2212127149105072,0.38463982939720154,0.13494056463241577
of,0.33290785551071167,0.21205836534500122,0.28795862197875977,0.41548454761505127,0.16645173728466034,0.21280841529369354,0.2954002916812897,0.1826142966747284
highways,0.20952124893665314,0.1348724663257599,0.3154352009296417,0.2186083197593689,0.1673441380262375,0.3788432776927948,0.3291880786418915,0.20482441782951355
led,0.12112844735383987,0.3287498652935028,0.1865733116865158,0.21815308928489685,0.0971161425113678,0.15969212353229523,0.24142999947071075,0.09273858368396759
residents,0.21107541024684906,0.14931653439998627,0.9999998807907104,0.27325206995010376,0.15392182767391205,0.37824395298957825,0.4820794463157654,0.09602975845336914
to,0.455847829580307,0.19938457012176514,0.27325206995010376,1.0,0.2979055941104889,0.19649888575077057,0.2623659670352936,0.29463258385658264
move,0.30861297249794006,0.2715608775615692,0.13367746770381927,0.37858664989471436,0.28857845067977905,0.1453486829996109,0.18525555729866028,0.24440962076187134
to,0.455847829580307,0.19938457012176514,0.27325206995010376,1.0,0.2979055941104889,0.19649888575077057,0.2623659670352936,0.29463258385658264
newer,0.2718621790409088,0.08024358749389648,0.1391489952802658,0.32417598366737366,0.33667418360710144,0.22316840291023254,0.22189855575561523,0.15615598857402802
housing,0.14871764183044434,0.17729231715202332,0.4820794463157654,0.2623659670352936,0.22131305932998657,0.39841482043266296,1.0000001192092896,0.11872038245201111
in,0.30808621644973755,0.2219095677137375,0.27393898367881775,0.45010748505592346,0.2036769688129425,0.2720463275909424,0.255455881357193,0.20430970191955566
the,0.42745697498321533,0.24859486520290375,0.28274044394493103,0.535392165184021,0.2628244459629059,0.18317672610282898,0.24837790429592133,0.22068053483963013
suburbs,0.14620864391326904,0.1868254691362381,0.444070965051651,0.16474391520023346,0.17844977974891663,0.7486438751220703,0.3510262370109558,0.07569191604852676
.,0.3567904531955719,0.23233972489833832,0.2494935691356659,0.4645031690597534,0.2429441213607788,0.18408268690109253,0.2448417842388153,0.4130953550338745
,what,drove,residents,to,quieter,suburban,housing,?
jacksonville,0.14578714966773987,0.19837500154972076,0.2859777510166168,0.1994343250989914,0.2675909996032715,0.3358772099018097,0.26557162404060364,0.1359667330980301
