,what,character,in,the,play,portrays,civil,disobedience,?
one,0.376489520072937,0.20997300744056702,0.4129433035850525,0.5514441132545471,0.24414552748203278,0.22641032934188843,0.15266822278499603,0.20541732013225555,0.2673267424106598
of,0.33290785551071167,0.17163237929344177,0.5696388483047485,0.733189046382904,0.15350224077701569,0.24156837165355682,0.24698495864868164,0.31932318210601807,0.1826142966747284
the,0.42745697498321533,0.25992274284362793,0.6662389636039734,1.0,0.24793598055839539,0.2010500729084015,0.2477465271949768,0.30963727831840515,0.22068053483963013
oldest,0.12504005432128906,0.07584976404905319,0.33251360058784485,0.30836519598960876,0.17077448964118958,0.11083826422691345,0.09821687638759613,0.13601447641849518,0.14864160120487213
depictions,0.2146293967962265,0.35528865456581116,0.22689732909202576,0.2684508264064789,0.15006107091903687,0.5126991868019104,0.11556647717952728,0.36857280135154724,0.14728380739688873
of,0.33290785551071167,0.17163237929344177,0.5696388483047485,0.733189046382904,0.15350224077701569,0.24156837165355682,0.24698495864868164,0.31932318210601807,0.1826142966747284
civil,0.15091551840305328,0.09939737617969513,0.26466667652130127,0.2477465271949768,0.0800999104976654,0.1794484555721283,1.0,0.5442691445350647,0.1494513899087906
disobedience,0.3298627436161041,0.2231583297252655,0.3054615259170532,0.30963727831840515,0.18516378104686737,0.3259459435939789,0.5442691445350647,1.0,0.19890835881233215
is,0.28837618231773376,0.2699129581451416,0.5394441485404968,0.5823672413825989,0.2174319475889206,0.24465838074684143,0.16941262781620026,0.21453623473644257,0.22961433231830597
in,0.30808621644973755,0.20910993218421936,1.0,0.6662389636039734,0.24321173131465912,0.20557060837745667,0.26466667652130127,0.3054615259170532,0.20430970191955566
sophocles,0.23692306876182556,0.22205312550067902,0.2046385407447815,0.2736586928367615,0.34479448199272156,0.3508895933628082,0.1515890657901764,0.2748347222805023,0.1973816305398941
',0.3245812654495239,0.24770547449588776,0.4158826768398285,0.474788099527359,0.16186515986919403,0.21379750967025757,0.16727153956890106,0.20764939486980438,0.330942302942276
