,what,two,scientists,were,proponents,of,the,humoral,theory,of,immunity,?
in,0.30808621644973755,0.36463531851768494,0.1995355486869812,0.3815755248069763,0.17899225652217865,0.5696388483047485,0.6662389636039734,0.26436302065849304,0.16955126821994781,0.5696388483047485,0.16387996077537537,0.20430970191955566
contrast,0.2773490250110626,0.1842755824327469,0.12477532774209976,0.18858689069747925,0.32995304465293884,0.3046875298023224,0.25799670815467834,0.24955864250659943,0.3126225769519806,0.3046875298023224,0.1117544025182724,0.15469981729984283
",",0.3087472915649414,0.35859420895576477,0.25785407423973083,0.36755475401878357,0.2554210424423218,0.4946078956127167,0.4933079481124878,0.21836097538471222,0.18095813691616058,0.4946078956127167,0.21605436503887177,0.31091248989105225
the,0.42745697498321533,0.43858039379119873,0.25988271832466125,0.3906462490558624,0.2398470640182495,0.733189046382904,1.0,0.2591458559036255,0.2277156263589859,0.733189046382904,0.25992491841316223,0.22068053483963013
humoral,0.33916720747947693,0.1745867282152176,0.1672631800174713,0.14255040884017944,0.35920748114585876,0.2923624813556671,0.2591458559036255,0.9999998807907104,0.31062445044517517,0.2923624813556671,0.3712005317211151,0.23676204681396484
theory,0.297923743724823,0.22681225836277008,0.34971222281455994,0.1573960781097412,0.4310459494590759,0.23506702482700348,0.2277156263589859,0.31062445044517517,0.9999999403953552,0.23506702482700348,0.2129906266927719,0.1387292891740799
of,0.33290785551071167,0.37726253271102905,0.20474955439567566,0.34038281440734863,0.26639798283576965,1.0,0.733189046382904,0.2923624813556671,0.23506702482700348,1.0,0.17778201401233673,0.1826142966747284
immunity,0.21864116191864014,0.2016933262348175,0.1515672504901886,0.19465433061122894,0.23015648126602173,0.17778201401233673,0.25992491841316223,0.3712005317211151,0.2129906266927719,0.17778201401233673,1.0000001192092896,0.16423189640045166
",",0.3087472915649414,0.35859420895576477,0.25785407423973083,0.36755475401878357,0.2554210424423218,0.4946078956127167,0.4933079481124878,0.21836097538471222,0.18095813691616058,0.4946078956127167,0.21605436503887177,0.31091248989105225
held,0.0974166989326477,0.27556031942367554,0.10508808493614197,0.2591556906700134,0.18065214157104492,0.28960686922073364,0.32185450196266174,0.09011302143335342,0.11825310438871384,0.28960686922073364,0.14806418120861053,0.14103956520557404
",",0.3087472915649414,0.35859420895576477,0.25785407423973083,0.36755475401878357,0.2554210424423218,0.4946078956127167,0.4933079481124878,0.21836097538471222,0.18095813691616058,0.4946078956127167,0.21605436503887177,0.31091248989105225
among,0.21154822409152985,0.3255499601364136,0.23685647547245026,0.35641026496887207,0.3078711926937103,0.3679063022136688,0.3507058024406433,0.3163813352584839,0.21034426987171173,0.3679063022136688,0.1864098161458969,0.14343059062957764
others,0.3888046145439148,0.35480397939682007,0.3219573497772217,0.3752252161502838,0.30027779936790466,0.2793974280357361,0.34376874566078186,0.26932239532470703,0.23154591023921967,0.2793974280357361,0.2444668859243393,0.26705288887023926
",",0.3087472915649414,0.35859420895576477,0.25785407423973083,0.36755475401878357,0.2554210424423218,0.4946078956127167,0.4933079481124878,0.21836097538471222,0.18095813691616058,0.4946078956127167,0.21605436503887177,0.31091248989105225
by,0.2455483376979828,0.33852577209472656,0.22483672201633453,0.4406847059726715,0.20308855175971985,0.3646814823150635,0.4408751428127289,0.2272278368473053,0.17579947412014008,0.3646814823150635,0.20264138281345367,0.17966607213020325
robert,0.1948658525943756,0.18078650534152985,0.1422974020242691,0.15146300196647644,0.13280050456523895,0.2398476004600525,0.2257954627275467,0.14455419778823853,0.15367841720581055,0.2398476004600525,0.19637691974639893,0.11293095350265503
