,what,south,african,law,recognized,two,types,of,schools,?
the,0.42745697498321533,0.3129390776157379,0.23305515944957733,0.24548950791358948,0.31571096181869507,0.43858039379119873,0.23509301245212555,0.733189046382904,0.22905772924423218,0.22068053483963013
south,0.15388517081737518,1.0000001192092896,0.45805707573890686,0.14846456050872803,0.20630605518817902,0.2434704750776291,0.14427661895751953,0.33382371068000793,0.2044089287519455,0.12336621433496475
african,0.11136822402477264,0.45805707573890686,1.0000001192092896,0.16173800826072693,0.21583928167819977,0.20819143950939178,0.1693969964981079,0.23470255732536316,0.16710834205150604,0.11862778663635254
schools,0.1820785105228424,0.2044089287519455,0.16710834205150604,0.29303330183029175,0.21888026595115662,0.2389073520898819,0.24229037761688232,0.265506386756897,1.0,0.18349280953407288
act,0.2622668445110321,0.10690037906169891,0.16669043898582458,0.38416895270347595,0.1571740359067917,0.14876075088977814,0.18770913779735565,0.2802577316761017,0.14299996197223663,0.1482519507408142
of,0.33290785551071167,0.33382371068000793,0.23470255732536316,0.2816956341266632,0.3161126375198364,0.37726253271102905,0.2447618544101715,1.0,0.265506386756897,0.1826142966747284
1996,0.1822642683982849,0.10360674560070038,0.030165627598762512,0.12482589483261108,0.1157875582575798,0.005733142141252756,-0.1103568971157074,0.08521515130996704,0.16285528242588043,0.18022380769252777
recognises,0.26039788126945496,0.20980887115001678,0.16469217836856842,0.20792217552661896,0.7150838375091553,0.1742001473903656,0.18570967018604279,0.3168335556983948,0.20685650408267975,0.23097087442874908
two,0.23363454639911652,0.2434704750776291,0.20819143950939178,0.18560174107551575,0.1813621073961258,1.0000001192092896,0.33505547046661377,0.37726253271102905,0.2389073520898819,0.19645625352859497
categories,0.27071893215179443,0.1633131504058838,0.19029635190963745,0.1347164660692215,0.23131710290908813,0.2992170751094818,0.35034382343292236,0.18317048251628876,0.22869977355003357,0.3382010757923126
of,0.33290785551071167,0.33382371068000793,0.23470255732536316,0.2816956341266632,0.3161126375198364,0.37726253271102905,0.2447618544101715,1.0,0.265506386756897,0.1826142966747284
schools,0.1820785105228424,0.2044089287519455,0.16710834205150604,0.29303330183029175,0.21888026595115662,0.2389073520898819,0.24229037761688232,0.265506386756897,1.0,0.18349280953407288
:,-0.12022944539785385,-0.08850836753845215,-0.017626576125621796,-0.0783696174621582,0.055503688752651215,0.016365518793463707,-0.10021550953388214,-0.08807745575904846,-0.052466921508312225,-0.07156077772378922
``,0.008517155423760414,0.025162741541862488,0.022541258484125137,0.005725041963160038,0.03911124914884567,0.07021170109510422,0.001780139748007059,0.06780257821083069,0.019756430760025978,0.0685480609536171
public,0.1729622185230255,0.21266449987888336,0.1932130604982376,0.26381510496139526,0.16223540902137756,0.18226072192192078,0.12661825120449066,0.2391265481710434,0.4260808527469635,0.19872993230819702
'',0.08143015950918198,-0.04543294757604599,-0.016981130465865135,0.02283594384789467,-0.012082072906196117,-0.004284570459276438,-0.006088451948016882,0.13035868108272552,0.07826808094978333,0.018684765323996544
(,0.2411840260028839,0.2013198882341385,0.16657890379428864,0.14312884211540222,0.151199072599411,0.2169162482023239,0.12465982884168625,0.35032153129577637,0.15322564542293549,0.40561532974243164
state-controlled,0.3027670383453369,0.2295094132423401,0.19336605072021484,0.22175073623657227,0.33817121386528015,0.23024898767471313,0.24960578978061676,0.30348315834999084,0.2385188639163971,0.22625160217285156
),0.26259949803352356,0.2002217173576355,0.14777451753616333,0.15311799943447113,0.15637043118476868,0.24161455035209656,0.11417452245950699,0.3680361211299896,0.16219249367713928,0.42300865054130554
and,0.31309178471565247,0.3140619993209839,0.2598888576030731,0.254730761051178,0.2502152621746063,0.4671151638031006,0.3014242649078369,0.5116966962814331,0.29319998621940613,0.20544172823429108
``,0.008517155423760414,0.025162741541862488,0.022541258484125137,0.005725041963160038,0.03911124914884567,0.07021170109510422,0.001780139748007059,0.06780257821083069,0.019756430760025978,0.0685480609536171
independent,0.28752967715263367,0.19521404802799225,0.14545753598213196,0.21211522817611694,0.35028496384620667,0.20671334862709045,0.11189107596874237,0.30508819222450256,0.22231550514698029,0.11902587860822678
'',0.08143015950918198,-0.04543294757604599,-0.016981130465865135,0.02283594384789467,-0.012082072906196117,-0.004284570459276438,-0.006088451948016882,0.13035868108272552,0.07826808094978333,0.018684765323996544
(,0.2411840260028839,0.2013198882341385,0.16657890379428864,0.14312884211540222,0.151199072599411,0.2169162482023239,0.12465982884168625,0.35032153129577637,0.15322564542293549,0.40561532974243164
which,0.5261979103088379,0.24635352194309235,0.17172859609127045,0.20205146074295044,0.28614500164985657,0.4674137234687805,0.4006623923778534,0.5011631846427917,0.23417861759662628,0.25814583897590637
includes,0.17138352990150452,0.22165009379386902,0.1725558340549469,0.143484428524971,0.22969698905944824,0.2128845751285553,0.31329816579818726,0.4359378218650818,0.17809028923511505,0.14011523127555847
traditional,0.20066824555397034,0.20087814331054688,0.2106591761112213,0.2379966825246811,0.20512381196022034,0.19404542446136475,0.2983105778694153,0.32287317514419556,0.2547922730445862,0.1327509582042694
private,0.16778090596199036,0.16886739432811737,0.12125471979379654,0.2247840315103531,0.16613905131816864,0.19909122586250305,0.13861332833766937,0.18706899881362915,0.4158569872379303,0.14389030635356903
schools,0.1820785105228424,0.2044089287519455,0.16710834205150604,0.29303330183029175,0.21888026595115662,0.2389073520898819,0.24229037761688232,0.265506386756897,1.0,0.18349280953407288
and,0.31309178471565247,0.3140619993209839,0.2598888576030731,0.254730761051178,0.2502152621746063,0.4671151638031006,0.3014242649078369,0.5116966962814331,0.29319998621940613,0.20544172823429108
schools,0.1820785105228424,0.2044089287519455,0.16710834205150604,0.29303330183029175,0.21888026595115662,0.2389073520898819,0.24229037761688232,0.265506386756897,1.0,0.18349280953407288
which,0.5261979103088379,0.24635352194309235,0.17172859609127045,0.20205146074295044,0.28614500164985657,0.4674137234687805,0.4006623923778534,0.5011631846427917,0.23417861759662628,0.25814583897590637
are,0.29724663496017456,0.21281804144382477,0.20821034908294678,0.13009320199489594,0.28007772564888,0.46276170015335083,0.4691450595855713,0.39081433415412903,0.30816179513931274,0.24591213464736938
