,what,can,result,in,more,equal,distribution,of,income,?
additionally,0.27606531977653503,0.384065181016922,0.18340645730495453,0.3179662823677063,0.3811720907688141,0.2807445824146271,0.2530643045902252,0.2477567195892334,0.2145330309867859,0.24129506945610046
",",0.3087472915649414,0.3139454126358032,0.23341737687587738,0.5201468467712402,0.3696524500846863,0.2120320051908493,0.20136328041553497,0.4946078956127167,0.19703416526317596,0.31091248989105225
steeper,0.21784666180610657,0.27348625659942627,0.16753500699996948,0.20772337913513184,0.2692929804325104,0.3032793402671814,0.08641758561134338,0.20731689035892487,0.2225581854581833,0.1413855254650116
tax,0.21278929710388184,0.2272718995809555,0.20007318258285522,0.20513993501663208,0.17056778073310852,0.28126260638237,0.23437757790088654,0.2403477430343628,0.61326003074646,0.2097984105348587
progressivity,0.26819783449172974,0.2716802656650543,0.19543567299842834,0.2522605061531067,0.35594919323921204,0.27929919958114624,0.29810869693756104,0.3020932376384735,0.31671446561813354,0.15726478397846222
applied,0.1944669634103775,0.24775297939777374,0.2763420045375824,0.2475845366716385,0.23244570195674896,0.3193349540233612,0.21108706295490265,0.2825285494327545,0.1871192753314972,0.15585725009441376
to,0.455847829580307,0.4979398250579834,0.23653174936771393,0.45010748505592346,0.47084665298461914,0.28325995802879333,0.18405549228191376,0.41548454761505127,0.27188464999198914,0.29463258385658264
social,0.22217629849910736,0.1910768300294876,0.17455478012561798,0.23382627964019775,0.21873395144939423,0.15771757066249847,0.22905874252319336,0.2605111300945282,0.23773884773254395,0.1615191102027893
spending,0.31686943769454956,0.29426801204681396,0.18519118428230286,0.24553866684436798,0.3371945917606354,0.2119787037372589,0.18963928520679474,0.3114427626132965,0.4175257682800293,0.21198494732379913
can,0.34502777457237244,1.0,0.2741678059101105,0.26527702808380127,0.4044358730316162,0.27450141310691833,0.21980498731136322,0.2603091299533844,0.21239306032657623,0.3226337134838104
result,0.19945499300956726,0.2741678059101105,1.0000001192092896,0.25670310854911804,0.23343375325202942,0.24616804718971252,0.20707570016384125,0.231380432844162,0.19292858242988586,0.17218433320522308
in,0.30808621644973755,0.26527702808380127,0.25670310854911804,1.0,0.32563260197639465,0.12870801985263824,0.23537677526474,0.5696388483047485,0.1795814335346222,0.20430970191955566
a,0.3320399522781372,0.3915780484676361,0.2767398953437805,0.539380669593811,0.3452818691730499,0.22565314173698425,0.21514776349067688,0.5052502155303955,0.2084353119134903,0.23916715383529663
more,0.3484537899494171,0.4044358730316162,0.23343375325202942,0.32563260197639465,1.0,0.23232722282409668,0.2244625687599182,0.30478984117507935,0.2241504192352295,0.27894994616508484
equal,0.2397335022687912,0.27450141310691833,0.24616804718971252,0.12870801985263824,0.23232722282409668,0.9999999403953552,0.1873987466096878,0.2787107825279236,0.3016412556171417,0.15421567857265472
distribution,0.17429208755493164,0.21980498731136322,0.20707570016384125,0.23537677526474,0.2244625687599182,0.1873987466096878,1.0,0.254255473613739,0.24441708624362946,0.0929616317152977
of,0.33290785551071167,0.2603091299533844,0.231380432844162,0.5696388483047485,0.30478984117507935,0.2787107825279236,0.254255473613739,1.0,0.2581324577331543,0.1826142966747284
income,0.21837803721427917,0.21239306032657623,0.19292858242988586,0.1795814335346222,0.2241504192352295,0.3016412556171417,0.24441708624362946,0.2581324577331543,1.0,0.14935168623924255
across,0.24809791147708893,0.24235227704048157,0.1338723599910736,0.36988839507102966,0.3189955949783325,0.09957129508256912,0.22874793410301208,0.2936134934425354,0.18208956718444824,0.17034576833248138
the,0.42745697498321533,0.312528520822525,0.27778977155685425,0.6662389636039734,0.39758381247520447,0.21154357492923737,0.27569329738616943,0.733189046382904,0.23699946701526642,0.22068053483963013
board,0.15681391954421997,0.19576036930084229,0.16847218573093414,0.19342480599880219,0.16771399974822998,0.1537885218858719,0.09641290456056595,0.23488809168338776,0.18510262668132782,0.1261475533246994
.,0.3567904531955719,0.35783761739730835,0.31092435121536255,0.5591574311256409,0.4070230722427368,0.25790271162986755,0.22641029953956604,0.5352458953857422,0.26448529958724976,0.4130953550338745
