,what,is,the,dispensary,subject,to,in,a,majority,of,countries,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2378663569688797,0.21163184940814972,0.45010748505592346,1.0,0.539380669593811,0.2563854157924652,0.5696388483047485,0.3027990758419037,0.20430970191955566
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.1938045173883438,0.2587777078151703,0.321603000164032,0.41416558623313904,0.3508910834789276,0.3424006998538971,0.4178851246833801,0.33387476205825806,0.2107497900724411
countries,0.22319257259368896,0.254234254360199,0.33290645480155945,0.15473006665706635,0.215311661362648,0.3111797273159027,0.3027990758419037,0.2672088146209717,0.26974087953567505,0.2800094783306122,0.9999999403953552,0.15128466486930847
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2614038288593292,0.25792038440704346,0.44245919585227966,0.5201468467712402,0.427140474319458,0.30214112997055054,0.4946078956127167,0.2966555655002594,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.3140198886394501,0.2387523651123047,0.535392165184021,0.6662389636039734,0.5829201340675354,0.28757327795028687,0.733189046382904,0.33290645480155945,0.22068053483963013
dispensary,0.34331563115119934,0.18696656823158264,0.3140198886394501,1.0,0.3456771969795227,0.35469669103622437,0.2378663569688797,0.24609623849391937,0.19755880534648895,0.3710656464099884,0.15473006665706635,0.2943917214870453
is,0.28837618231773376,1.0,0.5823672413825989,0.18696656823158264,0.25386592745780945,0.42745086550712585,0.5394441485404968,0.658733606338501,0.19749082624912262,0.4854315221309662,0.254234254360199,0.22961433231830597
subject,0.3828662037849426,0.25386592745780945,0.2387523651123047,0.3456771969795227,1.0,0.3198980987071991,0.21163184940814972,0.31756800413131714,0.2703789472579956,0.21533280611038208,0.215311661362648,0.33952999114990234
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.35469669103622437,0.3198980987071991,1.0,0.45010748505592346,0.45503583550453186,0.26316750049591064,0.41548454761505127,0.3111797273159027,0.29463258385658264
pharmacy,0.21638189256191254,0.16101746261119843,0.1938311904668808,0.29882949590682983,0.21229040622711182,0.1824638396501541,0.22082467377185822,0.21975059807300568,0.1600552201271057,0.18226979672908783,0.19641880691051483,0.1355620175600052
