,of,all,their,agreements,with,hollywood,producers,in,the,50s,",",which,was,the,most,iconic,for,abc,?
however,0.3800618350505829,0.4909168481826782,0.45155519247055054,0.3307582139968872,0.44603243470191956,0.19705061614513397,0.2218787521123886,0.3982149362564087,0.49814513325691223,-0.04066886007785797,0.4037865996360779,0.5545716285705566,0.37327632308006287,0.49814513325691223,0.4937610328197479,0.2224666327238083,0.44511833786964417,0.13561899960041046,0.2152075469493866
",",0.4946078956127167,0.425624817609787,0.3045167922973633,0.2693939507007599,0.4120737314224243,0.27148857712745667,0.2837751507759094,0.5201468467712402,0.4933079481124878,0.13478690385818481,1.0000001192092896,0.3658004403114319,0.45456063747406006,0.4933079481124878,0.3636029064655304,0.24123728275299072,0.4464869201183319,0.2097204476594925,0.31091248989105225
the,0.733189046382904,0.4860881567001343,0.516537070274353,0.2562585771083832,0.4223487675189972,0.21118220686912537,0.23758956789970398,0.6662389636039734,1.0,0.08184371143579483,0.4933079481124878,0.6521818041801453,0.48711544275283813,1.0,0.47635307908058167,0.2524588406085968,0.4739971458911896,0.2068762183189392,0.22068053483963013
most,0.4178851246833801,0.5116150975227356,0.3699820935726166,0.1469266265630722,0.336320698261261,0.20132118463516235,0.2473253458738327,0.41416558623313904,0.47635307908058167,0.05766713246703148,0.3636029064655304,0.4637843072414398,0.29933857917785645,0.47635307908058167,1.0,0.29337114095687866,0.3906237483024597,0.12975531816482544,0.2107497900724411
iconic,0.24920526146888733,0.15433087944984436,0.20051223039627075,0.09976620972156525,0.2115188091993332,0.3074718713760376,0.1690034717321396,0.2800956070423126,0.2524588406085968,0.05950166657567024,0.24123728275299072,0.22723530232906342,0.23862682282924652,0.2524588406085968,0.29337114095687866,1.0000001192092896,0.21260061860084534,0.23092737793922424,0.1604892760515213
of,1.0,0.42798417806625366,0.4329940676689148,0.23625777661800385,0.41827285289764404,0.19111904501914978,0.131597638130188,0.5696388483047485,0.733189046382904,0.10793105512857437,0.4946078956127167,0.5011631846427917,0.4069072902202606,0.733189046382904,0.4178851246833801,0.24920526146888733,0.4185989499092102,0.14607268571853638,0.1826142966747284
abc,0.14607268571853638,0.18112415075302124,0.17463743686676025,0.1364191621541977,0.17432008683681488,0.2844206690788269,0.18637654185295105,0.1697147786617279,0.2068762183189392,0.056521058082580566,0.2097204476594925,0.1991286277770996,0.21565799415111542,0.2068762183189392,0.12975531816482544,0.23092737793922424,0.22510288655757904,1.0000001192092896,0.19065172970294952
's,-0.03817026689648628,0.03181743621826172,-0.005530759692192078,0.009942188858985901,-0.04624466598033905,0.038282472640275955,0.008818920701742172,-0.037580832839012146,-0.01540423184633255,0.02411109395325184,-0.0016132977325469255,0.03856118768453598,0.008974763564765453,-0.01540423184633255,0.024445664137601852,0.017446134239435196,-0.07241261005401611,0.06670809537172318,-0.023395681753754616
relationships,0.25304844975471497,0.26571890711784363,0.29703637957572937,0.4223940074443817,0.32151785492897034,0.2016068398952484,0.16765914857387543,0.2185511291027069,0.21583695709705353,-0.06882526725530624,0.23186442255973816,0.2873646318912506,0.1552407592535019,0.21583695709705353,0.20939330756664276,0.2116708755493164,0.19879987835884094,0.21734444797039032,0.14081478118896484
with,0.41827285289764404,0.3876307010650635,0.4258328378200531,0.28466925024986267,0.9999999403953552,0.193950355052948,0.230207622051239,0.4080928862094879,0.4223487675189972,0.0625709593296051,0.4120737314224243,0.46403205394744873,0.27411898970603943,0.4223487675189972,0.336320698261261,0.2115188091993332,0.39140474796295166,0.17432008683681488,0.2433311939239502
hollywood,0.19111904501914978,0.14153635501861572,0.16258609294891357,0.1376686990261078,0.193950355052948,1.0000001192092896,0.30736151337623596,0.229169562458992,0.21118220686912537,0.01168411411345005,0.27148857712745667,0.13708528876304626,0.23313601315021515,0.21118220686912537,0.20132118463516235,0.3074718713760376,0.1584724634885788,0.2844206690788269,0.16076789796352386
