,activation,of,a,helper,t,cell,causes,it,to,release,what,chemicals,that,influence,cell,activity,?
the,0.30273205041885376,0.733189046382904,0.5829201340675354,0.22471751272678375,0.2083338052034378,0.15822452306747437,0.2518732249736786,0.6251175999641418,0.535392165184021,0.2814774513244629,0.42745697498321533,0.23878361284732819,0.5473989248275757,0.3039984107017517,0.15822452306747437,0.28331097960472107,0.22068053483963013
activation,0.9999998807907104,0.2020977884531021,0.24706503748893738,0.3045027256011963,0.25688496232032776,0.4333576261997223,0.30318501591682434,0.23471346497535706,0.28670090436935425,0.3837510049343109,0.2419547140598297,0.4375285804271698,0.307949960231781,0.21397241950035095,0.4333576261997223,0.5070722103118896,0.19980524480342865
of,0.2020977884531021,1.0,0.5052502155303955,0.1962171345949173,0.14617829024791718,0.18332023918628693,0.2544642984867096,0.38761502504348755,0.41548454761505127,0.1866096556186676,0.33290785551071167,0.22730451822280884,0.41498205065727234,0.3608979284763336,0.18332023918628693,0.23575159907341003,0.1826142966747284
a,0.24706503748893738,0.5052502155303955,1.0,0.29617732763290405,0.2456076741218567,0.21525812149047852,0.27698835730552673,0.5452592968940735,0.45503583550453186,0.23991376161575317,0.3320399522781372,0.2136334478855133,0.47537946701049805,0.23828014731407166,0.21525812149047852,0.27737462520599365,0.23916715383529663
resting,0.24921874701976776,0.3286415934562683,0.2647547423839569,0.2162920981645584,0.06303876638412476,0.21501842141151428,0.21877261996269226,0.1707019954919815,0.2161111831665039,0.18538911640644073,0.22163280844688416,0.19191524386405945,0.2886350750923157,0.1912946105003357,0.21501842141151428,0.23555508255958557,0.11039429157972336
helper,0.3045027256011963,0.1962171345949173,0.29617732763290405,1.0,0.21132126450538635,0.33088141679763794,0.1608150452375412,0.11213379353284836,0.3275086283683777,0.14053606986999512,0.24017302691936493,0.22973187267780304,0.2382730394601822,0.1457882821559906,0.33088141679763794,0.14754225313663483,0.2250194549560547
t,0.25688496232032776,0.14617829024791718,0.2456076741218567,0.21132126450538635,0.9999999403953552,0.24071010947227478,0.17692436277866364,0.30958133935928345,0.30417174100875854,0.15616080164909363,0.37454068660736084,0.25813040137290955,0.3801133632659912,0.11786075681447983,0.24071010947227478,0.16115565598011017,0.4954066574573517
cell,0.4333576261997223,0.18332023918628693,0.21525812149047852,0.33088141679763794,0.24071010947227478,1.0000001192092896,0.19993510842323303,0.11782132834196091,0.19730474054813385,0.16546912491321564,0.19222842156887054,0.3762339651584625,0.24500271677970886,0.18953344225883484,1.0000001192092896,0.21368494629859924,0.2058541625738144
causes,0.30318501591682434,0.2544642984867096,0.27698835730552673,0.1608150452375412,0.17692436277866364,0.19993510842323303,0.9999998807907104,0.18735122680664062,0.2537674903869629,0.13122683763504028,0.1426164209842682,0.3257060945034027,0.2422942817211151,0.18652835488319397,0.19993510842323303,0.22528885304927826,0.19991323351860046
it,0.23471346497535706,0.38761502504348755,0.5452592968940735,0.11213379353284836,0.30958133935928345,0.11782132834196091,0.18735122680664062,0.9999999403953552,0.513711154460907,0.284045934677124,0.45803478360176086,0.30020928382873535,0.5921133160591125,0.21783682703971863,0.11782132834196091,0.27975165843963623,0.25732165575027466
to,0.28670090436935425,0.41548454761505127,0.45503583550453186,0.3275086283683777,0.30417174100875854,0.19730474054813385,0.2537674903869629,0.513711154460907,1.0,0.2868979573249817,0.455847829580307,0.2729186415672302,0.5436353087425232,0.23180463910102844,0.19730474054813385,0.26676592230796814,0.29463258385658264
release,0.3837510049343109,0.1866096556186676,0.23991376161575317,0.14053606986999512,0.15616080164909363,0.16546912491321564,0.13122683763504028,0.284045934677124,0.2868979573249817,1.0000001192092896,0.19122223556041718,0.2633303999900818,0.28681787848472595,0.18208643794059753,0.16546912491321564,0.24449773132801056,0.14489315450191498
cytokines,0.6202529072761536,0.24164463579654694,0.27230262756347656,0.2729644179344177,0.22790998220443726,0.5710588693618774,0.3600738048553467,0.2332896739244461,0.24787235260009766,0.2956726849079132,0.23624680936336517,0.5331271886825562,0.31150537729263306,0.22446349263191223,0.5710588693618774,0.4075746238231659,0.15750601887702942
that,0.307949960231781,0.41498205065727234,0.47537946701049805,0.2382730394601822,0.3801133632659912,0.24500271677970886,0.2422942817211151,0.5921133160591125,0.5436353087425232,0.28681787848472595,0.6297725439071655,0.34627044200897217,1.0,0.3612593710422516,0.24500271677970886,0.3449932038784027,0.32716336846351624
influence,0.21397241950035095,0.3608979284763336,0.23828014731407166,0.1457882821559906,0.11786075681447983,0.18953344225883484,0.18652835488319397,0.21783682703971863,0.23180463910102844,0.18208643794059753,0.2790174186229706,0.14163291454315186,0.3612593710422516,1.0000001192092896,0.18953344225883484,0.27197763323783875,0.14200882613658905
