,what,is,the,last,name,of,the,player,who,was,manning,'s,top,receiver,for,super,bowl,50,?
manning,0.20007498562335968,0.15379270911216736,0.27058160305023193,0.1576220989227295,0.08606230467557907,0.20024974644184113,0.27058160305023193,0.3113711178302765,0.33436715602874756,0.2607507109642029,0.9999998807907104,0.021839646622538567,0.1531137228012085,0.38810068368911743,0.33057859539985657,0.30535250902175903,0.32417115569114685,-0.0051657091826200485,0.15856626629829407
finished,0.2113480567932129,0.17314960062503815,0.2754973769187927,0.30645620822906494,0.1276508867740631,0.19935797154903412,0.2754973769187927,0.19636878371238708,0.18257364630699158,0.3428505063056946,0.2231869399547577,0.008866960182785988,0.26011550426483154,0.10936953872442245,0.261849045753479,0.2583681046962738,0.26552706956863403,0.055074095726013184,0.14789283275604248
the,0.42745697498321533,0.5823672413825989,1.0,0.3698786795139313,0.3171212375164032,0.733189046382904,1.0,0.19900773465633392,0.3733934462070465,0.48711544275283813,0.27058160305023193,-0.01540423184633255,0.31754136085510254,0.21850530803203583,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
game,0.2246788740158081,0.21222543716430664,0.285271555185318,0.15705397725105286,0.17639878392219543,0.2298848181962967,0.285271555185318,0.46623334288597107,0.2523840069770813,0.2568269371986389,0.3214661478996277,0.07448072731494904,0.17028358578681946,0.2444303035736084,0.2608485519886017,0.3480181396007538,0.2413962334394455,0.012895043939352036,0.1829071193933487
13,-0.0796622633934021,-0.007720510475337505,-0.007407139986753464,0.0624287985265255,0.08776994794607162,0.019282439723610878,-0.007407139986753464,-0.026809275150299072,0.09338453412055969,0.020193999633193016,0.03662071377038956,-0.14436520636081696,0.02874116785824299,0.05564387887716293,-0.016487080603837967,-0.00828040111809969,0.017800776287913322,-0.06467641890048981,-0.11384815722703934
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3052992522716522,0.24075818061828613,1.0,0.733189046382904,0.1627044975757599,0.2827862501144409,0.4069072902202606,0.20024974644184113,-0.03817026689648628,0.20362378656864166,0.13342490792274475,0.4185989499092102,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.1826142966747284
23,0.036675017327070236,-0.061800431460142136,-0.04008803516626358,-0.04149150103330612,-0.06876713037490845,-0.01973372884094715,-0.04008803516626358,0.025569094344973564,0.014098330400884151,-0.04668274149298668,0.0025590944569557905,-0.0245733093470335,0.006761019583791494,-0.016298476606607437,-0.052941326051950455,-0.08696652948856354,-0.10438456386327744,-0.10783366858959198,0.012076443061232567
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.3043119013309479,0.25737348198890686,0.4185989499092102,0.4739971458911896,0.2470785230398178,0.37110671401023865,0.3863949179649353,0.33057859539985657,-0.07241261005401611,0.2343461513519287,0.2781907320022583,0.9999999403953552,0.22938419878482819,0.24430087208747864,0.029183456674218178,0.264628142118454
141,-0.08330079168081284,0.16811098158359528,0.19760951399803162,0.0074037471786141396,0.06534892320632935,0.23059310019016266,0.19760951399803162,0.03342130780220032,-0.1723339706659317,0.060719650238752365,-0.01382442843168974,-0.021018298342823982,0.021955357864499092,0.10380969941616058,0.03725167363882065,0.01243615336716175,0.05784473195672035,-0.03295522183179855,-0.08005204051733017
yards,0.1304803043603897,0.08262171596288681,0.16070343554019928,0.14609621465206146,0.005204703193157911,0.14466260373592377,0.16070343554019928,0.2452496588230133,0.13584628701210022,0.1823360025882721,0.5283294916152954,0.0408332459628582,0.1591150313615799,0.3680224120616913,0.21746347844600677,0.22780416905879974,0.2993983328342438,0.016652274876832962,0.12453813850879669
