,what,is,a,course,of,study,called,?
teachers,0.2526462972164154,0.15701442956924438,0.2509842813014984,0.31204313039779663,0.27737662196159363,0.39217743277549744,0.18789449334144592,0.19522249698638916
may,0.25739946961402893,0.322792649269104,0.29255667328834534,0.2217305302619934,0.26447007060050964,0.2356858253479004,0.21229271590709686,0.2768254578113556
use,0.3453877568244934,0.3357410430908203,0.30793872475624084,0.2645997405052185,0.2750902473926544,0.20468193292617798,0.30098897218704224,0.32795652747154236
a,0.3320399522781372,0.658733606338501,1.0,0.2895289659500122,0.5052502155303955,0.2268155962228775,0.4868806302547455,0.23916715383529663
lesson,0.3164811134338379,0.14142636954784393,0.26171454787254333,0.2826082110404968,0.16795259714126587,0.29560694098472595,0.11616723239421844,0.24912706017494202
plan,0.2947953939437866,0.16803590953350067,0.27156999707221985,0.24901331961154938,0.2742128372192383,0.1969875544309616,0.19853931665420532,0.1961054503917694
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.30525898933410645,0.41548454761505127,0.3326032757759094,0.2987143397331238,0.29463258385658264
facilitate,0.2072707712650299,0.17318834364414215,0.23787109553813934,0.3173043131828308,0.21052004396915436,0.2445981502532959,0.14331556856632233,0.255449503660202
student,0.20548318326473236,0.18911804258823395,0.3207114636898041,0.2519493103027344,0.20310284197330475,0.37676331400871277,0.1596006602048874,0.13282090425491333
learning,0.29806870222091675,0.19600103795528412,0.23662391304969788,0.33392640948295593,0.23709416389465332,0.4337146580219269,0.24717684090137482,0.25810256600379944
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.3528233766555786,0.4946078956127167,0.26425549387931824,0.26549121737480164,0.31091248989105225
providing,0.21766136586666107,0.27256250381469727,0.2715930938720703,0.2756222188472748,0.24403119087219238,0.21743907034397125,0.14262039959430695,0.1936793476343155
a,0.3320399522781372,0.658733606338501,1.0,0.2895289659500122,0.5052502155303955,0.2268155962228775,0.4868806302547455,0.23916715383529663
course,0.3412042260169983,0.2551652491092682,0.2895289659500122,1.0000001192092896,0.2579863667488098,0.2607570290565491,0.15434767305850983,0.28826573491096497
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.2579863667488098,1.0,0.29377859830856323,0.4222904443740845,0.1826142966747284
study,0.3123835027217865,0.20457550883293152,0.2268155962228775,0.2607570290565491,0.29377859830856323,1.0,0.27654188871383667,0.15902167558670044
which,0.5261979103088379,0.4457404911518097,0.56894451379776,0.34200045466423035,0.5011631846427917,0.29003599286079407,0.5573342442512512,0.25814583897590637
is,0.28837618231773376,1.0,0.658733606338501,0.2551652491092682,0.4854315221309662,0.20457550883293152,0.430266410112381,0.22961433231830597
called,0.3235960602760315,0.430266410112381,0.4868806302547455,0.15434767305850983,0.4222904443740845,0.27654188871383667,1.0,0.18963319063186646
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.32268625497817993,0.733189046382904,0.2533665597438812,0.489897221326828,0.22068053483963013
curriculum,0.21728472411632538,0.17558933794498444,0.19520382583141327,0.30697211623191833,0.2513495087623596,0.369978666305542,0.193792924284935,0.24092517793178558
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.29073402285575867,0.5352458953857422,0.23432257771492004,0.300344854593277,0.4130953550338745
