,what,was,the,goal,of,the,system
starting,0.25271084904670715,0.26083552837371826,0.37272053956985474,0.24774490296840668,0.23960795998573303,0.37272053956985474,0.24102286994457245
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2241991013288498,0.5696388483047485,0.6662389636039734,0.21978288888931274
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,1.0,0.3233085572719574
late,0.1576872020959854,0.4393066465854645,0.31481194496154785,0.08812900632619858,0.21690747141838074,0.31481194496154785,0.2290036529302597
1950s,0.2998310923576355,0.2797155976295471,0.3424292504787445,0.17270299792289734,0.2965795397758484,0.3424292504787445,0.25046640634536743
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.4933079481124878,0.18439900875091553
american,0.1909721940755844,0.31632548570632935,0.24562937021255493,0.08253612369298935,0.22180068492889404,0.24562937021255493,0.07066620141267776
computer,0.26911869645118713,0.1967092603445053,0.19781450927257538,0.1576698124408722,0.18559479713439941,0.19781450927257538,0.3221023678779602
scientist,0.19887776672840118,0.28327304124832153,0.16244260966777802,0.0778774544596672,0.14620181918144226,0.16244260966777802,0.16534961760044098
paul,0.11217030137777328,0.24299268424510956,0.19191958010196686,0.10482185333967209,0.14511796832084656,0.19191958010196686,0.05742071941494942
baran,0.11883194744586945,0.1646592766046524,0.20225991308689117,0.11531885713338852,0.19897006452083588,0.20225991308689117,0.16771969199180603
developed,0.15555569529533386,0.3253139555454254,0.24490751326084137,0.16963420808315277,0.21960023045539856,0.24490751326084137,0.3349688947200775
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,1.0,0.3233085572719574
concept,0.28724339604377747,0.2765439450740814,0.2355310022830963,0.2354726344347,0.24082158505916595,0.2355310022830963,0.26356232166290283
distributed,0.12753748893737793,0.1954849809408188,0.28740596771240234,0.09751331806182861,0.239964559674263,0.28740596771240234,0.23601815104484558
adaptive,0.22806508839130402,0.18288499116897583,0.25968632102012634,0.18726307153701782,0.18422213196754456,0.25968632102012634,0.31361085176467896
